min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.50,2.75,11.0,1.61,4.50,0.50,2.40,1.45,1.50,1.90,1.68,1,1,1,3.40,0,0
2,1.50,2.75,11.0,1.61,4.50,0.50,2.40,1.45,1.50,1.90,1.68,1,1,1,3.40,0,0
3,1.50,2.75,11.0,1.61,4.50,0.50,2.40,1.45,1.50,1.90,1.68,1,1,1,3.40,0,0
4,1.54,2.65,10.5,1.69,4.15,0.50,2.45,1.43,1.50,1.81,1.76,1,1,1,3.35,0,0
5,1.54,2.65,10.5,1.69,4.15,0.50,2.45,1.43,1.50,1.81,1.76,1,1,1,3.35,0,0
6,1.54,2.65,10.0,1.69,4.10,0.50,2.45,1.44,1.50,1.78,1.78,1,1,1,3.30,0,0
7,1.55,2.65,10.0,1.69,4.15,0.50,2.40,1.45,1.50,1.76,1.80,1,1,1,3.30,0,0
8,1.55,2.70,9.50,1.71,4.10,0.50,2.40,1.45,1.50,1.74,1.83,1,1,1,3.30,0,0
9,1.56,2.70,9.50,1.72,4.15,0.50,2.35,1.46,1.50,1.72,1.85,1,1,1,3.25,0,0
10,1.56,2.70,9.00,1.72,4.20,0.50,2.30,1.47,1.50,1.70,1.88,1,1,1,3.25,0,0
11,1.56,2.70,9.00,1.73,4.20,0.50,2.30,1.48,1.50,1.68,1.91,1,1,1,3.20,0,0
12,1.57,2.70,9.00,1.74,4.15,0.50,2.25,1.49,1.50,1.66,1.93,1,1,1,3.20,0,0
13,1.57,2.70,8.50,1.74,4.20,0.50,2.25,1.50,1.50,1.64,1.96,1,1,1,3.20,0,0
14,1.57,2.70,8.50,1.75,4.15,0.50,2.20,1.51,1.50,1.62,1.99,1,1,1,3.15,0,0
15,1.58,2.70,8.00,1.76,4.15,0.50,2.20,1.52,1.50,1.60,2.00,1,1,1,3.10,0,0
16,1.58,2.70,8.00,1.77,4.15,0.50,2.15,1.53,1.50,1.59,2.05,1,1,1,3.10,0,0
17,1.59,2.75,8.00,1.77,4.15,0.50,2.10,1.54,1.50,1.57,2.05,1,1,1,3.10,0,0
18,1.59,2.75,7.50,1.78,4.15,0.50,2.10,1.55,1.50,1.56,2.10,1,1,1,3.05,0,0
19,1.60,2.75,7.50,1.79,4.20,0.50,2.10,1.56,1.50,1.54,2.10,1,1,1,3.05,0,0
20,1.60,2.75,7.00,1.80,4.20,0.50,2.05,1.58,1.50,1.53,2.15,1,1,1,3.00,0,0
21,1.61,2.80,7.00,1.81,4.15,0.50,2.05,1.59,1.50,1.51,2.20,1,1,1,3.00,0,0
22,1.61,2.80,7.00,1.82,4.20,0.50,2.00,1.60,1.50,1.50,2.25,1,1,1,3.00,0,0
23,1.62,2.80,6.50,1.83,4.20,0.50,2.00,1.61,1.50,1.48,2.30,1.50,2.40,1.45,2.95,0,0
24,1.63,2.80,6.50,1.85,4.20,0.50,1.98,1.63,1.50,1.47,2.30,1.50,2.35,1.46,2.90,0,0
25,1.63,2.80,6.00,1.85,4.20,0.50,1.95,1.65,1.50,1.45,2.40,1.50,2.30,1.48,2.90,0,0
26,1.47,3.45,6.50,1.56,5.50,0.50,1.64,1.96,1.50,1.56,2.10,1.50,2.30,1.48,3.20,0,0
27,1.48,3.45,6.00,1.57,5.50,0.50,1.63,1.99,1.50,1.54,2.10,1.50,2.25,1.49,3.20,0,0
28,1.48,3.45,6.00,1.58,5.50,0.50,1.61,2.00,1.50,1.53,2.15,1.50,2.20,1.51,3.15,0,0
29,1.49,3.50,6.00,1.58,5.50,0.50,1.60,2.00,1.50,1.51,2.20,1.50,2.15,1.53,3.10,0,0
30,1.49,3.50,5.50,1.59,5.50,0.50,1.58,2.05,1.50,1.49,2.25,1.50,2.10,1.55,3.10,0,0
31,1.50,3.50,5.50,1.60,5.50,0.50,1.57,2.05,1.50,1.48,2.30,1.50,2.05,1.57,3.05,0,0
32,1.51,3.50,5.00,1.61,5.50,0.50,1.56,2.10,1.50,1.46,2.35,1.50,2.00,1.60,3.00,0,0
33,1.51,3.55,5.00,1.62,5.50,0.50,1.55,2.10,1.50,1.45,2.40,1.50,2.00,1.62,3.00,0,0
34,1.52,3.55,5.00,1.63,5.50,0.50,1.53,2.15,1.50,1.43,2.45,1.50,1.96,1.64,2.95,0,0
35,1.53,3.60,5.00,1.65,5.50,0.50,1.52,2.20,1.50,1.42,2.50,1.50,1.92,1.67,2.90,0,0
36,1.54,3.60,4.90,1.66,5.50,0.50,1.51,2.20,1.50,1.40,2.55,1.50,1.87,1.70,2.90,0,0
37,1.55,3.60,4.80,1.67,5.50,0.50,1.50,2.25,1.50,1.39,2.60,1.50,1.84,1.73,2.85,0,0
38,1.56,3.65,4.65,1.68,5.50,0.50,1.49,2.25,1.50,1.37,2.65,1.50,1.80,1.76,2.80,0,0
39,1.57,3.65,4.55,1.69,5.50,0.50,1.48,2.30,1.50,1.36,2.70,1.50,1.77,1.80,2.80,0,0
40,1.58,3.70,4.40,1.71,5.50,0.50,1.46,2.35,1.50,1.35,2.80,1.50,1.74,1.83,2.75,0,0
41,1.59,3.70,4.30,1.72,5.50,0.50,1.45,2.40,0.50,2.85,1.33,1.50,1.71,1.87,2.75,0,0
42,1.60,3.70,4.20,1.74,5.50,0.50,1.44,2.40,0.50,2.80,1.34,1.50,1.68,1.91,2.70,0,0
43,1.61,3.75,4.10,1.75,5.50,0.50,1.43,2.45,0.50,2.75,1.35,1.50,1.65,1.94,2.70,0,0
44,1.62,3.80,4.00,1.08,21.0,0.50,1.46,2.35,1.50,2.70,1.37,1,1,1,6.00,0,1
45,1.62,3.80,4.00,1.45,6.50,0.50,2.05,1.57,1.50,1.64,1.96,1,1,1,3.50,0,1
46,1.62,3.80,4.00,1.45,6.50,0.50,2.00,1.59,1.50,1.62,1.99,1,1,1,3.50,0,1
47,1.62,3.80,4.00,1.44,7.00,0.50,2.00,1.61,1.50,1.60,2.00,1,1,1,3.50,0,1
48,1.62,3.80,4.00,1.43,7.00,0.50,1.97,1.63,1.50,1.58,2.05,1,1,1,3.50,0,1
49,1.62,3.80,4.00,1.42,7.00,0.50,1.93,1.66,1.50,1.56,2.10,1,1,1,3.50,0,1
50,1.62,3.80,4.00,1.42,7.50,0.50,1.90,1.68,1.50,1.55,2.10,1,1,1,3.50,0,1
51,1.62,3.80,4.00,1.39,7.50,0.50,1.82,1.75,1.50,1.50,2.25,1,1,1,3.65,0,1
52,1.62,3.80,4.00,1.39,7.50,0.50,1.79,1.78,1.50,1.48,2.30,1,1,1,3.65,0,1
53,1.62,3.80,4.00,1.38,8.00,0.50,1.76,1.81,1.50,1.47,2.30,1,1,1,3.70,0,1
54,1.62,3.80,4.00,1.37,8.00,0.50,1.72,1.85,1.50,1.45,2.40,1.50,2.80,1.34,3.70,0,1
55,1.62,3.80,4.00,1.37,8.50,0.50,1.70,1.88,1.50,1.44,2.40,1.50,2.75,1.35,3.70,0,1
56,1.62,3.80,4.00,1.32,9.50,0.50,1.60,2.00,1.50,1.42,2.50,1.50,2.55,1.40,3.85,0,1
57,1.62,3.80,4.00,1.31,10.0,0.50,1.58,2.05,1.50,1.41,2.50,1.50,2.50,1.42,3.90,0,1
58,1.62,3.80,4.00,1.31,10.0,0.50,1.56,2.10,1.50,1.40,2.60,1.50,2.45,1.43,3.90,0,1
59,1.62,3.80,4.00,1.30,10.5,0.50,1.54,2.15,1.50,1.38,2.60,1.50,2.40,1.45,3.95,0,1
60,1.62,3.80,4.00,1.29,11.0,0.50,1.52,2.20,1.50,1.37,2.70,1.50,2.30,1.48,3.95,0,1
61,1.62,3.80,4.00,1.28,11.0,0.50,1.50,2.25,1.50,1.36,2.75,1.50,2.25,1.50,4.00,0,1
62,1.62,3.80,4.00,1.27,11.5,0.50,1.48,2.30,1.50,1.34,2.80,1.50,2.20,1.52,4.00,0,1
63,1.62,3.80,4.00,1.26,12.0,0.50,1.46,2.35,1.50,1.33,2.85,1.50,2.10,1.55,4.05,0,1
64,1.62,3.80,4.00,1.25,12.0,0.50,1.44,2.40,1.50,1.31,2.95,1.50,2.05,1.58,4.10,0,1
65,1.62,3.80,4.00,1.25,12.0,0.50,1.42,2.50,1.50,1.29,3.00,1.50,2.00,1.61,4.15,0,1
66,1.62,3.80,4.00,1.23,13.0,0.50,1.40,2.55,1.50,1.28,3.10,1.50,1.95,1.65,4.20,0,1
67,1.62,3.80,4.00,1.23,14.0,0.50,1.38,2.60,1.50,1.26,3.20,1.50,1.90,1.68,4.30,0,1
68,1.62,3.80,4.00,1.22,14.0,0.50,1.37,2.70,1.50,1.25,3.25,1.50,1.85,1.72,4.30,0,1
69,1.62,3.80,4.00,1.21,15.0,0.50,1.35,2.75,1.50,1.23,3.35,1.50,1.80,1.77,4.40,0,1
70,1.62,3.80,4.00,1.19,15.0,0.50,1.33,2.85,1.50,1.21,3.45,1.50,1.74,1.82,4.45,0,1
71,1.62,3.80,4.00,1.18,16.0,0.50,1.31,2.95,1.50,1.20,3.60,1.50,1.70,1.88,4.55,0,1
72,1.62,3.80,4.00,1.17,17.0,0.50,1.29,3.05,1.50,1.18,3.70,1.50,1.65,1.95,4.65,0,1
73,1.62,3.80,4.00,1.16,18.0,0.50,1.27,3.15,1.50,1.17,3.85,1.50,1.61,2.00,4.75,0,1
74,1.62,3.80,4.00,1.15,18.0,0.50,1.25,3.25,1.50,1.15,4.00,1.50,1.57,2.05,4.90,0,1
75,1.62,3.80,4.00,1.13,19.0,0.50,1.23,3.35,1.50,1.13,4.15,1.50,1.53,2.15,5.00,0,1
76,1.62,3.80,4.00,1.12,20.0,0.50,1.21,3.50,1.50,1.12,4.35,1.50,1.49,2.25,5.00,0,1
77,1.62,3.80,4.00,1.15,18.0,0.50,1.24,3.30,1.50,1.10,4.55,1.50,1.51,2.20,4.80,0,1
78,1.62,3.80,4.00,1.14,19.0,0.50,1.22,3.45,1.50,1.09,4.75,1.50,1.48,2.30,4.90,0,1
79,1.62,3.80,4.00,1.12,20.0,0.50,1.19,3.60,1.50,1.08,5.00,1.50,1.44,2.40,5.00,0,1
80,1.62,3.80,4.00,1.11,21.0,0.50,1.17,3.80,1.50,1.07,5.00,1.50,1.41,2.55,5.00,0,1
81,1.62,3.80,4.00,1.09,23.0,0.50,1.15,4.00,1.50,1.06,5.50,1.50,1.37,2.70,5.50,0,1
82,1.62,3.80,4.00,1.08,24.0,0.50,1.12,4.25,1.50,1.05,6.00,1.50,1.33,2.85,5.50,0,1
83,1.62,3.80,4.00,1.07,26.0,0.50,1.10,4.55,1.50,1.04,6.00,1.50,1.30,3.00,6.00,0,1
84,1.62,3.80,4.00,1.05,28.0,0.50,1.08,4.90,1.50,1.03,7.00,1.50,1.26,3.20,6.00,0,1
85,1.62,3.80,4.00,1.04,29.0,0.50,1.07,5.00,1.50,1.03,7.50,1.50,1.22,3.45,7.00,0,1
86,1.62,3.80,4.00,1.04,32.0,0.50,1.05,5.50,1.50,1.03,8.00,1.50,1.18,3.70,7.50,0,1
87,1.62,3.80,4.00,1.03,35.0,0.50,1.04,6.00,1.50,1.02,9.00,1.50,1.14,4.10,8.00,0,1
88,1.62,3.80,4.00,1.03,38.0,0.50,1.03,7.00,1.50,1.02,10.0,1.50,1.10,4.55,9.00,0,1
89,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
90,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
91,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
92,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
93,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
94,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
95,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
96,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
97,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
98,1.62,3.80,4.00,1.02,42.0,1,1,1,1,1,1,1,1,1,10.5,0,1
