min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.05,1.68,13.0,2.90,2.00,1.50,1.72,1.77,1.50,1.45,2.25,1,1,1,3.30,0,0
2,2.05,1.68,13.0,2.90,2.00,1.50,1.72,1.77,1.50,1.45,2.25,1,1,1,3.30,0,0
3,2.05,1.68,13.0,2.90,2.00,1.50,1.72,1.77,1.50,1.45,2.25,1,1,1,3.30,0,0
4,2.15,1.66,11.5,3.05,1.98,1.50,1.66,1.84,1.50,1.37,2.50,1,1,1,3.25,0,0
5,2.15,1.66,11.5,3.05,1.98,1.50,1.66,1.84,1.50,1.37,2.50,1,1,1,3.25,0,0
6,2.15,1.67,11.0,3.05,1.99,1.50,1.64,1.87,1.50,1.36,2.50,1,1,1,3.20,0,0
7,2.15,1.67,11.0,3.05,1.99,1.50,1.62,1.89,1.50,1.36,2.55,1,1,1,3.20,0,0
8,2.15,1.67,11.0,3.05,2.00,1.50,1.60,1.92,1.50,1.35,2.60,1,1,1,3.20,0,0
9,2.15,1.68,10.5,3.05,2.00,1.50,1.59,1.95,1.50,1.34,2.60,1,1,1,3.15,0,0
10,2.20,1.68,10.0,3.05,2.00,1.50,1.57,1.98,1.50,1.33,2.65,1,1,1,3.15,0,0
11,2.20,1.69,10.0,3.05,2.00,1.50,1.55,2.00,1.50,1.32,2.70,1,1,1,3.10,0,0
12,2.20,1.69,10.0,3.10,2.00,1.50,1.54,2.00,1.50,1.31,2.75,1,1,1,3.10,0,0
13,2.20,1.69,9.50,3.10,2.00,1.50,1.53,2.05,0.50,2.75,1.31,1,1,1,3.10,0,0
14,2.20,1.69,9.50,1.59,4.20,1.50,1.51,2.10,1.50,2.75,1.31,3.50,1.63,1.87,3.45,0,1
15,2.20,1.69,9.50,1.59,4.20,1.50,1.49,2.10,1.50,2.70,1.32,3.50,1.61,1.91,3.45,0,1
16,2.20,1.69,9.50,1.60,4.20,1.50,1.51,2.10,1.50,2.75,1.31,3.50,1.63,1.87,3.45,0,1
17,2.20,1.69,9.50,1.59,4.20,1.50,1.49,2.10,1.50,2.70,1.32,3.50,1.61,1.91,3.45,0,1
18,2.20,1.69,9.50,1.59,4.30,1.50,1.48,2.15,1.50,2.65,1.33,3.50,1.59,1.95,3.45,0,1
19,2.20,1.69,9.50,1.58,4.30,1.50,1.47,2.20,1.50,2.60,1.34,3.50,1.56,1.99,3.40,0,1
20,2.20,1.69,9.50,1.58,4.35,1.50,1.46,2.20,1.50,2.60,1.35,3.50,1.54,2.00,3.40,0,1
21,2.20,1.69,9.50,3.10,2.10,2.50,1.44,2.25,1.50,2.55,1.36,4.50,1.51,2.10,3.00,1,1
22,2.20,1.69,9.50,3.10,2.10,2.50,1.43,2.30,1.50,2.50,1.37,4.50,1.49,2.10,2.95,1,1
23,2.20,1.69,9.50,3.10,2.10,2.50,1.41,2.35,1.50,2.45,1.38,4.50,1.47,2.20,2.90,1,1
24,2.20,1.69,9.50,3.10,2.10,2.50,1.40,2.40,1.50,2.40,1.39,4.50,1.45,2.25,2.90,1,1
25,2.20,1.69,9.50,3.10,2.10,2.50,1.39,2.40,1.50,2.40,1.40,4.50,1.43,2.30,2.90,1,1
26,2.20,1.69,9.50,3.10,2.10,2.50,1.38,2.45,1.50,2.35,1.41,4.50,1.41,2.35,2.85,1,1
27,2.20,1.69,9.50,3.15,2.10,2.50,1.37,2.50,1.50,2.30,1.42,4.50,1.40,2.40,2.85,1,1
28,2.20,1.69,9.50,3.15,2.15,2.50,1.36,2.55,1.50,2.30,1.43,3.50,2.40,1.40,2.80,1,1
29,2.20,1.69,9.50,3.15,2.15,2.50,1.34,2.60,1.50,2.25,1.45,3.50,2.35,1.41,2.80,1,1
