min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,1.28,8.00,0.50,2.50,1.47,2.50,1.82,1.82,3.50,1.75,1.90,5.00,0,0
7,1.33,3.50,19.0,1.28,8.00,0.50,2.45,1.48,2.50,1.79,1.85,3.50,1.72,1.95,5.00,0,0
8,1.33,3.50,18.0,1.29,8.00,0.50,2.40,1.49,2.50,1.76,1.89,3.50,1.69,1.99,4.95,0,0
9,1.33,3.50,18.0,1.30,8.00,0.50,2.40,1.50,2.50,1.73,1.92,3.50,1.66,2.00,4.90,0,0
10,1.33,3.50,18.0,1.31,8.00,0.50,2.35,1.50,2.50,1.71,1.95,3.50,1.63,2.05,4.85,0,0
11,1.33,3.50,17.0,1.86,3.40,1.50,2.35,1.51,2.50,1.68,1.99,4.50,1.63,2.05,3.70,1,0
12,1.33,3.50,17.0,1.88,3.35,1.50,2.30,1.52,2.50,1.66,2.00,4.50,1.61,2.10,3.70,1,0
13,1.33,3.50,17.0,1.89,3.30,1.50,2.30,1.53,2.50,1.64,2.05,4.50,1.58,2.15,3.70,1,0
14,1.33,3.50,17.0,1.91,3.30,1.50,2.25,1.54,2.50,1.62,2.10,4.50,1.56,2.20,3.65,1,0
15,1.33,3.50,17.0,2.20,2.75,1.50,2.60,1.44,2.50,1.51,2.35,4.50,1.54,2.25,3.60,1,0
16,1.33,3.50,17.0,2.20,2.75,1.50,2.55,1.45,2.50,1.50,2.40,4.50,1.52,2.30,3.60,1,0
17,1.33,3.50,17.0,2.25,2.70,1.50,2.50,1.46,2.50,1.48,2.45,3.50,2.40,1.50,3.55,1,0
18,1.33,3.50,17.0,2.30,2.70,1.50,2.50,1.47,2.50,1.47,2.50,3.50,2.35,1.51,3.55,1,0
