min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,3.05,2.30,1.50,1.37,2.70,0.50,2.45,1.43,0.50,7.00,1.03,2.90,0,0
2,1,1,1,3.05,2.30,1.50,1.37,2.70,0.50,2.45,1.43,0.50,7.00,1.03,2.90,0,0
3,1,1,1,3.05,2.30,1.50,1.37,2.70,0.50,2.45,1.43,0.50,7.00,1.03,2.90,0,0
4,1,1,1,3.05,2.30,1.50,1.37,2.70,0.50,2.45,1.43,0.50,7.00,1.03,2.90,0,0
5,1,1,1,3.05,2.30,1.50,1.37,2.70,0.50,2.45,1.43,0.50,7.00,1.03,2.90,0,0
6,1,1,1,3.05,2.30,1.50,1.36,2.70,0.50,2.45,1.44,0.50,7.00,1.03,2.90,0,0
7,2.30,1.88,6.50,8.50,1.33,2.50,1.35,2.75,0.50,2.40,1.45,1,1,1,4.05,1,0
8,2.30,1.88,6.50,8.00,1.36,1.50,2.60,1.38,0.50,2.40,1.45,1,1,1,3.85,1,0
9,2.30,1.88,6.50,7.00,1.40,1.50,2.45,1.43,0.50,2.45,1.43,1,1,1,3.90,1,0
10,2.30,1.88,6.50,7.00,1.39,1.50,2.45,1.43,0.50,2.45,1.43,1,1,1,3.90,1,0
11,2.30,1.88,6.50,7.00,1.39,1.50,2.40,1.44,0.50,2.40,1.44,1,1,1,3.85,1,0
12,2.30,1.88,6.50,7.00,1.37,1.50,2.50,1.42,0.50,2.40,1.45,1,1,1,3.95,1,0
13,2.30,1.88,6.50,7.00,1.37,1.50,2.45,1.43,0.50,2.35,1.46,1,1,1,3.95,1,0
14,2.30,1.88,6.50,7.50,1.36,1.50,2.45,1.44,0.50,2.30,1.47,1,1,1,3.95,1,0
15,2.30,1.88,6.50,7.50,1.36,1.50,2.40,1.45,0.50,2.30,1.48,1,1,1,3.95,1,0
16,2.30,1.88,6.50,7.50,1.36,1.50,2.40,1.45,0.50,2.25,1.49,1,1,1,3.95,1,0
17,2.30,1.88,6.50,8.00,1.36,1.50,2.35,1.46,0.50,2.25,1.50,1,1,1,3.90,1,0
18,2.30,1.88,6.50,8.00,1.36,1.50,2.30,1.47,0.50,2.20,1.51,1,1,1,3.90,1,0
19,2.30,1.88,6.50,8.00,1.36,1.50,2.30,1.48,0.50,2.20,1.52,1,1,1,3.90,1,0
20,2.30,1.88,6.50,8.00,1.36,1.50,2.25,1.49,0.50,2.15,1.53,1,1,1,3.90,1,0
21,2.30,1.88,6.50,7.50,1.38,1.50,2.20,1.50,0.50,2.20,1.50,1,1,1,3.85,1,0
22,2.30,1.88,6.50,7.50,1.37,1.50,2.20,1.52,0.50,2.20,1.52,1,1,1,3.80,1,0
23,2.30,1.88,6.50,24.0,1.03,2.50,2.15,1.53,0.50,2.15,1.53,3.50,1.88,1.69,9.00,2,0
24,2.30,1.88,6.50,19.0,1.04,2.50,2.15,1.54,0.50,2.30,1.47,3.50,1.96,1.64,9.00,2,0
25,2.30,1.88,6.50,20.0,1.04,2.50,2.10,1.55,0.50,2.30,1.48,3.50,1.92,1.67,9.00,2,0
