min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,5.50,1.43,2.50,1.65,2.00,1.50,1.39,2.80,3.50,1.75,1.90,4.40,0,0
7,1,1,1,5.50,1.44,2.50,1.63,2.05,1.50,1.38,2.80,3.50,1.72,1.94,4.40,0,0
8,2.95,1.43,18.0,5.50,1.44,2.50,1.61,2.10,1.50,1.37,2.85,3.50,1.69,1.98,4.35,0,0
9,2.95,1.43,18.0,5.50,1.44,2.50,1.59,2.15,1.50,1.37,2.90,3.50,1.66,2.00,4.30,0,0
10,2.95,1.43,18.0,5.50,1.45,2.50,1.57,2.20,0.50,2.90,1.37,3.50,1.64,2.05,4.30,0,0
11,2.95,1.43,17.0,5.50,1.46,2.50,1.55,2.25,0.50,2.85,1.37,3.50,1.62,2.10,4.25,0,0
12,2.95,1.43,17.0,5.50,1.46,2.50,1.54,2.30,0.50,2.80,1.38,3.50,1.59,2.15,4.20,0,0
13,3.00,1.43,17.0,5.50,1.46,2.50,1.52,2.30,0.50,2.80,1.39,3.50,1.57,2.20,4.20,0,0
14,3.00,1.43,16.0,5.50,1.47,2.50,1.50,2.35,0.50,2.75,1.40,3.50,1.55,2.25,4.15,0,0
15,3.00,1.44,16.0,5.00,1.48,2.50,1.49,2.40,0.50,2.70,1.41,3.50,1.53,2.30,4.10,0,0
16,3.00,1.44,15.0,5.00,1.48,2.50,1.47,2.45,0.50,2.65,1.42,3.50,1.50,2.35,4.10,0,0
17,3.00,1.44,15.0,5.00,1.48,2.50,1.46,2.50,0.50,2.60,1.43,3.50,1.49,2.40,4.05,0,0
18,3.00,1.44,15.0,5.00,1.49,1.50,2.50,1.46,0.50,2.60,1.44,1,1,1,4.00,0,0
19,3.00,1.45,14.0,5.00,1.49,1.50,2.45,1.47,0.50,2.55,1.45,1,1,1,4.00,0,0
20,3.00,1.45,14.0,5.00,1.49,1.50,2.40,1.49,0.50,2.50,1.46,1,1,1,3.95,0,0
21,3.00,1.45,14.0,5.00,1.50,1.50,2.35,1.51,0.50,2.50,1.47,1,1,1,3.90,0,0
22,3.00,1.45,13.0,5.00,1.51,1.50,2.30,1.52,0.50,2.45,1.48,1,1,1,3.90,0,0
23,3.00,1.46,13.0,5.00,1.52,1.50,2.25,1.54,0.50,2.40,1.49,1,1,1,3.85,0,0
24,3.00,1.46,13.0,5.00,1.52,1.50,2.20,1.56,0.50,2.40,1.50,1,1,1,3.80,0,0
25,3.05,1.46,12.0,5.00,1.53,1.50,2.20,1.57,0.50,2.35,1.51,1,1,1,3.80,0,0
26,3.05,1.47,12.0,5.00,1.53,1.50,2.15,1.59,0.50,2.30,1.52,1,1,1,3.75,0,0
27,3.05,1.47,11.5,5.00,1.54,1.50,2.10,1.61,0.50,2.30,1.53,1,1,1,3.70,0,0
28,3.05,1.47,11.0,5.00,1.55,1.50,2.05,1.64,0.50,2.25,1.55,1,1,1,3.70,0,0
29,3.05,1.48,11.0,5.00,1.55,1.50,2.00,1.66,0.50,2.20,1.56,1,1,1,3.65,0,0
30,3.10,1.48,10.5,5.00,1.56,1.50,1.99,1.68,0.50,2.20,1.57,1,1,1,3.60,0,0
31,3.10,1.48,10.5,5.00,1.56,1.50,1.95,1.71,0.50,2.15,1.59,1,1,1,3.60,0,0
32,3.10,1.49,10.0,5.00,1.57,1.50,1.91,1.74,0.50,2.10,1.60,1,1,1,3.55,0,0
33,3.10,1.49,9.50,5.00,1.58,1.50,1.87,1.77,0.50,2.10,1.62,1,1,1,3.50,0,0
34,3.10,1.50,9.50,5.00,1.59,1.50,1.84,1.80,0.50,2.05,1.63,1,1,1,3.50,0,0
35,3.10,1.50,9.00,5.00,1.60,1.50,1.81,1.84,0.50,2.05,1.65,1,1,1,3.45,0,0
36,3.15,1.51,9.00,5.00,1.61,1.50,1.78,1.87,0.50,2.00,1.67,1,1,1,3.40,0,0
37,3.15,1.51,8.50,5.00,1.62,1.50,1.74,1.91,0.50,1.99,1.68,1,1,1,3.35,0,0
38,3.15,1.52,8.00,5.00,1.63,1.50,1.71,1.95,0.50,1.96,1.71,1,1,1,3.30,0,0
