min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.71,2.55,8.00,2.00,3.70,0.50,2.45,1.47,1.50,1.57,2.20,1,1,1,3.05,0,0
2,1.71,2.55,8.00,2.00,3.70,0.50,2.45,1.47,1.50,1.57,2.20,1,1,1,3.05,0,0
3,1.71,2.55,8.00,2.00,3.70,0.50,2.45,1.47,1.50,1.57,2.20,1,1,1,3.05,0,0
4,1.71,2.55,8.00,2.00,3.70,0.50,2.45,1.47,1.50,1.57,2.20,1,1,1,3.05,0,0
5,1.71,2.55,8.00,2.00,3.70,0.50,2.45,1.47,1.50,1.57,2.20,1,1,1,3.05,0,0
6,1.72,2.55,8.00,2.00,3.70,0.50,2.45,1.48,1.50,1.55,2.25,1,1,1,3.05,0,0
7,1.72,2.55,8.00,2.00,3.70,0.50,2.40,1.49,1.50,1.54,2.25,1,1,1,3.05,0,0
8,1.73,2.60,7.50,2.00,3.70,0.50,2.40,1.50,1.50,1.53,2.30,1,1,1,3.00,0,0
9,1.73,2.60,7.50,2.00,3.75,0.50,2.35,1.51,1.50,1.52,2.30,1,1,1,3.00,0,0
10,1.74,2.60,7.00,2.05,3.75,0.50,2.30,1.52,1.50,1.50,2.35,1,1,1,3.00,0,0
11,1.74,2.60,7.00,2.05,3.70,0.50,2.30,1.53,1.50,1.49,2.40,1,1,1,2.95,0,0
12,1.75,2.60,7.00,2.05,3.75,0.50,2.25,1.54,1.50,1.48,2.45,1,1,1,2.95,0,0
13,1.76,2.60,7.00,4.55,1.74,1.50,2.25,1.55,1.50,1.47,2.50,3.50,1.46,2.50,3.25,1,0
14,1.76,2.60,7.00,4.90,1.66,1.50,2.40,1.50,1.50,1.44,2.60,3.50,1.46,2.50,3.35,1,0
15,1.76,2.60,7.00,5.00,1.65,1.50,2.35,1.51,1.50,1.43,2.60,1,1,1,3.35,1,0
16,1.76,2.60,7.00,5.00,1.65,1.50,2.30,1.52,1.50,1.42,2.65,1,1,1,3.35,1,0
17,1.76,2.60,7.00,5.00,1.65,1.50,2.30,1.53,1.50,1.41,2.70,1,1,1,3.30,1,0
18,1.76,2.60,7.00,5.00,1.64,1.50,2.25,1.54,1.50,1.40,2.75,1,1,1,3.30,1,0
19,1.76,2.60,7.00,5.00,1.63,1.50,2.25,1.55,1.50,1.39,2.80,1,1,1,3.30,1,0
20,1.76,2.60,7.00,5.00,1.63,1.50,2.20,1.56,1.50,1.38,2.80,1,1,1,3.30,1,0
21,1.76,2.60,7.00,5.00,1.63,1.50,2.20,1.58,1.50,1.37,2.85,1,1,1,3.30,1,0
22,1.76,2.60,7.00,5.00,1.62,1.50,2.15,1.59,0.50,2.90,1.37,1,1,1,3.30,1,0
23,1.76,2.60,7.00,5.50,1.62,1.50,2.10,1.60,0.50,2.85,1.37,1,1,1,3.30,1,0
24,1.76,2.60,7.00,5.50,1.62,1.50,2.10,1.62,0.50,2.80,1.38,1,1,1,3.30,1,0
25,1.76,2.60,7.00,5.50,1.61,1.50,2.05,1.63,0.50,2.75,1.39,1,1,1,3.30,1,0
26,1.76,2.60,7.00,5.50,1.60,1.50,2.05,1.64,0.50,2.70,1.40,1,1,1,3.30,1,0
27,1.76,2.60,7.00,5.50,1.60,1.50,2.00,1.66,0.50,2.70,1.42,1,1,1,3.30,1,0
28,1.76,2.60,7.00,6.00,1.59,1.50,2.00,1.68,0.50,2.65,1.43,1,1,1,3.30,1,0
29,1.76,2.60,7.00,6.00,1.58,1.50,1.98,1.69,0.50,2.60,1.44,1,1,1,3.25,1,0
30,1.76,2.60,7.00,6.00,1.57,1.50,1.95,1.71,0.50,2.55,1.45,1,1,1,3.25,1,0
31,1.76,2.60,7.00,6.00,1.57,1.50,1.93,1.73,0.50,2.50,1.46,1,1,1,3.25,1,0
32,1.76,2.60,7.00,6.00,1.56,1.50,1.90,1.75,0.50,2.45,1.47,1,1,1,3.25,1,0
33,1.76,2.60,7.00,6.50,1.56,1.50,1.88,1.76,0.50,2.40,1.49,1,1,1,3.25,1,0
