min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.26,4.10,17.0,1.23,9.50,0.50,1.85,1.79,2.50,1.60,2.10,1,1,1,5.00,0,0
2,1.26,4.10,17.0,1.23,9.50,0.50,1.85,1.79,2.50,1.60,2.10,1,1,1,5.00,0,0
3,1.26,4.10,17.0,1.23,9.50,0.50,1.85,1.79,2.50,1.60,2.10,1,1,1,5.00,0,0
4,1.26,4.10,17.0,1.23,9.50,0.50,1.85,1.79,2.50,1.60,2.10,1,1,1,5.00,0,0
5,1.26,4.10,17.0,1.23,9.50,0.50,1.85,1.79,2.50,1.60,2.10,1,1,1,5.00,0,0
6,1.26,4.10,16.0,1.04,25.0,0.50,1.84,1.81,3.50,1.58,2.15,3.50,2.25,1.54,12.0,0,1
7,1.26,4.10,16.0,1.04,25.0,0.50,1.82,1.82,3.50,1.56,2.20,3.50,2.20,1.56,12.0,0,1
8,1.26,4.10,16.0,1.04,25.0,0.50,1.81,1.84,3.50,1.55,2.25,3.50,2.15,1.58,12.0,0,1
9,1.26,4.10,16.0,1.04,25.0,0.50,1.79,1.85,3.50,1.53,2.30,3.50,2.10,1.60,12.0,0,1
10,1.26,4.10,16.0,1.04,25.0,0.50,1.78,1.87,3.50,1.51,2.35,3.50,2.10,1.62,12.0,0,1
11,1.26,4.10,16.0,1.04,25.0,0.50,1.76,1.89,3.50,1.50,2.40,3.50,2.05,1.64,12.0,0,1
12,1.26,4.10,16.0,1.04,25.0,0.50,1.74,1.91,3.50,1.48,2.45,3.50,2.00,1.67,12.0,0,1
13,1.26,4.10,16.0,1.04,26.0,0.50,1.73,1.93,3.50,1.47,2.50,3.50,1.99,1.69,11.5,0,1
14,1.26,4.10,16.0,1.04,26.0,0.50,1.72,1.94,3.50,1.46,2.50,3.50,1.95,1.71,11.5,0,1
15,1.26,4.10,16.0,1.04,26.0,0.50,1.70,1.96,2.50,2.50,1.46,3.50,1.91,1.74,11.5,0,1
16,1.26,4.10,16.0,1.04,26.0,0.50,1.69,1.98,2.50,2.45,1.48,3.50,1.88,1.77,11.5,0,1
17,1.26,4.10,16.0,1.04,26.0,0.50,1.68,2.00,2.50,2.40,1.49,3.50,1.84,1.80,11.5,0,1
18,1.26,4.10,16.0,1.04,26.0,0.50,1.67,2.00,2.50,2.35,1.51,3.50,1.81,1.83,11.0,0,1
19,1.26,4.10,16.0,-,-,0.50,1.65,2.00,3.50,2.30,1.52,4.50,1.78,1.87,-,0,2
20,1.26,4.10,16.0,-,-,0.50,1.64,2.05,3.50,2.25,1.54,4.50,1.74,1.91,-,0,2
21,1.26,4.10,16.0,-,-,0.50,1.63,2.05,3.50,2.20,1.56,4.50,1.72,1.94,-,0,2
22,1.26,4.10,16.0,-,-,0.50,1.62,2.10,3.50,2.20,1.57,4.50,1.69,1.99,-,0,2
23,1.26,4.10,16.0,-,-,0.50,1.60,2.10,3.50,2.15,1.59,4.50,1.66,2.00,-,0,2
24,1.26,4.10,16.0,-,-,0.50,1.59,2.15,3.50,2.10,1.61,4.50,1.63,2.05,-,0,2
25,1.26,4.10,16.0,-,-,0.50,1.58,2.15,3.50,2.05,1.63,4.50,1.61,2.10,-,0,2
26,1.26,4.10,16.0,-,-,0.50,1.57,2.20,3.50,2.00,1.65,4.50,1.59,2.15,-,0,2
