min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.62,11.0,3.55,1.86,1.50,1.74,1.83,0.50,2.80,1.34,1,1,1,3.30,0,0
2,2.40,1.62,11.0,3.55,1.86,1.50,1.74,1.83,0.50,2.80,1.34,1,1,1,3.30,0,0
3,2.40,1.62,11.0,3.55,1.86,1.50,1.74,1.83,0.50,2.80,1.34,1,1,1,3.30,0,0
4,2.40,1.62,11.0,3.55,1.86,1.50,1.74,1.83,0.50,2.80,1.34,1,1,1,3.30,0,0
5,2.40,1.62,11.0,3.55,1.86,1.50,1.74,1.83,0.50,2.80,1.34,1,1,1,3.30,0,0
6,2.40,1.62,10.5,3.60,1.87,1.50,1.72,1.85,0.50,2.75,1.35,1,1,1,3.30,0,0
7,2.40,1.63,10.5,3.55,1.88,1.50,1.70,1.88,0.50,2.70,1.36,1,1,1,3.25,0,0
8,2.40,1.63,10.0,3.55,1.88,1.50,1.68,1.91,0.50,2.70,1.37,1,1,1,3.25,0,0
9,2.20,1.76,9.50,3.10,2.10,1.50,1.54,2.15,1.50,1.34,2.80,1,1,1,3.10,0,0
10,2.20,1.76,9.00,3.10,2.15,1.50,1.53,2.15,0.50,2.80,1.34,1,1,1,3.10,0,0
11,2.25,1.77,9.00,3.10,2.15,1.50,1.51,2.20,0.50,2.80,1.34,1,1,1,3.10,0,0
12,2.25,1.77,9.00,3.10,2.15,1.50,1.50,2.25,0.50,2.75,1.35,1,1,1,3.05,0,0
13,2.25,1.78,8.50,3.10,2.15,1.50,1.49,2.30,0.50,2.70,1.36,1,1,1,3.05,0,0
14,2.25,1.78,8.50,3.10,2.15,1.50,1.47,2.30,0.50,2.70,1.37,1,1,1,3.00,0,0
15,2.25,1.79,8.00,3.10,2.20,1.50,1.46,2.35,0.50,2.65,1.38,1,1,1,3.00,0,0
16,2.25,1.79,8.00,3.10,2.20,1.50,1.45,2.40,0.50,2.60,1.39,1,1,1,3.00,0,0
17,2.30,1.80,8.00,3.15,2.20,1.50,1.44,2.40,0.50,2.55,1.40,1,1,1,2.95,0,0
18,2.30,1.81,7.50,3.15,2.20,1.50,1.43,2.45,0.50,2.50,1.41,1,1,1,2.95,0,0
19,2.30,1.81,7.50,3.15,2.20,1.50,1.42,2.50,0.50,2.50,1.42,1,1,1,2.90,0,0
20,2.30,1.82,7.00,3.15,2.20,1.50,1.40,2.55,0.50,2.45,1.43,1,1,1,2.90,0,0
21,2.30,1.83,7.00,3.15,2.20,1.50,1.39,2.60,0.50,2.40,1.44,1,1,1,2.90,0,0
22,2.30,1.84,7.00,3.15,2.25,1.50,1.38,2.60,0.50,2.40,1.45,1,1,1,2.85,0,0
23,2.30,1.84,6.50,3.20,2.25,1.50,1.37,2.70,0.50,2.35,1.46,1.50,2.40,1.45,2.85,0,0
24,2.35,1.85,6.50,3.20,2.25,1.50,1.36,2.70,0.50,2.30,1.47,1.50,2.35,1.46,2.80,0,0
