min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.35,1.70,11.5,3.45,1.99,1.50,1.79,1.85,1.50,1.41,2.70,1,1,1,3.30,0,0
2,2.35,1.70,11.5,3.45,1.99,1.50,1.79,1.85,1.50,1.41,2.70,1,1,1,3.30,0,0
3,2.35,1.70,11.5,3.45,1.99,1.50,1.79,1.85,1.50,1.41,2.70,1,1,1,3.30,0,0
4,2.35,1.70,11.5,3.45,1.99,1.50,1.79,1.85,1.50,1.41,2.70,1,1,1,3.30,0,0
5,2.35,1.70,11.5,3.45,1.99,1.50,1.79,1.85,1.50,1.41,2.70,1,1,1,3.30,0,0
6,2.40,1.70,11.0,3.45,1.99,1.50,1.78,1.87,1.50,1.40,2.75,1,1,1,3.25,0,0
7,2.40,1.70,11.0,3.45,2.00,1.50,1.75,1.89,1.50,1.39,2.80,1,1,1,3.25,0,0
8,2.40,1.71,10.5,3.50,2.00,1.50,1.73,1.92,1.50,1.38,2.80,1,1,1,3.25,0,0
9,2.40,1.71,10.5,3.50,2.00,1.50,1.71,1.95,1.50,1.37,2.85,1,1,1,3.20,0,0
10,2.40,1.71,10.0,3.50,2.00,1.50,1.69,1.98,0.50,2.90,1.36,1,1,1,3.20,0,0
11,2.40,1.72,10.0,3.50,2.00,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.20,0,0
12,2.40,1.72,10.0,3.50,2.05,1.50,1.66,2.00,0.50,2.85,1.38,1,1,1,3.15,0,0
13,2.40,1.73,9.50,3.50,2.05,1.50,1.64,2.05,0.50,2.80,1.38,1,1,1,3.15,0,0
14,2.40,1.73,9.50,3.50,2.05,1.50,1.62,2.10,0.50,2.75,1.39,1,1,1,3.10,0,0
15,2.40,1.74,9.00,3.50,2.05,1.50,1.61,2.10,0.50,2.70,1.40,1,1,1,3.10,0,0
16,2.45,1.74,9.00,3.50,2.05,1.50,1.59,2.15,0.50,2.70,1.41,1,1,1,3.10,0,0
17,2.45,1.75,8.50,3.50,2.05,1.50,1.57,2.20,0.50,2.65,1.42,1,1,1,3.05,0,0
