min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.50,1.48,19.0,3.95,1.57,1.50,2.35,1.46,1.50,1.39,2.60,3.50,1.54,2.10,4.15,0,0
2,2.50,1.48,19.0,3.95,1.57,1.50,2.35,1.46,1.50,1.39,2.60,3.50,1.54,2.10,4.15,0,0
3,2.50,1.48,19.0,3.95,1.57,1.50,2.35,1.46,1.50,1.39,2.60,3.50,1.54,2.10,4.15,0,0
4,2.50,1.48,19.0,3.95,1.57,1.50,2.35,1.46,1.50,1.39,2.60,3.50,1.54,2.10,4.15,0,0
5,2.50,1.48,19.0,3.95,1.57,1.50,2.35,1.46,1.50,1.39,2.60,3.50,1.54,2.10,4.15,0,0
6,2.55,1.48,18.0,3.95,1.57,1.50,2.30,1.47,1.50,1.38,2.60,3.50,1.53,2.15,4.10,0,0
7,2.55,1.49,18.0,3.95,1.58,1.50,2.25,1.49,1.50,1.37,2.65,3.50,1.51,2.20,4.10,0,0
8,2.55,1.49,17.0,3.95,1.58,1.50,2.20,1.50,1.50,1.36,2.70,3.50,1.49,2.25,4.05,0,0
9,2.55,1.49,17.0,2.05,2.70,1.50,2.20,1.52,2.50,1.36,2.75,3.50,2.30,1.47,3.80,0,1
10,2.55,1.49,17.0,1.90,3.10,1.50,1.81,1.76,1.50,2.55,1.40,3.50,1.85,1.72,3.65,0,1
11,2.55,1.49,17.0,1.90,3.10,1.50,1.78,1.78,1.50,2.50,1.41,3.50,1.81,1.75,3.65,0,1
12,2.55,1.49,17.0,1.88,3.15,1.50,1.76,1.81,1.50,2.50,1.42,3.50,1.78,1.79,3.60,0,1
13,2.55,1.49,17.0,1.88,3.20,1.50,1.74,1.83,1.50,2.45,1.43,3.50,1.75,1.81,3.60,0,1
14,2.55,1.49,17.0,1.86,3.20,1.50,1.71,1.86,1.50,2.45,1.44,3.50,1.72,1.85,3.60,0,1
15,2.55,1.49,17.0,1.86,3.25,1.50,1.69,1.88,1.50,2.40,1.45,3.50,1.69,1.88,3.60,0,1
16,2.55,1.49,17.0,1.85,3.30,1.50,1.67,1.91,1.50,2.40,1.45,3.50,1.67,1.91,3.60,0,1
17,2.55,1.49,17.0,1.84,3.30,1.50,1.65,1.94,1.50,2.35,1.46,3.50,1.65,1.95,3.55,0,1
18,2.55,1.49,17.0,1.84,3.35,1.50,1.63,1.97,1.50,2.30,1.47,3.50,1.62,1.99,3.55,0,1
19,2.55,1.49,17.0,1.82,3.35,1.50,1.61,2.00,1.50,2.30,1.48,3.50,1.60,2.00,3.55,0,1
20,2.55,1.49,17.0,3.35,1.92,2.50,1.53,2.15,1.50,2.45,1.43,4.50,1.57,2.05,3.30,1,1
21,2.55,1.49,17.0,3.30,1.93,2.50,1.51,2.20,1.50,2.40,1.44,4.50,1.55,2.10,3.30,1,1
22,2.55,1.49,17.0,3.35,1.94,2.50,1.50,2.25,1.50,2.40,1.45,4.50,1.53,2.15,3.25,1,1
23,2.55,1.49,17.0,3.35,1.94,2.50,1.48,2.30,1.50,2.35,1.46,4.50,1.51,2.20,3.25,1,1
24,2.55,1.49,17.0,3.35,1.97,2.50,1.47,2.30,1.50,2.30,1.47,4.50,1.49,2.25,3.20,1,1
25,2.55,1.49,17.0,3.40,1.97,2.50,1.45,2.40,1.50,2.30,1.48,4.50,1.48,2.30,3.20,1,1
26,2.55,1.49,17.0,3.40,1.99,2.50,1.44,2.40,1.50,2.25,1.49,4.50,1.46,2.35,3.15,1,1
27,2.55,1.49,17.0,3.40,1.99,2.50,1.43,2.45,1.50,2.20,1.50,4.50,1.44,2.40,3.15,1,1
28,2.55,1.49,17.0,3.40,2.00,2.50,1.42,2.50,1.50,2.20,1.52,3.50,2.50,1.42,3.10,1,1
29,2.55,1.49,17.0,3.40,2.00,2.50,1.40,2.55,1.50,2.15,1.53,3.50,2.40,1.44,3.10,1,1
30,2.55,1.49,17.0,3.40,2.00,2.50,1.39,2.60,1.50,2.10,1.54,3.50,2.40,1.45,3.05,1,1
31,2.55,1.49,17.0,3.40,2.00,2.50,1.38,2.65,1.50,2.10,1.55,3.50,2.30,1.47,3.05,1,1
32,2.55,1.49,17.0,3.40,2.00,2.50,1.37,2.70,1.50,2.05,1.57,3.50,2.30,1.49,3.00,1,1
33,2.55,1.49,17.0,3.40,2.05,2.50,1.35,2.75,1.50,2.05,1.58,3.50,2.20,1.50,3.00,1,1
34,2.55,1.49,17.0,3.45,2.05,2.50,1.34,2.80,1.50,2.00,1.60,3.50,2.20,1.52,2.95,1,1
35,2.55,1.49,17.0,3.45,2.05,1.50,2.80,1.34,1.50,2.00,1.61,3.50,2.10,1.54,2.90,1,1
36,2.55,1.49,17.0,3.45,2.10,1.50,2.75,1.35,1.50,1.98,1.63,3.50,2.10,1.57,2.90,1,1
37,2.55,1.49,17.0,3.50,2.10,1.50,2.70,1.36,1.50,1.95,1.65,3.50,2.00,1.59,2.90,1,1
38,2.55,1.49,17.0,3.50,2.10,1.50,2.70,1.37,1.50,1.91,1.67,3.50,2.00,1.62,2.85,1,1
39,2.55,1.49,17.0,3.50,2.10,1.50,2.60,1.39,1.50,1.89,1.69,3.50,1.95,1.65,2.80,1,1
