min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
10,1.66,2.35,14.0,1.90,3.35,1.50,1.42,2.65,1.50,1.84,1.80,1,1,1,3.60,0,0
11,1.67,2.35,13.0,1.91,3.35,1.50,1.41,2.70,1.50,1.82,1.82,1,1,1,3.60,0,0
12,1.67,2.35,13.0,1.92,3.35,1.50,1.40,2.75,1.50,1.79,1.85,1,1,1,3.55,0,0
13,1.67,2.35,13.0,1.93,3.35,1.50,1.39,2.80,1.50,1.78,1.87,1,1,1,3.55,0,0
14,1.68,2.35,12.0,1.94,3.40,1.50,1.38,2.80,1.50,1.75,1.90,1,1,1,3.55,0,0
15,1.68,2.35,12.0,1.95,3.40,1.50,1.37,2.85,1.50,1.73,1.93,1,1,1,3.50,0,0
16,1.68,2.35,12.0,1.95,3.40,0.50,2.90,1.36,1.50,1.71,1.95,1,1,1,3.50,0,0
17,1.69,2.40,11.5,1.96,3.35,0.50,2.85,1.37,1.50,1.69,1.99,1,1,1,3.45,0,0
18,1.69,2.40,11.5,1.97,3.40,0.50,2.85,1.38,1.50,1.67,2.00,1,1,1,3.45,0,0
19,1.70,2.40,11.0,1.98,3.40,0.50,2.80,1.39,1.50,1.65,2.00,1,1,1,3.40,0,0
20,1.70,2.40,10.5,1.99,3.40,0.50,2.75,1.40,1.50,1.63,2.05,1,1,1,3.40,0,0
21,1.70,2.40,10.5,1.99,3.40,0.50,2.70,1.41,1.50,1.61,2.10,1,1,1,3.35,0,0
22,1.71,2.40,10.0,1.99,3.40,0.50,2.65,1.42,1.50,1.59,2.15,1,1,1,3.35,0,0
23,1.72,2.40,10.0,2.00,3.40,0.50,2.60,1.43,1.50,1.58,2.20,1,1,1,3.30,0,0
24,1.72,2.40,9.50,2.00,3.40,0.50,2.60,1.44,1.50,1.56,2.20,1,1,1,3.30,0,0
25,1.73,2.45,9.00,2.00,3.40,0.50,2.55,1.45,1.50,1.54,2.25,1,1,1,3.25,0,0
26,1.73,2.45,9.00,2.00,3.40,0.50,2.50,1.46,1.50,1.53,2.30,1,1,1,3.25,0,0
27,1.74,2.45,8.50,2.00,3.40,0.50,2.45,1.47,1.50,1.51,2.35,1,1,1,3.20,0,0
28,1.75,2.45,8.00,2.05,3.40,0.50,2.45,1.48,1.50,1.50,2.40,1,1,1,3.20,0,0
29,1.75,2.50,8.00,2.05,3.40,0.50,2.40,1.50,1.50,1.49,2.40,1,1,1,3.15,0,0
30,1.76,2.50,8.00,2.05,3.40,0.50,2.35,1.51,1.50,1.47,2.50,1,1,1,3.15,0,0
31,1.77,2.50,7.50,2.05,3.45,0.50,2.30,1.52,1.50,1.46,2.50,1,1,1,3.10,0,0
32,1.78,2.50,7.00,2.10,3.45,0.50,2.30,1.53,1.50,1.44,2.60,1,1,1,3.10,0,0
33,1.79,2.50,7.00,1.28,10.0,0.50,2.25,1.54,2.50,1.43,2.60,1,1,1,4.75,0,1
34,1.79,2.50,7.00,1.28,10.0,0.50,2.20,1.56,2.50,1.42,2.70,1,1,1,4.75,0,1
35,1.79,2.50,7.00,1.28,10.0,0.50,2.20,1.57,2.50,1.40,2.70,1,1,1,4.75,0,1
36,1.79,2.50,7.00,1.27,10.5,0.50,2.15,1.59,2.50,1.39,2.80,1,1,1,4.70,0,1
37,1.79,2.50,7.00,1.45,6.00,1.50,1.38,2.85,2.50,1.38,2.85,3.50,1.55,2.20,4.25,0,1
38,1.79,2.50,7.00,1.45,6.00,0.50,2.90,1.36,1.50,2.90,1.36,3.50,1.53,2.30,4.25,0,1
39,1.79,2.50,7.00,1.44,6.00,0.50,2.85,1.37,1.50,2.85,1.37,3.50,1.51,2.35,4.25,0,1
40,1.79,2.50,7.00,1.44,6.00,0.50,2.80,1.39,1.50,2.80,1.39,3.50,1.49,2.40,4.20,0,1
41,1.79,2.50,7.00,1.44,6.00,0.50,2.75,1.40,1.50,2.75,1.40,3.50,1.47,2.50,4.20,0,1
42,1.79,2.50,7.00,1.43,6.00,0.50,2.70,1.41,1.50,2.70,1.41,1,1,1,4.20,0,1
43,1.79,2.50,7.00,1.43,6.50,0.50,2.65,1.43,1.50,2.65,1.43,1,1,1,4.20,0,1
44,1.79,2.50,7.00,1.42,6.50,0.50,2.60,1.44,1.50,2.60,1.44,1,1,1,4.15,0,1
45,1.79,2.50,7.00,1.42,6.50,0.50,2.50,1.45,1.50,2.50,1.45,1,1,1,4.15,0,1
46,1.79,2.50,7.00,1.41,7.00,0.50,2.50,1.47,1.50,2.50,1.47,1,1,1,4.10,0,1
47,1.79,2.50,7.00,1.41,7.00,0.50,2.40,1.49,1.50,2.40,1.49,1,1,1,4.10,0,1
48,1.79,2.50,7.00,1.41,7.00,0.50,2.35,1.50,1.50,2.35,1.50,1,1,1,4.10,0,1
49,1.79,2.50,7.00,1.40,7.00,0.50,2.30,1.52,1.50,2.30,1.52,1,1,1,4.10,0,1
50,1.79,2.50,7.00,1.40,7.50,0.50,2.25,1.54,1.50,2.25,1.54,1,1,1,4.10,0,1
51,1.79,2.50,7.00,1.39,7.50,0.50,2.20,1.56,1.50,2.20,1.56,1,1,1,4.10,0,1
52,1.79,2.50,7.00,1.39,7.50,0.50,2.20,1.58,1.50,2.20,1.58,1,1,1,4.10,0,1
53,1.79,2.50,7.00,1.39,8.00,0.50,2.10,1.60,1.50,2.10,1.60,1,1,1,4.10,0,1
54,1.79,2.50,7.00,1.38,8.00,0.50,2.10,1.62,1.50,2.10,1.62,1,1,1,4.10,0,1
55,1.79,2.50,7.00,2.85,2.85,1.50,2.05,1.64,1.50,2.05,1.64,3.50,1.74,1.91,2.65,1,1
56,1.79,2.50,7.00,2.90,2.90,1.50,2.00,1.67,1.50,2.00,1.67,3.50,1.70,1.96,2.60,1,1
57,1.79,2.50,7.00,2.90,2.90,1.50,1.97,1.70,1.50,1.97,1.70,3.50,1.66,2.00,2.55,1,1
58,1.79,2.50,7.00,1.36,9.00,1.50,1.93,1.73,2.50,1.93,1.73,4.50,1.62,2.10,4.10,1,2
