min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.73,19.0,2.70,2.05,1.50,1.97,1.64,1.50,1.68,1.90,3.50,1.59,2.00,3.80,0,0
2,2.00,1.73,19.0,2.70,2.05,1.50,1.97,1.64,1.50,1.68,1.90,3.50,1.59,2.00,3.80,0,0
3,2.00,1.73,19.0,2.70,2.05,1.50,1.97,1.64,1.50,1.68,1.90,3.50,1.59,2.00,3.80,0,0
4,2.00,1.73,19.0,2.70,2.05,1.50,1.97,1.64,1.50,1.68,1.90,3.50,1.59,2.00,3.80,0,0
5,2.00,1.73,19.0,2.70,2.05,1.50,1.97,1.64,1.50,1.68,1.90,3.50,1.59,2.00,3.80,0,0
6,2.00,1.73,18.0,2.70,2.05,1.50,1.94,1.66,1.50,1.66,1.92,3.50,1.57,2.10,3.80,0,0
7,2.00,1.73,18.0,2.70,2.10,1.50,1.91,1.68,1.50,1.65,1.95,3.50,1.55,2.10,3.75,0,0
8,2.00,1.74,18.0,2.70,2.10,1.50,1.88,1.70,1.50,1.63,1.98,3.50,1.53,2.15,3.75,0,0
9,2.00,1.74,17.0,2.70,2.10,1.50,1.85,1.72,1.50,1.61,2.00,3.50,1.51,2.20,3.70,0,0
10,2.00,1.74,17.0,2.70,2.10,1.50,1.82,1.74,1.50,1.60,2.00,3.50,1.49,2.30,3.70,0,0
11,2.00,1.74,16.0,2.70,2.10,1.50,1.81,1.76,1.50,1.58,2.05,3.50,1.47,2.30,3.65,0,0
12,2.00,1.75,16.0,2.70,2.10,1.50,1.78,1.79,1.50,1.57,2.10,1,1,1,3.65,0,0
13,2.00,1.75,16.0,2.70,2.10,1.50,1.76,1.81,1.50,1.55,2.10,1,1,1,3.65,0,0
14,2.00,1.75,15.0,2.70,2.10,1.50,1.73,1.83,1.50,1.53,2.15,1,1,1,3.60,0,0
15,2.00,1.76,15.0,2.70,2.10,1.50,1.71,1.86,1.50,1.52,2.20,1,1,1,3.60,0,0
16,2.00,1.76,14.0,2.70,2.10,1.50,1.69,1.88,1.50,1.51,2.20,1,1,1,3.55,0,0
17,2.00,1.77,14.0,2.70,2.15,1.50,1.67,1.92,1.50,1.49,2.25,1,1,1,3.55,0,0
18,2.00,1.77,14.0,2.70,2.15,1.50,1.65,1.95,1.50,1.48,2.30,1,1,1,3.50,0,0
19,2.05,1.77,13.0,2.75,2.15,1.50,1.63,1.98,1.50,1.47,2.30,1,1,1,3.50,0,0
20,2.05,1.78,13.0,2.75,2.15,1.50,1.61,2.00,1.50,1.46,2.35,1,1,1,3.45,0,0
21,2.10,1.72,14.0,2.90,2.00,1.50,1.70,1.88,1.50,1.45,2.40,1,1,1,3.55,0,0
22,2.10,1.72,13.0,2.90,2.05,1.50,1.68,1.91,1.50,1.44,2.40,1,1,1,3.50,0,0
23,2.10,1.72,13.0,2.90,2.05,1.50,1.65,1.94,1.50,1.42,2.50,1,1,1,3.50,0,0
24,2.10,1.73,12.0,2.90,2.05,1.50,1.63,1.98,1.50,1.41,2.50,1,1,1,3.45,0,0
25,2.10,1.73,13.0,2.90,2.05,1.50,1.65,1.95,1.50,1.43,2.45,1,1,1,3.50,0,0
26,2.10,1.73,12.0,2.90,2.05,1.50,1.63,1.99,1.50,1.41,2.50,1,1,1,3.45,0,0
27,2.10,1.74,12.0,2.90,2.05,1.50,1.61,2.00,1.50,1.40,2.55,1,1,1,3.40,0,0
28,2.10,1.74,12.0,2.90,2.10,1.50,1.59,2.05,1.50,1.39,2.60,1,1,1,3.40,0,0
