min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.05,1.40,13.0,5.00,1.44,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,4.00,0,0
2,3.05,1.40,13.0,5.00,1.44,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,4.00,0,0
3,3.05,1.40,13.0,5.00,1.44,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,4.00,0,0
4,3.05,1.40,13.0,5.00,1.44,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,4.00,0,0
5,3.05,1.40,13.0,5.00,1.44,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,4.00,0,0
6,3.05,1.40,13.0,16.0,1.07,2.50,2.20,1.50,0.50,2.25,1.50,3.50,2.00,1.60,7.00,1,0
7,3.05,1.40,13.0,16.0,1.07,2.50,2.20,1.52,0.50,2.20,1.51,3.50,1.99,1.63,7.00,1,0
8,3.05,1.40,13.0,10.5,1.12,2.50,1.99,1.63,0.50,2.50,1.42,3.50,1.97,1.63,7.00,1,0
9,3.05,1.40,13.0,10.5,1.12,2.50,1.96,1.64,0.50,2.45,1.43,3.50,1.94,1.65,7.00,1,0
10,3.05,1.40,13.0,11.0,1.11,2.50,1.86,1.71,0.50,2.30,1.47,3.50,1.80,1.76,7.00,1,0
11,3.05,1.40,13.0,11.5,1.11,2.50,1.84,1.73,0.50,2.30,1.48,3.50,1.78,1.79,7.00,1,0
12,3.05,1.40,13.0,11.5,1.11,2.50,1.81,1.75,0.50,2.25,1.49,3.50,1.75,1.82,7.00,1,0
13,3.05,1.40,13.0,11.5,1.11,2.50,1.79,1.78,0.50,2.25,1.50,3.50,1.72,1.85,6.50,1,0
14,3.05,1.40,13.0,11.5,1.11,2.50,1.76,1.80,0.50,2.20,1.51,3.50,1.69,1.89,6.50,1,0
15,3.05,1.40,13.0,11.5,1.11,2.50,1.74,1.83,0.50,2.20,1.52,3.50,1.66,1.92,6.50,1,0
16,3.05,1.40,13.0,11.5,1.12,2.50,1.72,1.85,0.50,2.15,1.53,3.50,1.65,1.95,6.50,1,0
17,3.05,1.40,13.0,11.5,1.12,2.50,1.70,1.88,0.50,2.10,1.54,3.50,1.62,1.99,6.50,1,0
18,3.05,1.40,13.0,11.5,1.11,2.50,1.68,1.91,0.50,2.10,1.55,3.50,1.60,2.00,6.50,1,0
19,3.05,1.40,13.0,12.0,1.11,2.50,1.66,1.94,0.50,2.10,1.56,3.50,1.58,2.05,6.50,1,0
20,3.05,1.40,13.0,11.5,1.11,2.50,1.72,1.85,0.50,2.15,1.53,3.50,1.64,1.96,6.50,1,0
21,3.05,1.40,13.0,11.5,1.12,2.50,1.70,1.88,0.50,2.10,1.54,3.50,1.62,1.99,6.50,1,0
22,3.05,1.40,13.0,11.5,1.11,2.50,1.68,1.91,0.50,2.10,1.56,3.50,1.60,2.00,6.50,1,0
23,3.05,1.40,13.0,12.0,1.11,2.50,1.65,1.94,0.50,2.05,1.57,3.50,1.57,2.05,6.50,1,0
24,3.05,1.40,13.0,12.0,1.11,2.50,1.63,1.98,0.50,2.05,1.58,3.50,1.55,2.10,6.50,1,0
25,3.05,1.40,13.0,12.0,1.11,2.50,1.61,2.00,0.50,2.00,1.60,3.50,1.53,2.15,6.50,1,0
26,3.05,1.40,13.0,12.0,1.11,2.50,1.59,2.00,0.50,2.00,1.61,3.50,1.51,2.20,6.50,1,0
27,3.05,1.40,13.0,12.0,1.11,2.50,1.57,2.05,0.50,1.99,1.62,3.50,1.49,2.25,6.50,1,0
28,3.05,1.40,13.0,12.0,1.11,2.50,1.55,2.10,0.50,1.96,1.64,3.50,1.47,2.30,6.50,1,0
29,3.05,1.40,13.0,12.0,1.11,2.50,1.54,2.15,0.50,1.94,1.66,3.50,1.45,2.40,6.50,1,0
30,3.05,1.40,13.0,12.0,1.11,2.50,1.52,2.20,0.50,1.91,1.67,3.50,1.43,2.45,6.50,1,0
31,3.05,1.40,13.0,12.0,1.11,2.50,1.50,2.20,0.50,1.89,1.69,1,1,1,6.50,1,0
32,3.05,1.40,13.0,12.0,1.11,2.50,1.49,2.30,0.50,1.86,1.71,1,1,1,6.00,1,0
33,3.05,1.40,13.0,13.0,1.12,2.50,1.47,2.30,0.50,1.84,1.73,1,1,1,6.00,1,0
34,3.05,1.40,13.0,12.0,1.14,2.50,1.43,2.45,0.50,1.89,1.69,1,1,1,6.00,1,0
35,3.05,1.40,13.0,12.0,1.14,2.50,1.42,2.50,0.50,1.86,1.71,1,1,1,6.00,1,0
36,3.05,1.40,13.0,12.0,1.14,2.50,1.40,2.55,0.50,1.83,1.73,1,1,1,6.00,1,0
37,3.05,1.40,13.0,12.0,1.14,2.50,1.39,2.60,0.50,1.81,1.75,1,1,1,6.00,1,0
38,3.05,1.40,13.0,12.0,1.13,2.50,1.37,2.65,0.50,1.79,1.77,1,1,1,6.00,1,0
39,3.05,1.40,13.0,12.0,1.13,2.50,1.36,2.70,0.50,1.76,1.80,1,1,1,6.00,1,0
40,3.05,1.40,13.0,12.0,1.13,2.50,1.35,2.80,0.50,1.74,1.82,1,1,1,6.00,1,0
