min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,1.86,13.0,2.40,2.40,1.50,1.57,1.98,1.50,1.57,1.98,1,1,1,3.30,0,0
2,1.86,1.86,13.0,2.40,2.40,1.50,1.57,1.98,1.50,1.57,1.98,1,1,1,3.30,0,0
3,1.86,1.86,13.0,2.40,2.40,1.50,1.57,1.98,1.50,1.57,1.98,1,1,1,3.30,0,0
4,1.86,1.86,13.0,2.40,2.40,1.50,1.57,1.98,1.50,1.57,1.98,1,1,1,3.30,0,0
5,1.86,1.86,13.0,2.40,2.40,1.50,1.57,1.98,1.50,1.57,1.98,1,1,1,3.30,0,0
6,1.87,1.87,12.0,2.40,2.40,1.50,1.55,2.00,1.50,1.55,2.00,1,1,1,3.25,0,0
7,1.87,1.87,12.0,2.40,2.40,1.50,1.54,2.00,1.50,1.54,2.00,1,1,1,3.25,0,0
8,1.87,1.87,12.0,2.40,2.40,1.50,1.53,2.05,1.50,1.53,2.05,1,1,1,3.20,0,0
9,1.88,1.88,12.0,2.40,2.40,1.50,1.51,2.10,1.50,1.51,2.10,1,1,1,3.20,0,0
10,1.99,1.84,10.0,2.65,2.30,1.50,1.46,2.20,1.50,1.39,2.40,1,1,1,3.10,0,0
11,2.00,1.85,9.50,2.65,2.30,1.50,1.45,2.25,1.50,1.38,2.45,1,1,1,3.05,0,0
12,2.00,1.85,9.50,2.65,2.35,1.50,1.43,2.30,1.50,1.37,2.50,1,1,1,3.05,0,0
13,2.00,1.86,9.00,2.65,2.35,1.50,1.42,2.30,1.50,1.36,2.55,1,1,1,3.00,0,0
14,2.00,1.86,9.00,2.65,2.35,1.50,1.41,2.35,1.50,1.35,2.60,1,1,1,3.00,0,0
15,2.00,1.87,9.00,2.65,2.35,1.50,1.40,2.40,1.50,1.34,2.60,1,1,1,3.00,0,0
16,2.00,1.87,8.50,2.65,2.40,1.50,1.39,2.45,1.50,1.33,2.65,1,1,1,3.00,0,0
17,2.00,1.88,8.00,2.70,2.40,1.50,1.38,2.45,1.50,1.32,2.70,1,1,1,2.95,0,0
18,2.00,1.88,8.00,2.70,2.40,1.50,1.37,2.50,1.50,1.31,2.75,1,1,1,2.95,0,0
19,2.00,1.89,8.00,2.70,2.40,1.50,1.36,2.55,0.50,2.80,1.30,1,1,1,2.90,0,0
20,2.00,1.90,7.50,2.70,2.40,1.50,1.35,2.60,0.50,2.75,1.31,1,1,1,2.90,0,0
21,2.05,1.90,7.50,2.70,2.40,1.50,1.34,2.60,0.50,2.70,1.32,1,1,1,2.90,0,0
22,2.05,1.91,7.00,1.44,5.50,1.50,1.33,2.70,1.50,2.65,1.33,3.50,1.45,2.25,3.60,0,1
23,2.05,1.91,7.00,1.49,5.00,1.50,1.37,2.50,1.50,2.60,1.34,3.50,1.47,2.20,3.50,0,1
24,2.05,1.91,7.00,1.48,5.00,1.50,1.36,2.55,1.50,2.60,1.35,3.50,1.45,2.20,3.50,0,1
25,2.05,1.91,7.00,1.48,5.00,1.50,1.34,2.60,1.50,2.55,1.36,3.50,1.43,2.30,3.50,0,1
26,2.05,1.91,7.00,1.48,5.00,1.50,1.33,2.65,1.50,2.50,1.37,3.50,1.42,2.35,3.50,0,1
27,2.05,1.91,7.00,1.47,5.00,1.50,1.32,2.70,1.50,2.45,1.38,3.50,1.40,2.40,3.50,0,1
28,2.05,1.91,7.00,1.47,5.50,1.50,1.31,2.75,1.50,2.40,1.39,1,1,1,3.45,0,1
29,2.05,1.91,7.00,1.47,5.50,0.50,2.75,1.31,1.50,2.40,1.40,1,1,1,3.45,0,1
30,2.05,1.91,7.00,1.46,5.50,0.50,2.70,1.31,1.50,2.35,1.41,1,1,1,3.45,0,1
31,2.05,1.91,7.00,1.46,5.50,0.50,2.70,1.32,1.50,2.30,1.43,1,1,1,3.45,0,1
32,2.05,1.91,7.00,1.46,5.50,0.50,2.65,1.34,1.50,2.25,1.44,1,1,1,3.45,0,1
33,2.05,1.91,7.00,1.45,6.00,0.50,2.60,1.35,1.50,2.20,1.45,1,1,1,3.40,0,1
34,2.05,1.91,7.00,1.45,6.00,0.50,2.55,1.36,1.50,2.20,1.46,1,1,1,3.40,0,1
35,2.05,1.91,7.00,1.44,6.00,0.50,2.50,1.37,1.50,2.15,1.47,1,1,1,3.40,0,1
36,2.05,1.91,7.00,1.44,6.00,0.50,2.45,1.39,1.50,2.10,1.49,1,1,1,3.40,0,1
37,2.05,1.91,7.00,1.43,6.00,0.50,2.40,1.40,1.50,2.10,1.50,1,1,1,3.40,0,1
38,2.05,1.91,7.00,1.43,6.00,0.50,2.35,1.41,1.50,2.05,1.52,1,1,1,3.40,0,1
39,2.05,1.91,7.00,1.42,6.50,0.50,2.30,1.42,1.50,2.00,1.54,1,1,1,3.40,0,1
40,2.05,1.91,7.00,1.42,6.50,0.50,2.30,1.44,1.50,2.00,1.55,1,1,1,3.40,0,1
41,2.05,1.91,7.00,1.42,7.00,0.50,2.20,1.45,1.50,1.98,1.57,1,1,1,3.40,0,1
