min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
6,3.10,1.43,14.0,5.00,1.48,1.50,2.30,1.52,0.50,2.35,1.51,1,1,1,4.10,0,0
7,3.10,1.44,14.0,16.0,1.10,2.50,2.30,1.53,0.50,2.30,1.52,3.50,2.05,1.63,7.00,1,0
8,3.10,1.44,14.0,13.0,1.14,2.50,2.15,1.58,0.50,2.55,1.45,3.50,2.10,1.62,6.50,1,0
9,3.10,1.44,14.0,13.0,1.14,2.50,2.10,1.60,0.50,2.50,1.46,3.50,2.05,1.64,6.00,1,0
10,3.10,1.44,14.0,11.5,1.15,2.50,1.97,1.70,0.50,2.50,1.46,3.50,1.93,1.72,6.50,1,0
11,3.10,1.44,14.0,11.5,1.15,2.50,1.94,1.72,0.50,2.45,1.47,3.50,1.89,1.75,6.50,1,0
12,3.10,1.44,14.0,11.5,1.15,2.50,1.91,1.74,0.50,2.45,1.48,3.50,1.86,1.78,6.50,1,0
13,3.10,1.44,14.0,12.0,1.16,2.50,1.89,1.76,0.50,2.40,1.49,3.50,1.83,1.81,6.00,1,0
14,3.10,1.44,14.0,12.0,1.15,2.50,1.86,1.79,0.50,2.40,1.50,3.50,1.80,1.84,6.00,1,0
15,3.10,1.44,14.0,12.0,1.15,2.50,1.83,1.81,0.50,2.35,1.51,3.50,1.77,1.88,6.00,1,0
16,3.10,1.44,14.0,12.0,1.15,2.50,1.81,1.84,0.50,2.30,1.52,3.50,1.74,1.91,6.00,1,0
17,3.10,1.44,14.0,12.0,1.16,2.50,1.78,1.86,0.50,2.30,1.53,3.50,1.71,1.95,6.00,1,0
18,3.10,1.44,14.0,12.0,1.15,2.50,1.76,1.89,0.50,2.25,1.54,3.50,1.69,1.99,6.00,1,0
19,3.10,1.44,14.0,12.0,1.16,2.50,1.74,1.92,0.50,2.25,1.55,3.50,1.67,2.00,6.00,1,0
20,3.10,1.44,14.0,12.0,1.16,2.50,1.71,1.95,0.50,2.20,1.56,3.50,1.64,2.05,6.00,1,0
21,3.10,1.44,14.0,12.0,1.16,2.50,1.69,1.98,0.50,2.20,1.58,3.50,1.62,2.10,6.00,1,0
22,3.10,1.44,14.0,12.0,1.16,2.50,1.67,2.00,0.50,2.15,1.59,3.50,1.59,2.15,6.00,1,0
23,3.10,1.44,14.0,13.0,1.16,2.50,1.65,2.05,0.50,2.10,1.60,3.50,1.57,2.20,6.00,1,0
24,3.10,1.44,14.0,13.0,1.16,2.50,1.63,2.05,0.50,2.10,1.62,3.50,1.55,2.25,6.00,1,0
