min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1.47,3.00,9.50,1.57,5.00,0.50,2.05,1.57,1.50,1.81,1.76,1,1,1,3.40,0,0
6,1.48,3.00,9.00,1.58,5.00,0.50,2.05,1.58,1.50,1.78,1.78,1,1,1,3.35,0,0
7,1.48,3.00,9.00,1.58,5.00,0.50,2.00,1.59,1.50,1.76,1.80,1,1,1,3.35,0,0
8,1.48,3.00,8.50,1.59,5.00,0.50,2.00,1.60,1.50,1.74,1.83,1,1,1,3.30,0,0
9,1.49,3.00,8.50,1.60,5.00,0.50,2.00,1.61,1.50,1.72,1.85,1,1,1,3.30,0,0
10,1.49,3.00,8.00,1.61,5.00,0.50,1.99,1.62,1.50,1.70,1.88,1,1,1,3.30,0,0
11,1.50,3.00,8.00,1.61,5.00,0.50,1.97,1.64,1.50,1.68,1.91,1,1,1,3.25,0,0
12,1.50,3.05,8.00,1.61,5.00,0.50,1.95,1.65,1.50,1.66,1.93,1,1,1,3.25,0,0
13,1.50,3.05,7.50,1.62,5.00,0.50,1.92,1.66,1.50,1.64,1.96,1,1,1,3.20,0,0
14,1.51,3.05,7.50,1.63,5.00,0.50,1.91,1.68,1.50,1.62,1.99,1,1,1,3.20,0,0
15,1.51,3.05,7.00,1.63,5.00,0.50,1.88,1.69,1.50,1.60,2.00,1,1,1,3.15,0,0
16,1.52,3.05,7.00,1.64,5.00,0.50,1.87,1.71,1.50,1.59,2.05,1,1,1,3.15,0,0
17,1.52,3.10,7.00,1.64,5.00,0.50,1.85,1.72,1.50,1.57,2.05,1,1,1,3.10,0,0
18,1.53,3.10,7.00,1.65,5.00,0.50,1.83,1.74,1.50,1.56,2.10,1.50,2.40,1.44,3.10,0,0
19,1.53,3.10,6.50,1.66,5.00,0.50,1.81,1.75,1.50,1.54,2.10,1.50,2.40,1.45,3.05,0,0
20,1.54,3.10,6.50,1.67,5.00,0.50,1.79,1.77,1.50,1.53,2.15,1.50,2.35,1.47,3.05,0,0
21,1.54,3.10,6.00,1.68,5.00,0.50,1.77,1.79,1.50,1.51,2.20,1.50,2.30,1.48,3.00,0,0
22,1.49,3.30,6.50,1.59,5.50,0.50,1.70,1.88,1.50,1.56,2.10,1.50,2.30,1.47,3.10,0,0
23,1.50,3.35,6.00,1.60,5.50,0.50,1.68,1.90,1.50,1.54,2.10,1.50,2.30,1.49,3.05,0,0
24,1.50,3.35,6.00,1.61,5.50,0.50,1.67,1.92,1.50,1.53,2.15,1.50,2.20,1.50,3.05,0,0
25,1.51,3.35,6.00,1.62,5.50,0.50,1.66,1.94,1.50,1.51,2.20,1.50,2.20,1.52,3.00,0,0
26,1.52,3.40,5.50,1.63,5.50,0.50,1.64,1.96,1.50,1.50,2.25,1.50,2.15,1.54,3.00,0,0
27,1.52,3.40,5.50,1.64,5.50,0.50,1.63,1.99,1.50,1.48,2.30,1.50,2.10,1.56,2.95,0,0
28,1.53,3.40,5.50,1.66,5.50,0.50,1.61,2.00,1.50,1.47,2.30,1.50,2.05,1.57,2.95,0,0
29,1.53,3.40,5.00,1.66,5.50,0.50,1.60,2.00,1.50,1.45,2.40,1.50,2.00,1.60,2.90,0,0
30,1.54,3.45,5.00,1.67,5.50,0.50,1.58,2.05,1.50,1.44,2.40,1.50,1.99,1.62,2.90,0,0
31,1.55,3.45,5.00,1.68,5.50,0.50,1.57,2.05,1.50,1.43,2.45,1.50,1.96,1.64,2.85,0,0
32,1.56,3.45,5.00,1.69,5.50,0.50,1.56,2.10,1.50,1.41,2.50,1.50,1.91,1.67,2.80,0,0
33,1.57,3.50,4.90,1.71,5.50,0.50,1.55,2.10,1.50,1.40,2.55,1.50,1.88,1.70,2.80,0,0
34,1.57,3.50,4.75,1.72,5.50,0.50,1.53,2.15,1.50,1.39,2.60,1.50,1.84,1.72,2.75,0,0
35,1.58,3.50,4.65,1.73,5.50,0.50,1.52,2.20,1.50,1.37,2.65,1.50,1.81,1.75,2.75,0,0
36,1.59,3.55,4.50,1.74,5.50,0.50,1.51,2.20,1.50,1.36,2.70,1.50,1.77,1.79,2.70,0,0
37,1.61,3.85,3.90,1.76,6.00,0.50,1.42,2.50,0.50,2.70,1.36,1.50,1.62,2.00,2.60,0,0
38,1.63,3.90,3.85,1.78,6.00,0.50,1.41,2.50,0.50,2.70,1.37,1.50,1.59,2.00,2.55,0,0
39,1.64,3.90,3.70,1.79,6.00,0.50,1.40,2.55,0.50,2.60,1.39,1.50,1.57,2.10,2.50,0,0
40,1.65,3.95,3.65,1.81,6.00,0.50,1.39,2.60,0.50,2.55,1.40,1.50,1.54,2.10,2.50,0,0
41,1.67,3.95,3.55,1.82,6.00,0.50,1.38,2.65,0.50,2.50,1.41,1.50,1.52,2.20,2.45,0,0
42,1.66,3.75,3.80,1.83,5.50,0.50,1.43,2.45,0.50,2.60,1.39,1.50,1.58,2.05,2.50,0,0
43,1.68,3.75,3.70,1.85,5.50,0.50,1.42,2.50,0.50,2.55,1.40,1.50,1.56,2.10,2.45,0,0
44,1.69,3.80,3.60,1.86,5.50,0.50,1.41,2.50,0.50,2.50,1.42,1.50,1.53,2.15,2.45,0,0
45,1.71,3.80,3.50,1.88,5.50,0.50,1.40,2.60,0.50,2.45,1.43,1.50,1.51,2.20,2.40,0,0
46,1.72,3.85,3.40,1.90,5.50,0.50,1.39,2.60,0.50,2.40,1.45,1.50,1.49,2.25,2.35,0,0
47,1.74,3.90,3.35,1.93,5.50,0.50,1.38,2.65,0.50,2.35,1.46,1.50,1.47,2.35,2.30,0,0
48,1.76,3.95,3.25,1.95,5.50,0.50,1.37,2.70,0.50,2.30,1.48,1.50,1.44,2.40,2.30,0,0
49,1.78,4.00,3.20,1.97,5.50,0.50,1.36,2.75,0.50,2.25,1.50,1.50,1.43,2.45,2.25,0,0
50,1.80,4.00,3.10,1.99,6.00,0.50,1.34,2.80,0.50,2.20,1.52,1.50,1.41,2.55,2.20,0,0
51,1.82,4.05,3.00,2.00,6.00,0.50,1.33,2.85,0.50,2.15,1.53,1.50,1.39,2.60,2.20,0,0
52,1.85,4.10,2.95,2.00,6.00,0.50,1.32,2.90,0.50,2.10,1.55,1.50,1.37,2.70,2.15,0,0
53,1.87,4.15,2.90,2.05,6.00,0.50,1.31,2.95,0.50,2.05,1.57,1.50,1.35,2.75,2.10,0,0
54,1.90,4.20,2.80,2.10,6.00,0.50,1.30,3.00,0.50,2.00,1.60,0.50,2.80,1.34,2.10,0,0
55,1.92,4.25,2.75,2.10,6.00,0.50,1.29,3.05,0.50,2.00,1.62,0.50,2.75,1.35,2.05,0,0
56,1.95,4.30,2.65,2.15,6.00,0.50,1.28,3.10,0.50,1.95,1.65,0.50,2.65,1.37,2.00,0,0
57,1.99,4.40,2.60,2.20,6.00,0.50,1.26,3.20,0.50,1.91,1.68,0.50,2.60,1.39,2.00,0,0
58,2.00,4.45,2.50,2.20,6.00,0.50,1.25,3.25,0.50,1.87,1.71,0.50,2.50,1.41,1.97,0,0
59,2.05,4.50,2.45,2.25,6.00,0.50,1.24,3.30,0.50,1.82,1.74,0.50,2.45,1.43,1.93,0,0
