min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.25,1.42,9.00,5.50,1.49,1.50,1.81,1.76,0.50,1.85,1.72,1,1,1,3.55,0,0
2,3.25,1.42,9.00,5.50,1.49,1.50,1.81,1.76,0.50,1.85,1.72,1,1,1,3.55,0,0
3,3.25,1.42,9.00,5.50,1.49,1.50,1.81,1.76,0.50,1.85,1.72,1,1,1,3.55,0,0
4,3.25,1.42,9.00,5.50,1.49,1.50,1.81,1.76,0.50,1.85,1.72,1,1,1,3.55,0,0
5,3.25,1.42,9.00,5.50,1.49,1.50,1.81,1.76,0.50,1.85,1.72,1,1,1,3.55,0,0
6,3.30,1.43,8.50,5.50,1.50,1.50,1.78,1.78,0.50,1.84,1.73,1,1,1,3.50,0,0
7,3.30,1.43,8.50,5.50,1.50,1.50,1.76,1.80,0.50,1.82,1.75,1,1,1,3.50,0,0
8,3.30,1.44,8.00,5.50,1.51,1.50,1.74,1.83,0.50,1.80,1.76,1,1,1,3.45,0,0
9,3.30,1.44,8.00,5.50,1.52,1.50,1.72,1.85,0.50,1.79,1.77,1,1,1,3.45,0,0
10,3.00,1.51,7.50,4.80,1.62,1.50,1.60,2.00,0.50,1.90,1.68,1,1,1,3.25,0,0
11,2.75,1.60,7.50,4.10,1.78,1.50,1.51,2.20,0.50,2.00,1.59,1,1,1,3.10,0,0
12,2.75,1.60,7.00,4.10,1.79,1.50,1.50,2.25,0.50,2.00,1.60,1,1,1,3.10,0,0
13,2.80,1.61,7.00,4.10,1.80,1.50,1.49,2.30,0.50,2.00,1.61,1,1,1,3.10,0,0
14,2.80,1.61,7.00,4.10,1.80,1.50,1.47,2.30,0.50,1.99,1.63,1.50,2.40,1.44,3.05,0,0
15,2.90,1.64,5.50,4.20,1.84,1.50,1.40,2.55,0.50,1.81,1.75,1.50,2.10,1.55,2.90,0,0
16,2.90,1.65,5.50,4.20,1.85,1.50,1.39,2.60,0.50,1.80,1.77,1.50,2.10,1.57,2.90,0,0
17,2.90,1.65,5.50,4.20,1.86,1.50,1.38,2.65,0.50,1.78,1.78,1.50,2.05,1.58,2.85,0,0
18,2.95,1.66,5.00,4.20,1.87,1.50,1.37,2.70,0.50,1.76,1.80,1.50,2.00,1.60,2.85,0,0
19,2.95,1.66,5.00,1.74,4.20,1.50,1.36,2.70,1.50,1.75,1.82,1,1,1,3.20,0,1
20,2.95,1.66,5.00,1.76,4.05,1.50,1.39,2.60,1.50,1.81,1.76,1,1,1,3.20,0,1
21,2.95,1.66,5.00,1.75,4.10,1.50,1.38,2.60,1.50,1.79,1.77,1,1,1,3.20,0,1
22,2.95,1.66,5.00,1.74,4.15,1.50,1.37,2.70,1.50,1.77,1.79,1,1,1,3.20,0,1
23,2.95,1.66,5.00,1.73,4.20,1.50,1.36,2.70,1.50,1.76,1.81,1,1,1,3.20,0,1
24,2.95,1.66,5.00,1.73,4.30,1.50,1.35,2.75,1.50,1.74,1.83,1,1,1,3.20,0,1
25,2.95,1.66,5.00,1.72,4.35,1.50,1.34,2.80,1.50,1.72,1.85,1,1,1,3.20,0,1
26,2.95,1.66,5.00,1.71,4.40,0.50,2.80,1.34,1.50,1.70,1.87,1,1,1,3.15,0,1
27,2.95,1.66,5.00,1.71,4.50,0.50,2.80,1.35,1.50,1.69,1.89,1,1,1,3.15,0,1
28,2.95,1.66,5.00,1.79,4.05,1.50,1.37,2.70,1.50,1.67,1.91,1,1,1,3.10,0,1
29,2.95,1.66,5.00,1.67,4.65,0.50,2.75,1.36,1.50,1.72,1.85,1,1,1,3.20,0,1
30,2.95,1.66,5.00,1.66,4.75,0.50,2.70,1.37,1.50,1.70,1.88,1,1,1,3.20,0,1
31,2.95,1.66,5.00,1.65,4.80,0.50,2.65,1.38,1.50,1.68,1.90,1,1,1,3.20,0,1
32,2.95,1.66,5.00,1.64,4.85,0.50,2.60,1.39,1.50,1.67,1.92,1,1,1,3.20,0,1
33,2.95,1.66,5.00,1.63,5.00,0.50,2.55,1.40,1.50,1.65,1.94,1,1,1,3.20,0,1
34,2.95,1.66,5.00,1.62,5.00,0.50,2.50,1.41,1.50,1.64,1.97,1,1,1,3.20,0,1
