min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,6.00,1.44,1.50,2.00,1.59,0.50,1.94,1.66,0.50,10.0,1.02,3.65,0,0
2,1,1,1,6.00,1.44,1.50,2.00,1.59,0.50,1.94,1.66,0.50,10.0,1.02,3.65,0,0
3,1,1,1,6.00,1.44,1.50,2.00,1.59,0.50,1.94,1.66,0.50,10.0,1.02,3.65,0,0
4,1,1,1,6.00,1.44,1.50,2.00,1.59,0.50,1.94,1.66,0.50,10.0,1.02,3.65,0,0
5,1,1,1,6.00,1.44,1.50,2.00,1.59,0.50,1.94,1.66,0.50,10.0,1.02,3.65,0,0
6,3.35,1.40,10.0,6.00,1.45,1.50,2.00,1.61,0.50,1.92,1.67,1,1,1,3.60,0,0
7,3.35,1.40,9.50,6.00,1.45,1.50,1.99,1.62,0.50,1.90,1.68,1,1,1,3.60,0,0
8,3.35,1.40,9.50,6.00,1.46,1.50,1.96,1.64,0.50,1.88,1.70,1,1,1,3.55,0,0
9,3.35,1.40,9.00,6.00,1.46,1.50,1.93,1.66,0.50,1.86,1.71,1,1,1,3.50,0,0
10,3.35,1.41,9.00,6.00,1.47,1.50,1.90,1.68,0.50,1.85,1.72,1,1,1,3.50,0,0
11,3.35,1.41,9.00,16.0,1.08,2.50,1.98,1.63,0.50,2.05,1.57,3.50,1.76,1.80,6.50,1,0
12,3.35,1.41,9.00,16.0,1.08,2.50,1.95,1.65,0.50,2.05,1.58,3.50,1.74,1.83,6.50,1,0
13,3.35,1.41,9.00,16.0,1.08,2.50,1.91,1.67,0.50,2.00,1.59,3.50,1.71,1.86,6.50,1,0
14,3.35,1.41,9.00,16.0,1.08,2.50,1.89,1.69,0.50,2.00,1.60,3.50,1.68,1.90,6.50,1,0
15,3.35,1.41,9.00,16.0,1.08,2.50,1.86,1.71,0.50,2.00,1.61,3.50,1.66,1.93,6.50,1,0
16,3.35,1.41,9.00,16.0,1.08,2.50,1.83,1.73,0.50,1.98,1.63,3.50,1.63,1.97,6.50,1,0
