min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.20,1.71,16.0,3.10,2.00,1.50,2.20,1.57,1.50,1.68,2.00,3.50,1.61,2.10,3.60,0,0
2,2.20,1.71,16.0,3.10,2.00,1.50,2.20,1.57,1.50,1.68,2.00,3.50,1.61,2.10,3.60,0,0
3,2.20,1.71,16.0,3.10,2.00,1.50,2.20,1.57,1.50,1.68,2.00,3.50,1.61,2.10,3.60,0,0
4,2.20,1.71,16.0,3.10,2.00,1.50,2.20,1.57,1.50,1.68,2.00,3.50,1.61,2.10,3.60,0,0
5,2.20,1.71,16.0,3.10,2.00,1.50,2.20,1.57,1.50,1.68,2.00,3.50,1.61,2.10,3.60,0,0
6,2.20,1.71,16.0,3.10,2.00,1.50,2.15,1.59,1.50,1.66,2.00,3.50,1.59,2.15,3.55,0,0
7,2.20,1.71,16.0,3.10,2.00,1.50,2.10,1.60,1.50,1.64,2.05,3.50,1.57,2.20,3.55,0,0
8,2.20,1.72,15.0,3.10,2.00,1.50,2.10,1.62,1.50,1.63,2.05,3.50,1.55,2.25,3.50,0,0
9,2.20,1.72,14.0,3.15,2.00,1.50,2.00,1.68,1.50,1.57,2.20,3.50,1.49,2.40,3.45,0,0
10,2.20,1.72,14.0,3.20,2.00,1.50,1.97,1.70,1.50,1.56,2.20,1,1,1,3.45,0,0
11,2.20,1.73,14.0,3.15,2.00,1.50,1.94,1.72,1.50,1.54,2.25,1,1,1,3.40,0,0
12,2.20,1.73,13.0,3.15,2.05,1.50,1.91,1.74,1.50,1.53,2.30,1,1,1,3.40,0,0
13,2.20,1.73,13.0,3.15,2.05,1.50,1.89,1.76,1.50,1.52,2.30,1,1,1,3.40,0,0
14,2.20,1.74,13.0,3.15,2.05,1.50,1.86,1.79,1.50,1.50,2.35,1,1,1,3.35,0,0
15,2.20,1.74,12.0,3.20,2.05,1.50,1.83,1.81,1.50,1.49,2.40,1,1,1,3.35,0,0
16,2.25,1.74,12.0,3.20,2.05,1.50,1.81,1.84,1.50,1.48,2.45,1,1,1,3.35,0,0
17,2.25,1.75,12.0,3.20,2.10,1.50,1.78,1.86,1.50,1.47,2.50,1,1,1,3.30,0,0
18,2.25,1.75,12.0,3.20,2.10,1.50,1.76,1.89,1.50,1.46,2.50,1,1,1,3.30,0,0
19,2.25,1.75,11.5,3.20,2.10,1.50,1.74,1.92,1.50,1.45,2.55,1,1,1,3.30,0,0
20,2.25,1.76,11.0,3.20,2.10,1.50,1.71,1.95,1.50,1.44,2.60,1,1,1,3.25,0,0
21,2.30,1.77,10.5,3.25,2.10,1.50,1.65,2.00,1.50,1.40,2.75,1,1,1,3.20,0,0
