min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.65,1.22,17.0,8.50,1.20,2.50,1.59,1.94,0.50,1.98,1.57,3.50,1.50,2.10,5.00,0,0
2,3.65,1.22,17.0,8.50,1.20,2.50,1.59,1.94,0.50,1.98,1.57,3.50,1.50,2.10,5.00,0,0
3,3.65,1.22,17.0,8.50,1.20,2.50,1.59,1.94,0.50,1.98,1.57,3.50,1.50,2.10,5.00,0,0
4,3.65,1.22,17.0,8.50,1.20,2.50,1.59,1.94,0.50,1.98,1.57,3.50,1.50,2.10,5.00,0,0
5,3.65,1.22,17.0,8.50,1.20,2.50,1.59,1.94,0.50,1.98,1.57,3.50,1.50,2.10,5.00,0,0
6,3.65,1.23,17.0,8.50,1.20,2.50,1.57,1.97,0.50,1.96,1.58,3.50,1.48,2.15,5.00,0,0
7,3.65,1.23,16.0,8.00,1.21,2.50,1.55,2.00,0.50,1.94,1.59,3.50,1.46,2.20,5.00,0,0
8,3.65,1.23,16.0,8.00,1.21,2.50,1.53,2.00,0.50,1.92,1.60,3.50,1.44,2.25,5.00,0,0
9,3.65,1.23,16.0,8.00,1.21,2.50,1.52,2.05,0.50,1.90,1.62,1,1,1,4.95,0,0
10,3.65,1.23,15.0,8.00,1.22,2.50,1.50,2.10,0.50,1.88,1.63,1,1,1,4.90,0,0
11,3.65,1.24,15.0,8.00,1.22,2.50,1.48,2.15,0.50,1.86,1.64,1,1,1,4.85,0,0
12,3.70,1.24,14.0,8.00,1.23,2.50,1.47,2.20,0.50,1.84,1.66,1,1,1,4.80,0,0
13,3.70,1.24,14.0,8.00,1.23,2.50,1.45,2.20,0.50,1.82,1.67,1,1,1,4.75,0,0
14,3.70,1.24,14.0,22.0,1.01,3.50,1.44,2.30,0.50,1.81,1.68,3.50,2.00,1.53,10.0,1,0
15,3.70,1.24,14.0,-,-,3.50,2.50,1.37,0.50,1.79,1.70,4.50,2.00,1.56,-,2,0
16,3.70,1.24,14.0,-,-,3.50,2.45,1.38,0.50,1.77,1.71,4.50,1.96,1.58,-,2,0
17,3.70,1.24,14.0,-,-,3.50,2.40,1.39,0.50,1.76,1.73,4.50,1.92,1.60,-,2,0
18,3.70,1.24,14.0,-,-,3.50,2.40,1.40,0.50,1.74,1.74,4.50,1.89,1.63,-,2,0
19,3.70,1.24,14.0,-,-,3.50,2.35,1.42,0.50,1.72,1.76,4.50,1.85,1.65,-,2,0
20,3.70,1.24,14.0,-,-,3.50,2.30,1.43,0.50,1.71,1.78,4.50,1.81,1.68,-,2,0
21,3.70,1.24,14.0,-,-,3.50,2.25,1.45,0.50,1.69,1.80,4.50,1.77,1.71,-,2,0
22,3.70,1.24,14.0,-,-,3.50,2.20,1.46,0.50,1.68,1.82,4.50,1.74,1.74,-,2,0
23,3.70,1.24,14.0,-,-,3.50,2.15,1.48,0.50,1.66,1.84,4.50,1.71,1.78,-,2,0
24,3.70,1.24,14.0,-,-,3.50,2.10,1.50,0.50,1.64,1.86,4.50,1.67,1.82,-,2,0
25,3.70,1.24,14.0,-,-,3.50,2.05,1.51,0.50,1.63,1.88,4.50,1.65,1.85,-,2,0
26,3.70,1.24,14.0,-,-,3.50,2.00,1.54,0.50,1.62,1.90,4.50,1.62,1.90,-,2,0
27,3.70,1.24,14.0,-,-,3.50,2.00,1.55,0.50,1.60,1.92,4.50,1.59,1.94,-,2,0
28,3.70,1.24,14.0,-,-,3.50,1.97,1.57,0.50,1.59,1.94,4.50,1.57,1.98,-,2,0
29,3.70,1.24,14.0,-,-,3.50,1.93,1.60,0.50,1.58,1.96,4.50,1.54,2.00,-,2,0
30,3.70,1.24,14.0,21.0,1.01,3.50,1.99,1.56,1.50,1.68,1.82,5.50,1.62,1.90,8.50,2,1
31,3.70,1.24,14.0,21.0,1.01,3.50,1.95,1.58,1.50,1.66,1.84,5.50,1.59,1.94,8.50,2,1
32,3.70,1.24,14.0,21.0,1.01,3.50,1.91,1.61,1.50,1.64,1.86,5.50,1.56,1.99,8.50,2,1
33,3.70,1.24,14.0,21.0,1.01,3.50,1.88,1.63,1.50,1.63,1.88,5.50,1.54,2.00,8.50,2,1
34,3.70,1.24,14.0,22.0,1.01,3.50,1.84,1.66,1.50,1.61,1.91,5.50,1.51,2.05,8.00,2,1
35,3.70,1.24,14.0,22.0,1.01,3.50,1.80,1.69,1.50,1.60,1.93,5.50,1.49,2.10,8.00,2,1
36,3.70,1.24,14.0,22.0,1.01,3.50,1.76,1.72,1.50,1.58,1.96,5.50,1.46,2.20,8.00,2,1
37,3.70,1.24,14.0,22.0,1.01,3.50,1.73,1.76,1.50,1.56,1.99,5.50,1.44,2.25,8.00,2,1
38,3.70,1.24,14.0,22.0,1.02,3.50,1.70,1.79,1.50,1.55,2.00,5.50,1.42,2.30,8.00,2,1
