min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.70,1.38,10.0,7.50,1.41,1.50,2.15,1.58,0.50,1.81,1.83,1,1,1,3.85,0,0
2,3.70,1.38,10.0,7.50,1.41,1.50,2.15,1.58,0.50,1.81,1.83,1,1,1,3.85,0,0
3,3.70,1.38,10.0,7.50,1.41,1.50,2.15,1.58,0.50,1.81,1.83,1,1,1,3.85,0,0
4,3.70,1.38,10.0,7.50,1.41,1.50,2.15,1.58,0.50,1.81,1.83,1,1,1,3.85,0,0
5,3.70,1.38,10.0,7.50,1.41,1.50,2.15,1.58,0.50,1.81,1.83,1,1,1,3.85,0,0
6,3.75,1.38,10.0,7.50,1.42,1.50,2.10,1.60,0.50,1.80,1.84,1,1,1,3.80,0,0
7,3.75,1.38,9.50,7.50,1.42,1.50,2.10,1.62,0.50,1.78,1.86,1,1,1,3.80,0,0
8,3.70,1.40,9.50,7.00,1.44,1.50,2.00,1.66,0.50,1.79,1.86,1,1,1,3.75,0,0
9,3.70,1.40,9.00,7.00,1.45,1.50,2.00,1.68,0.50,1.77,1.87,1,1,1,3.75,0,0
10,3.70,1.40,9.00,7.00,1.45,1.50,1.97,1.70,0.50,1.76,1.89,1,1,1,3.70,0,0
11,3.70,1.41,9.00,7.00,1.45,1.50,1.94,1.72,0.50,1.74,1.91,1,1,1,3.70,0,0
12,3.70,1.41,8.50,7.00,1.46,1.50,1.91,1.74,0.50,1.73,1.93,1,1,1,3.65,0,0
13,3.70,1.41,8.50,7.00,1.47,1.50,1.89,1.76,0.50,1.72,1.94,1,1,1,3.60,0,0
14,3.75,1.42,8.00,7.00,1.47,1.50,1.86,1.79,0.50,1.70,1.96,1,1,1,3.60,0,0
15,3.75,1.42,8.00,7.00,1.47,1.50,1.83,1.81,0.50,1.69,1.98,1,1,1,3.55,0,0
16,3.75,1.43,8.00,7.00,1.48,1.50,1.81,1.84,0.50,1.68,2.00,1,1,1,3.50,0,0
17,3.75,1.43,7.50,7.00,1.49,1.50,1.78,1.86,0.50,1.67,2.00,1,1,1,3.50,0,0
18,3.80,1.43,7.50,7.00,1.50,1.50,1.76,1.89,0.50,1.65,2.00,1,1,1,3.45,0,0
19,3.80,1.44,7.00,7.00,1.50,1.50,1.74,1.92,0.50,1.64,2.05,1,1,1,3.40,0,0
20,3.80,1.44,7.00,7.00,1.51,1.50,1.71,1.95,0.50,1.63,2.05,1.50,2.50,1.47,3.40,0,0
21,3.80,1.45,7.00,7.00,1.51,1.50,1.69,1.98,0.50,1.62,2.10,1.50,2.45,1.48,3.35,0,0
22,3.80,1.45,6.50,7.00,1.52,1.50,1.67,2.00,0.50,1.60,2.10,1.50,2.40,1.50,3.30,0,0
23,3.85,1.46,6.50,7.00,1.53,1.50,1.65,2.05,0.50,1.59,2.15,1.50,2.35,1.52,3.30,0,0
24,3.85,1.46,6.00,7.00,1.53,1.50,1.63,2.05,0.50,1.58,2.15,1.50,2.30,1.53,3.25,0,0
25,3.90,1.47,6.00,7.00,1.54,1.50,1.61,2.10,0.50,1.57,2.20,1.50,2.25,1.55,3.25,0,0
26,3.90,1.48,6.00,7.00,1.55,1.50,1.59,2.15,0.50,1.56,2.20,1.50,2.20,1.57,3.20,0,0
27,3.90,1.48,5.50,7.00,1.56,1.50,1.57,2.20,0.50,1.55,2.25,1.50,2.15,1.59,3.15,0,0
28,3.90,1.49,5.50,7.00,1.57,1.50,1.56,2.20,0.50,1.54,2.30,1.50,2.10,1.61,3.15,0,0
29,3.95,1.49,5.50,7.00,1.57,1.50,1.54,2.25,0.50,1.53,2.30,1.50,2.05,1.63,3.10,0,0
30,3.95,1.50,5.00,7.00,1.58,1.50,1.52,2.30,0.50,1.52,2.30,1.50,2.00,1.65,3.05,0,0
31,4.00,1.51,5.00,7.00,1.59,1.50,1.51,2.35,0.50,1.51,2.35,1.50,2.00,1.68,3.05,0,0
32,4.00,1.52,5.00,7.00,1.61,1.50,1.49,2.40,0.50,1.50,2.40,1.50,1.96,1.70,3.00,0,0
33,4.00,1.52,5.00,7.00,1.62,1.50,1.48,2.45,0.50,1.49,2.40,1.50,1.92,1.73,3.00,0,0
34,4.05,1.53,4.90,7.00,1.62,1.50,1.46,2.50,0.50,1.48,2.45,1.50,1.88,1.76,2.95,0,0
35,3.70,1.55,5.00,6.00,1.67,1.50,1.47,2.50,0.50,1.56,2.20,1.50,1.98,1.69,2.95,0,0
36,3.75,1.56,5.00,6.00,1.68,1.50,1.45,2.50,0.50,1.54,2.25,1.50,1.94,1.72,2.90,0,0
37,3.75,1.57,4.90,6.00,1.69,1.50,1.44,2.60,0.50,1.53,2.30,1.50,1.90,1.75,2.90,0,0
38,3.80,1.58,4.80,6.00,1.70,1.50,1.43,2.65,0.50,1.52,2.30,1.50,1.86,1.78,2.85,0,0
39,3.80,1.59,4.65,6.00,1.71,1.50,1.41,2.70,0.50,1.51,2.35,1.50,1.82,1.82,2.80,0,0
40,3.80,1.60,4.50,6.00,1.72,1.50,1.40,2.75,0.50,1.50,2.40,1.50,1.79,1.85,2.80,0,0
41,3.85,1.61,4.40,6.00,1.74,1.50,1.38,2.80,0.50,1.49,2.40,1.50,1.76,1.89,2.75,0,0
42,3.90,1.62,4.30,6.00,1.75,1.50,1.37,2.85,0.50,1.47,2.45,1.50,1.73,1.93,2.75,0,0
43,3.90,1.63,4.20,6.00,1.77,0.50,2.90,1.37,0.50,1.46,2.50,1.50,1.70,1.97,2.70,0,0
44,3.90,1.64,4.10,6.00,1.78,0.50,2.80,1.38,0.50,1.45,2.55,1.50,1.67,2.00,2.65,0,0
