min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.49,2.85,14.0,1.57,4.70,0.50,2.55,1.45,1.50,2.15,1.59,1,1,1,3.90,0,0
2,1.49,2.85,14.0,1.57,4.70,0.50,2.55,1.45,1.50,2.15,1.59,1,1,1,3.90,0,0
3,1.49,2.85,14.0,1.57,4.70,0.50,2.55,1.45,1.50,2.15,1.59,1,1,1,3.90,0,0
4,1.49,2.85,14.0,1.57,4.70,0.50,2.55,1.45,1.50,2.15,1.59,1,1,1,3.90,0,0
5,1.49,2.85,14.0,1.57,4.70,0.50,2.55,1.45,1.50,2.15,1.59,1,1,1,3.90,0,0
6,1.49,2.85,13.0,1.57,4.65,0.50,2.50,1.46,1.50,2.10,1.61,1,1,1,3.85,0,0
7,1.49,2.85,13.0,1.58,4.65,0.50,2.50,1.47,1.50,2.10,1.62,1,1,1,3.85,0,0
8,1.50,2.85,13.0,1.14,13.0,0.50,2.45,1.48,2.50,2.05,1.64,3.50,1.97,1.70,6.00,0,1
9,1.50,2.85,13.0,1.14,13.0,0.50,2.40,1.49,2.50,2.05,1.64,3.50,1.96,1.70,6.00,0,1
10,1.50,2.85,13.0,1.14,13.0,0.50,2.40,1.50,2.50,2.00,1.65,3.50,1.93,1.73,6.00,0,1
11,1.50,2.85,13.0,1.14,14.0,0.50,2.35,1.50,2.50,2.00,1.67,3.50,1.90,1.75,6.00,0,1
12,1.50,2.85,13.0,1.16,12.0,0.50,2.55,1.45,2.50,2.00,1.65,3.50,2.00,1.68,6.00,0,1
13,1.50,2.85,13.0,1.16,12.0,0.50,2.50,1.46,2.50,2.00,1.67,3.50,1.96,1.70,6.00,0,1
14,1.50,2.85,13.0,1.16,12.0,0.50,2.50,1.47,2.50,1.98,1.69,3.50,1.92,1.73,6.00,0,1
15,1.50,2.85,13.0,1.16,12.0,0.50,2.45,1.48,2.50,1.95,1.71,3.50,1.89,1.76,6.00,0,1
16,1.50,2.85,13.0,1.16,12.0,0.50,2.40,1.49,2.50,1.92,1.74,3.50,1.85,1.79,6.00,0,1
17,1.50,2.85,13.0,1.16,12.0,0.50,2.40,1.50,2.50,1.89,1.76,3.50,1.82,1.82,6.00,0,1
18,1.50,2.85,13.0,1.16,13.0,0.50,2.35,1.51,2.50,1.86,1.78,3.50,1.79,1.86,6.00,0,1
19,1.50,2.85,13.0,1.16,13.0,0.50,2.35,1.51,2.50,1.83,1.81,3.50,1.76,1.89,6.00,0,1
20,1.50,2.85,13.0,1.16,13.0,0.50,2.30,1.53,2.50,1.81,1.84,3.50,1.73,1.93,6.00,0,1
21,1.50,2.85,13.0,1.16,13.0,0.50,2.30,1.54,2.50,1.78,1.86,3.50,1.70,1.97,6.00,0,1
22,1.50,2.85,13.0,1.16,13.0,0.50,2.25,1.55,2.50,1.76,1.89,3.50,1.67,2.00,6.00,0,1
23,1.50,2.85,13.0,1.16,13.0,0.50,2.20,1.56,2.50,1.73,1.93,3.50,1.65,2.05,5.50,0,1
24,1.50,2.85,13.0,1.16,13.0,0.50,2.20,1.57,2.50,1.70,1.96,3.50,1.62,2.10,5.50,0,1
25,1.50,2.85,13.0,1.16,13.0,0.50,2.15,1.59,2.50,1.68,1.99,3.50,1.60,2.10,5.50,0,1
26,1.50,2.85,13.0,1.16,13.0,0.50,2.10,1.60,2.50,1.66,2.00,3.50,1.57,2.20,5.50,0,1
