min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.28,4.10,10.5,1.30,8.00,0.50,1.59,2.05,1.50,2.15,1.54,1,1,1,4.35,0,0
2,1.28,4.10,10.5,1.30,8.00,0.50,1.59,2.05,1.50,2.15,1.54,1,1,1,4.35,0,0
3,1.28,4.10,10.5,1.30,8.00,0.50,1.59,2.05,1.50,2.15,1.54,1,1,1,4.35,0,0
4,1.28,4.10,10.5,1.30,8.00,0.50,1.59,2.05,1.50,2.15,1.54,1,1,1,4.35,0,0
5,1.28,4.10,10.5,1.30,8.00,0.50,1.59,2.05,1.50,2.15,1.54,1,1,1,4.35,0,0
6,1.29,4.15,10.0,1.30,8.00,0.50,1.58,2.05,1.50,2.10,1.55,1,1,1,4.30,0,0
7,1.29,4.15,10.0,1.31,8.00,0.50,1.57,2.05,1.50,2.05,1.57,1,1,1,4.30,0,0
8,1.29,4.15,9.50,1.31,8.00,0.50,1.56,2.10,1.50,2.05,1.58,1,1,1,4.20,0,0
9,1.30,4.15,9.50,1.32,8.00,0.50,1.55,2.10,1.50,2.00,1.60,1,1,1,4.20,0,0
10,1.30,4.20,9.00,1.32,8.00,0.50,1.54,2.10,1.50,2.00,1.62,1,1,1,4.15,0,0
11,1.30,4.20,9.00,1.33,8.00,0.50,1.53,2.15,1.50,1.97,1.64,1,1,1,4.10,0,0
12,1.31,4.20,8.50,1.33,8.00,0.50,1.52,2.20,1.50,1.94,1.66,1,1,1,4.05,0,0
13,1.31,4.20,8.50,1.34,8.00,0.50,1.51,2.20,1.50,1.91,1.68,1,1,1,4.00,0,0
14,1.32,4.20,8.00,1.34,8.00,0.50,1.51,2.20,1.50,1.88,1.70,1,1,1,3.95,0,0
15,1.32,4.25,8.00,1.35,8.00,0.50,1.50,2.25,1.50,1.85,1.72,1,1,1,3.90,0,0
16,1.32,4.25,8.00,1.36,8.00,0.50,1.49,2.25,1.50,1.82,1.75,1,1,1,3.85,0,0
17,1.33,4.25,7.50,1.36,8.00,0.50,1.48,2.30,1.50,1.79,1.77,1,1,1,3.80,0,0
18,1.33,4.30,7.50,1.37,8.00,0.50,1.47,2.30,1.50,1.77,1.80,1,1,1,3.80,0,0
19,1.34,4.30,7.00,1.37,8.00,0.50,1.47,2.35,1.50,1.75,1.82,1.50,2.45,1.43,3.75,0,0
20,1.34,4.30,7.00,1.38,8.00,0.50,1.46,2.35,1.50,1.72,1.85,1.50,2.40,1.45,3.70,0,0
21,1.35,4.30,7.00,1.39,8.00,0.50,1.45,2.40,1.50,1.70,1.88,1.50,2.35,1.46,3.65,0,0
22,1.35,4.35,6.50,1.39,8.00,0.50,1.44,2.40,1.50,1.68,1.91,1.50,2.30,1.48,3.60,0,0
23,1.36,4.35,6.50,1.40,8.00,0.50,1.43,2.45,1.50,1.65,1.94,1.50,2.25,1.49,3.55,0,0
24,1.36,4.40,6.00,1.40,8.00,0.50,1.42,2.50,1.50,1.63,1.98,1.50,2.20,1.51,3.50,0,0
25,1.37,4.40,6.00,1.41,8.00,0.50,1.42,2.50,1.50,1.61,2.00,1.50,2.15,1.53,3.50,0,0
