min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.96,1.96,10.0,2.55,2.55,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.15,0,0
2,1.96,1.96,10.0,2.55,2.55,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.15,0,0
3,1.96,1.96,10.0,2.55,2.55,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.15,0,0
4,1.96,1.96,10.0,2.55,2.55,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.15,0,0
5,1.96,1.96,10.0,2.55,2.55,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.15,0,0
6,1.97,1.97,10.0,2.55,2.55,1.50,1.44,2.45,1.50,1.44,2.45,1,1,1,3.10,0,0
7,1.97,1.97,9.50,2.55,2.55,1.50,1.43,2.45,1.50,1.43,2.45,1,1,1,3.10,0,0
8,1.98,1.98,9.00,2.55,2.55,1.50,1.41,2.50,1.50,1.41,2.50,1,1,1,3.10,0,0
9,1.98,1.98,9.00,2.55,2.55,1.50,1.40,2.55,1.50,1.40,2.55,1,1,1,3.05,0,0
10,1.99,1.99,9.00,2.55,2.55,1.50,1.40,2.60,1.50,1.40,2.60,1,1,1,3.05,0,0
11,2.00,2.00,8.50,2.60,2.60,1.50,1.39,2.60,1.50,1.39,2.60,1,1,1,3.05,0,0
12,2.00,2.00,8.50,2.60,2.60,1.50,1.38,2.65,1.50,1.38,2.65,1,1,1,3.00,0,0
13,2.00,2.00,8.00,2.60,2.60,1.50,1.37,2.70,1.50,1.37,2.70,1,1,1,3.00,0,0
14,2.00,2.00,8.00,2.60,2.60,1.50,1.36,2.70,1.50,1.36,2.70,1,1,1,3.00,0,0
15,2.00,2.00,8.00,2.60,2.60,1.50,1.35,2.75,1.50,1.35,2.75,1,1,1,2.95,0,0
16,2.00,2.00,7.50,2.60,2.60,1.50,1.34,2.80,1.50,1.34,2.80,1,1,1,2.95,0,0
17,2.00,2.00,7.50,2.60,2.60,0.50,2.80,1.34,0.50,2.80,1.34,1,1,1,2.95,0,0
18,2.00,2.00,7.00,2.65,2.65,0.50,2.80,1.34,0.50,2.80,1.34,1,1,1,2.90,0,0
19,2.00,2.00,7.00,2.65,2.65,0.50,2.75,1.35,0.50,2.75,1.35,1,1,1,2.90,0,0
20,2.05,2.05,7.00,2.65,2.65,0.50,2.70,1.36,0.50,2.70,1.36,1,1,1,2.90,0,0
21,2.05,2.05,6.50,2.65,2.65,0.50,2.70,1.37,0.50,2.70,1.37,1.50,2.40,1.44,2.85,0,0
22,2.05,2.05,6.50,2.65,2.65,0.50,2.60,1.38,0.50,2.60,1.38,1.50,2.35,1.46,2.85,0,0
23,2.05,2.05,6.00,2.70,2.70,0.50,2.60,1.39,0.50,2.60,1.39,1.50,2.30,1.47,2.80,0,0
24,2.10,2.10,6.00,2.70,2.70,0.50,2.55,1.40,0.50,2.55,1.40,1.50,2.25,1.49,2.80,0,0
25,2.10,2.10,6.00,1.41,7.00,0.50,2.50,1.41,1.50,2.50,1.41,1,1,1,3.70,0,1
26,2.10,2.10,6.00,1.41,7.00,0.50,2.50,1.42,1.50,2.50,1.42,1,1,1,3.70,0,1
27,2.10,2.10,6.00,1.40,7.00,0.50,2.45,1.44,1.50,2.45,1.44,1,1,1,3.70,0,1
28,2.10,2.10,6.00,1.40,7.00,0.50,2.40,1.45,1.50,2.40,1.45,1,1,1,3.70,0,1
29,2.10,2.10,6.00,1.40,7.50,0.50,2.35,1.46,1.50,2.35,1.46,1,1,1,3.70,0,1
30,2.10,2.10,6.00,1.40,7.50,0.50,2.30,1.47,1.50,2.30,1.47,1,1,1,3.65,0,1
31,2.10,2.10,6.00,1.40,7.50,0.50,2.30,1.48,1.50,2.30,1.48,1,1,1,3.65,0,1
32,2.10,2.10,6.00,1.39,8.00,0.50,2.25,1.49,1.50,2.25,1.49,1,1,1,3.65,0,1
33,2.10,2.10,6.00,1.39,8.00,0.50,2.20,1.50,1.50,2.20,1.50,1,1,1,3.65,0,1
34,2.10,2.10,6.00,1.38,8.00,0.50,2.20,1.52,1.50,2.20,1.52,1,1,1,3.65,0,1
35,2.10,2.10,6.00,1.38,8.00,0.50,2.15,1.53,1.50,2.15,1.53,1,1,1,3.65,0,1
36,2.10,2.10,6.00,1.38,8.00,0.50,2.10,1.55,1.50,2.10,1.55,1,1,1,3.65,0,1
37,2.10,2.10,6.00,1.38,8.50,0.50,2.10,1.56,1.50,2.10,1.56,1,1,1,3.65,0,1
38,2.10,2.10,6.00,1.38,9.00,0.50,2.05,1.58,1.50,2.05,1.58,1,1,1,3.65,0,1
39,2.10,2.10,6.00,1.37,9.00,0.50,2.00,1.60,1.50,2.00,1.60,1,1,1,3.65,0,1
40,2.10,2.10,6.00,1.37,9.00,0.50,2.00,1.61,1.50,2.00,1.61,1,1,1,3.65,0,1
