min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.72,8.00,3.40,2.00,1.50,1.50,2.25,0.50,2.45,1.43,1,1,1,3.00,0,0
2,2.40,1.72,8.00,3.40,2.00,1.50,1.50,2.25,0.50,2.45,1.43,1,1,1,3.00,0,0
3,2.40,1.72,8.00,3.40,2.00,1.50,1.50,2.25,0.50,2.45,1.43,1,1,1,3.00,0,0
4,2.40,1.72,8.00,3.40,2.00,1.50,1.50,2.25,0.50,2.45,1.43,1,1,1,3.00,0,0
5,2.40,1.72,8.00,3.40,2.00,1.50,1.50,2.25,0.50,2.45,1.43,1,1,1,3.00,0,0
6,2.40,1.72,8.00,3.40,2.00,1.50,1.49,2.30,0.50,2.45,1.44,1,1,1,3.00,0,0
7,2.40,1.73,7.50,3.40,2.05,1.50,1.47,2.30,0.50,2.40,1.45,1,1,1,2.95,0,0
8,2.45,1.73,7.50,3.40,2.05,1.50,1.46,2.35,0.50,2.40,1.45,1,1,1,2.95,0,0
9,2.45,1.74,7.00,3.45,2.05,1.50,1.45,2.40,0.50,2.35,1.46,1,1,1,2.90,0,0
10,2.45,1.74,7.00,3.45,2.05,1.50,1.44,2.40,0.50,2.30,1.47,1,1,1,2.90,0,0
11,2.45,1.75,7.00,3.45,2.10,1.50,1.43,2.45,0.50,2.30,1.48,1,1,1,2.90,0,0
12,2.45,1.76,6.50,3.45,2.10,1.50,1.42,2.50,0.50,2.25,1.49,1,1,1,2.90,0,0
13,2.50,1.76,6.50,3.50,2.10,1.50,1.41,2.50,0.50,2.25,1.50,1.50,2.40,1.45,2.85,0,0
14,2.50,1.77,6.50,3.50,2.10,1.50,1.40,2.55,0.50,2.20,1.51,1.50,2.35,1.46,2.85,0,0
15,2.50,1.78,6.00,3.50,2.10,1.50,1.39,2.60,0.50,2.20,1.52,1.50,2.30,1.47,2.80,0,0
16,2.50,1.78,6.00,3.50,2.10,1.50,1.38,2.65,0.50,2.15,1.53,1.50,2.30,1.49,2.80,0,0
17,2.50,1.79,6.00,3.50,2.10,1.50,1.37,2.70,0.50,2.10,1.54,1.50,2.25,1.50,2.80,0,0
18,2.50,1.80,6.00,3.50,2.15,1.50,1.36,2.70,0.50,2.10,1.55,1.50,2.20,1.51,2.75,0,0
19,2.50,1.80,5.50,3.50,2.15,1.50,1.35,2.75,0.50,2.10,1.56,1.50,2.15,1.53,2.75,0,0
20,2.55,1.81,5.50,3.55,2.15,1.50,1.34,2.80,0.50,2.05,1.58,1.50,2.10,1.55,2.70,0,0
21,2.55,1.82,5.50,3.50,2.15,0.50,2.80,1.34,0.50,2.05,1.59,1.50,2.10,1.56,2.70,0,0
