min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,2.15,1.86,10.0,2.90,2.30,1.50,1.54,2.25,1.50,1.41,2.70,1,1,1,3.20,0,0
4,2.15,1.86,10.0,2.90,2.30,1.50,1.54,2.25,1.50,1.41,2.70,1,1,1,3.20,0,0
5,2.05,1.91,11.0,2.75,2.40,1.50,1.54,2.25,1.50,1.47,2.50,1,1,1,3.25,0,0
6,2.05,1.92,10.5,2.75,2.40,1.50,1.53,2.30,1.50,1.46,2.50,1,1,1,3.25,0,0
7,2.05,1.92,10.5,2.75,2.40,1.50,1.52,2.30,1.50,1.45,2.55,1,1,1,3.20,0,0
8,2.05,1.93,10.0,6.00,1.44,2.50,1.51,2.35,1.50,1.44,2.60,3.50,1.74,1.91,4.10,1,0
9,2.05,1.93,10.0,5.50,1.49,2.50,1.50,2.40,1.50,1.50,2.40,3.50,1.80,1.85,3.95,1,0
10,2.05,1.93,10.0,5.50,1.48,2.50,1.49,2.40,1.50,1.49,2.40,3.50,1.77,1.88,3.95,1,0
11,2.05,1.93,10.0,5.50,1.49,2.50,1.47,2.45,1.50,1.47,2.45,3.50,1.74,1.91,3.95,1,0
12,2.05,1.93,10.0,5.50,1.48,2.50,1.46,2.50,1.50,1.46,2.50,3.50,1.71,1.95,3.95,1,0
13,2.05,1.93,10.0,5.50,1.48,2.50,1.45,2.55,1.50,1.45,2.55,3.50,1.69,1.99,3.90,1,0
14,2.05,1.93,10.0,6.00,1.48,2.50,1.44,2.60,1.50,1.44,2.60,3.50,1.67,2.00,3.90,1,0
15,2.05,1.93,10.0,6.00,1.47,2.50,1.43,2.60,1.50,1.43,2.60,3.50,1.64,2.05,3.90,1,0
16,2.05,1.93,10.0,2.95,2.35,2.50,1.48,2.45,1.50,2.90,1.36,4.50,1.61,2.10,3.10,1,1
17,2.05,1.93,10.0,2.95,2.35,2.50,1.47,2.50,1.50,2.85,1.37,4.50,1.59,2.15,3.10,1,1
18,2.05,1.93,10.0,3.00,2.35,2.50,1.46,2.50,1.50,2.85,1.38,4.50,1.58,2.20,3.10,1,1
19,2.05,1.93,10.0,3.00,2.40,2.50,1.45,2.55,1.50,2.80,1.39,4.50,1.55,2.20,3.10,1,1
20,2.05,1.93,10.0,3.00,2.40,2.50,1.44,2.60,1.50,2.75,1.40,4.50,1.54,2.30,3.05,1,1
21,2.05,1.93,10.0,3.00,2.40,2.50,1.42,2.65,1.50,2.70,1.41,4.50,1.52,2.30,3.00,1,1
22,2.05,1.93,10.0,3.00,2.40,2.50,1.41,2.70,1.50,2.65,1.42,4.50,1.50,2.40,3.00,1,1
23,2.05,1.93,10.0,3.00,2.40,2.50,1.40,2.75,1.50,2.60,1.43,4.50,1.48,2.45,3.00,1,1
24,2.05,1.93,10.0,3.05,2.40,2.50,1.39,2.80,1.50,2.60,1.44,4.50,1.46,2.50,2.95,1,1
