min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.60,1.74,7.00,3.60,2.00,1.50,1.45,2.50,0.50,2.20,1.56,1,1,1,3.10,0,0
2,2.60,1.74,7.00,3.60,2.00,1.50,1.45,2.50,0.50,2.20,1.56,1,1,1,3.10,0,0
3,2.60,1.74,7.00,3.60,2.00,1.50,1.45,2.50,0.50,2.20,1.56,1,1,1,3.10,0,0
4,2.60,1.74,7.00,3.60,2.00,1.50,1.45,2.50,0.50,2.20,1.56,1,1,1,3.10,0,0
5,2.60,1.74,7.00,3.60,2.00,1.50,1.45,2.50,0.50,2.20,1.56,1,1,1,3.10,0,0
6,2.60,1.75,7.00,3.60,2.00,1.50,1.45,2.55,0.50,2.20,1.57,1.50,2.45,1.47,3.10,0,0
7,2.60,1.75,7.00,3.60,2.00,1.50,1.44,2.60,0.50,2.15,1.58,1.50,2.40,1.49,3.05,0,0
8,2.60,1.76,6.50,3.60,2.05,1.50,1.43,2.65,0.50,2.15,1.59,1.50,2.40,1.50,3.00,0,0
9,2.60,1.77,6.50,3.65,2.05,1.50,1.42,2.70,0.50,2.10,1.60,1.50,2.35,1.51,3.00,0,0
10,2.60,1.77,6.50,3.65,2.05,1.50,1.41,2.70,0.50,2.10,1.61,1.50,2.30,1.53,3.00,0,0
11,2.65,1.78,6.00,3.65,2.05,1.50,1.40,2.75,0.50,2.10,1.62,1.50,2.25,1.54,3.00,0,0
12,2.65,1.79,6.00,3.65,2.10,1.50,1.39,2.80,0.50,2.05,1.63,1.50,2.20,1.55,2.95,0,0
13,2.65,1.79,6.00,3.65,2.10,1.50,1.38,2.85,0.50,2.05,1.65,1.50,2.20,1.57,2.95,0,0
14,2.65,1.80,6.00,3.65,2.10,1.50,1.37,2.85,0.50,2.00,1.66,1.50,2.15,1.58,2.90,0,0
15,2.70,1.81,5.50,3.70,2.10,0.50,2.90,1.37,0.50,2.00,1.67,1.50,2.10,1.60,2.90,0,0
16,2.70,1.82,5.50,3.70,2.10,0.50,2.85,1.37,0.50,1.99,1.69,1.50,2.10,1.62,2.90,0,0
17,2.70,1.82,5.50,3.70,2.10,0.50,2.80,1.38,0.50,1.96,1.70,1.50,2.05,1.64,2.85,0,0
18,2.70,1.83,5.00,3.70,2.15,0.50,2.80,1.39,0.50,1.94,1.72,1.50,2.00,1.66,2.85,0,0
19,2.70,1.84,5.00,3.70,2.15,0.50,2.75,1.40,0.50,1.92,1.73,1.50,2.00,1.68,2.80,0,0
20,2.75,1.85,5.00,3.70,2.15,0.50,2.70,1.41,0.50,1.90,1.75,1.50,1.96,1.70,2.80,0,0
21,2.75,1.86,5.00,3.70,2.15,0.50,2.65,1.42,0.50,1.88,1.76,1.50,1.93,1.73,2.75,0,0
22,2.75,1.87,5.00,3.70,2.20,0.50,2.60,1.43,0.50,1.86,1.78,1.50,1.90,1.75,2.75,0,0
23,2.80,1.88,4.85,3.70,2.20,0.50,2.60,1.44,0.50,1.84,1.80,1.50,1.86,1.78,2.70,0,0
24,2.80,1.90,4.75,3.70,2.20,0.50,2.55,1.45,0.50,1.82,1.82,1.50,1.83,1.81,2.70,0,0
25,2.80,1.91,4.60,3.75,2.20,0.50,2.50,1.46,0.50,1.80,1.84,1.50,1.80,1.84,2.65,0,0
26,2.80,1.92,4.50,3.75,2.20,0.50,2.45,1.47,0.50,1.78,1.86,1.50,1.77,1.87,2.65,0,0
27,2.85,1.93,4.40,3.75,2.25,0.50,2.40,1.49,0.50,1.76,1.88,1.50,1.75,1.90,2.60,0,0
28,2.85,1.95,4.30,3.80,2.25,0.50,2.40,1.50,0.50,1.75,1.90,1.50,1.72,1.94,2.60,0,0
29,2.90,1.96,4.20,3.80,2.30,0.50,2.35,1.51,0.50,1.73,1.93,1.50,1.69,1.98,2.60,0,0
30,2.90,1.97,4.15,3.80,2.30,0.50,2.30,1.52,0.50,1.71,1.95,1.50,1.67,2.00,2.55,0,0
31,2.90,1.99,4.05,3.80,2.30,0.50,2.30,1.53,0.50,1.70,1.97,1.50,1.65,2.00,2.50,0,0
32,2.90,2.00,3.95,3.85,2.30,0.50,2.25,1.54,0.50,1.68,2.00,1.50,1.63,2.05,2.50,0,0
33,2.95,2.00,3.90,3.85,2.35,0.50,2.20,1.56,0.50,1.67,2.00,1.50,1.61,2.10,2.50,0,0
34,2.95,2.00,3.80,3.85,2.35,0.50,2.20,1.57,0.50,1.65,2.00,1.50,1.59,2.15,2.45,0,0
35,3.00,2.00,3.70,3.90,2.40,0.50,2.15,1.59,0.50,1.63,2.05,1.50,1.57,2.20,2.40,0,0
36,3.00,2.05,3.65,3.90,2.40,0.50,2.10,1.60,0.50,1.62,2.10,1.50,1.55,2.25,2.40,0,0
37,3.00,2.05,3.55,3.90,2.40,0.50,2.10,1.62,0.50,1.60,2.10,1.50,1.53,2.30,2.40,0,0
38,3.05,2.10,3.50,3.95,2.45,0.50,2.05,1.63,0.50,1.59,2.15,1.50,1.51,2.35,2.35,0,0
39,3.05,2.10,3.40,4.00,2.45,0.50,2.00,1.65,0.50,1.57,2.20,1.50,1.49,2.40,2.30,0,0
