min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.81,2.00,9.50,2.25,2.65,1.50,1.32,2.70,0.50,3.20,1.22,1,1,1,3.20,0,0
2,1.81,2.00,9.50,2.25,2.65,1.50,1.32,2.70,0.50,3.20,1.22,1,1,1,3.20,0,0
3,1.81,2.00,9.50,2.25,2.65,1.50,1.32,2.70,0.50,3.20,1.22,1,1,1,3.20,0,0
4,1.81,2.00,9.50,2.25,2.65,1.50,1.32,2.70,0.50,3.20,1.22,1,1,1,3.20,0,0
5,1.81,2.00,9.50,2.25,2.65,1.50,1.32,2.70,0.50,3.20,1.22,1,1,1,3.20,0,0
6,1.82,2.00,9.50,2.25,2.65,1.50,1.31,2.70,1.50,1.40,2.40,1,1,1,3.20,0,0
7,1.82,2.00,9.50,1.34,6.00,1.50,1.31,2.75,2.50,1.39,2.45,3.50,1.55,2.00,4.30,0,1
8,1.82,2.00,9.50,1.37,6.00,0.50,2.80,1.34,2.50,1.41,2.50,3.50,1.56,2.10,4.40,0,1
9,1.82,2.00,9.50,1.37,6.50,0.50,2.80,1.35,2.50,1.40,2.55,3.50,1.55,2.10,4.40,0,1
10,1.82,2.00,9.50,1.36,6.50,0.50,2.75,1.35,2.50,1.39,2.60,3.50,1.53,2.15,4.40,0,1
11,1.82,2.00,9.50,1.36,6.50,0.50,2.70,1.36,2.50,1.38,2.65,3.50,1.51,2.20,4.35,0,1
12,1.82,2.00,9.50,1.36,6.50,0.50,2.70,1.37,2.50,1.37,2.70,3.50,1.50,2.25,4.35,0,1
13,1.82,2.00,9.50,1.36,6.50,0.50,2.65,1.38,2.50,1.36,2.70,3.50,1.48,2.30,4.35,0,1
14,1.82,2.00,9.50,1.36,6.50,0.50,2.60,1.39,2.50,1.35,2.75,3.50,1.46,2.35,4.35,0,1
15,1.82,2.00,9.50,1.35,7.00,0.50,2.55,1.40,2.50,1.34,2.80,3.50,1.45,2.40,4.35,0,1
16,1.82,2.00,9.50,1.35,7.00,0.50,2.50,1.41,1.50,2.85,1.33,3.50,1.43,2.45,4.30,0,1
17,1.82,2.00,9.50,1.34,7.00,0.50,2.50,1.42,1.50,2.80,1.34,1,1,1,4.30,0,1
18,1.82,2.00,9.50,1.35,7.00,0.50,2.45,1.43,1.50,2.75,1.35,1,1,1,4.30,0,1
19,1.82,2.00,9.50,1.34,7.00,0.50,2.45,1.44,1.50,2.70,1.36,1,1,1,4.30,0,1
20,1.82,2.00,9.50,1.34,7.00,0.50,2.40,1.45,1.50,2.70,1.37,1,1,1,4.30,0,1
21,1.82,2.00,9.50,1.34,7.00,0.50,2.35,1.46,1.50,2.65,1.38,1,1,1,4.30,0,1
22,1.82,2.00,9.50,1.34,7.00,0.50,2.35,1.47,1.50,2.60,1.39,1,1,1,4.30,0,1
23,1.82,2.00,9.50,1.33,7.50,0.50,2.30,1.48,1.50,2.55,1.40,1,1,1,4.25,0,1
24,1.82,2.00,9.50,1.33,7.50,0.50,2.25,1.49,1.50,2.50,1.41,1,1,1,4.25,0,1
25,1.82,2.00,9.50,1.33,7.50,0.50,2.25,1.50,1.50,2.50,1.42,1,1,1,4.25,0,1
26,1.82,2.00,9.50,1.33,8.00,0.50,2.20,1.51,1.50,2.45,1.43,1,1,1,4.25,0,1
27,1.82,2.00,9.50,1.32,8.00,0.50,2.15,1.53,1.50,2.40,1.44,1,1,1,4.20,0,1
28,1.82,2.00,9.50,1.32,8.00,0.50,2.15,1.54,1.50,2.40,1.45,1,1,1,4.20,0,1
29,1.82,2.00,9.50,1.32,8.00,0.50,2.10,1.55,1.50,2.35,1.46,1,1,1,4.20,0,1
30,1.82,2.00,9.50,1.32,8.00,0.50,2.10,1.56,1.50,2.30,1.47,1,1,1,4.20,0,1
31,1.82,2.00,9.50,1.32,8.50,0.50,2.05,1.58,1.50,2.25,1.49,1,1,1,4.20,0,1
32,1.82,2.00,9.50,1.31,8.50,0.50,2.00,1.59,1.50,2.25,1.50,1,1,1,4.20,0,1
33,1.82,2.00,9.50,1.31,8.50,0.50,2.00,1.61,1.50,2.20,1.51,1,1,1,4.20,0,1
34,1.82,2.00,9.50,1.31,9.00,0.50,1.99,1.62,1.50,2.15,1.53,1,1,1,4.20,0,1
35,1.82,2.00,9.50,1.30,9.00,0.50,1.96,1.64,1.50,2.15,1.54,1,1,1,4.20,0,1
36,1.82,2.00,9.50,1.30,9.00,0.50,1.93,1.66,1.50,2.10,1.56,1,1,1,4.20,0,1
37,1.82,2.00,9.50,1.30,9.00,0.50,1.90,1.68,1.50,2.05,1.57,1,1,1,4.20,0,1
38,1.82,2.00,9.50,1.12,15.0,0.50,1.60,2.00,1.50,2.60,1.39,1,1,1,5.50,0,1
39,1.82,2.00,9.50,1.11,13.0,0.50,1.59,2.05,1.50,2.55,1.40,1,1,1,6.50,0,1
40,1.82,2.00,9.50,1.10,13.0,0.50,1.57,2.05,1.50,2.50,1.42,1,1,1,6.50,0,1
41,1.82,2.00,9.50,1.10,13.0,0.50,1.56,2.10,1.50,2.45,1.43,1,1,1,6.50,0,1
42,1.82,2.00,9.50,1.10,13.0,0.50,1.54,2.10,1.50,2.40,1.44,1,1,1,6.50,0,1
43,1.82,2.00,9.50,1.10,13.0,0.50,1.53,2.15,1.50,2.35,1.46,1,1,1,6.50,0,1
44,1.82,2.00,9.50,1.10,13.0,0.50,1.52,2.20,1.50,2.30,1.47,1,1,1,6.50,0,1
45,1.82,2.00,9.50,1.10,14.0,0.50,1.50,2.20,1.50,2.25,1.49,1,1,1,6.50,0,1
46,1.82,2.00,9.50,1.10,14.0,0.50,1.49,2.25,1.50,2.20,1.50,1,1,1,6.50,0,1
47,1.82,2.00,9.50,1.09,14.0,0.50,1.48,2.30,1.50,2.20,1.52,1,1,1,6.50,0,1
48,1.82,2.00,9.50,1.09,14.0,0.50,1.46,2.35,1.50,2.15,1.54,1,1,1,6.50,0,1
49,1.82,2.00,9.50,1.09,14.0,0.50,1.45,2.40,1.50,2.10,1.56,1,1,1,6.50,0,1
50,1.82,2.00,9.50,1.09,14.0,0.50,1.44,2.45,1.50,2.05,1.58,1,1,1,6.50,0,1
51,1.82,2.00,9.50,1.09,15.0,0.50,1.42,2.50,1.50,2.00,1.60,1,1,1,6.50,0,1
52,1.82,2.00,9.50,1.09,15.0,0.50,1.41,2.50,1.50,2.00,1.62,1,1,1,6.50,0,1
53,1.82,2.00,9.50,1.09,15.0,0.50,1.40,2.55,1.50,1.96,1.64,1,1,1,6.50,0,1
54,1.82,2.00,9.50,1.08,15.0,0.50,1.39,2.60,1.50,1.91,1.67,1,1,1,6.50,0,1
55,1.82,2.00,9.50,1.08,16.0,0.50,1.37,2.65,1.50,1.88,1.70,1,1,1,6.50,0,1
