min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.46,3.05,12.0,1.51,5.50,0.50,2.40,1.49,1.50,2.30,1.52,1,1,1,3.70,0,0
2,1.46,3.05,12.0,1.51,5.50,0.50,2.40,1.49,1.50,2.30,1.52,1,1,1,3.70,0,0
3,1.46,3.05,12.0,1.51,5.50,0.50,2.40,1.49,1.50,2.30,1.52,1,1,1,3.70,0,0
4,1.46,3.05,12.0,1.51,5.50,0.50,2.40,1.49,1.50,2.30,1.52,1,1,1,3.70,0,0
5,1.46,3.05,12.0,1.51,5.50,0.50,2.40,1.49,1.50,2.30,1.52,1,1,1,3.70,0,0
6,1.46,3.10,12.0,1.52,5.50,0.50,2.40,1.50,1.50,2.30,1.53,1,1,1,3.70,0,0
7,1.46,3.10,12.0,1.52,5.50,0.50,2.35,1.51,1.50,2.25,1.55,1,1,1,3.65,0,0
8,1.46,3.10,11.5,1.53,5.50,0.50,2.30,1.52,1.50,2.20,1.56,1,1,1,3.60,0,0
9,1.47,3.10,11.0,1.54,5.50,0.50,2.30,1.53,1.50,2.15,1.58,1,1,1,3.60,0,0
10,1.47,3.10,11.0,1.54,5.50,0.50,2.30,1.54,1.50,2.10,1.60,1,1,1,3.55,0,0
11,1.47,3.10,11.0,1.55,5.50,0.50,2.25,1.55,1.50,2.10,1.61,1,1,1,3.55,0,0
12,1.48,3.10,10.5,1.55,5.50,0.50,2.20,1.56,1.50,2.05,1.63,1,1,1,3.50,0,0
13,1.48,3.10,10.0,1.56,5.50,0.50,2.20,1.57,1.50,2.00,1.65,1,1,1,3.50,0,0
14,1.48,3.10,10.0,1.56,5.50,0.50,2.20,1.58,1.50,2.00,1.67,1,1,1,3.50,0,0
15,1.48,3.10,10.0,1.57,5.50,0.50,2.15,1.59,1.50,1.99,1.68,1,1,1,3.45,0,0
16,1.49,3.15,9.50,1.57,5.50,0.50,2.10,1.60,1.50,1.96,1.71,1,1,1,3.40,0,0
17,1.49,3.15,9.50,1.58,5.50,0.50,2.10,1.61,1.50,1.93,1.73,1,1,1,3.40,0,0
18,1.49,3.15,9.00,1.58,5.50,0.50,2.10,1.62,1.50,1.89,1.75,1,1,1,3.35,0,0
19,1.50,3.15,9.00,1.59,5.50,0.50,2.05,1.63,1.50,1.87,1.78,1,1,1,3.35,0,0
20,1.50,3.15,8.50,1.60,5.50,0.50,2.00,1.65,1.50,1.84,1.81,1,1,1,3.30,0,0
21,1.51,3.20,8.50,1.61,5.50,0.50,2.00,1.66,1.50,1.81,1.84,1,1,1,3.30,0,0
22,1.51,3.20,8.00,1.62,5.50,0.50,2.00,1.68,1.50,1.78,1.86,1,1,1,3.25,0,0
23,1.51,3.20,8.00,1.63,5.50,0.50,1.98,1.69,1.50,1.76,1.89,1,1,1,3.25,0,0
24,1.52,3.20,8.00,1.63,5.50,0.50,1.95,1.71,1.50,1.73,1.93,1,1,1,3.20,0,0
25,1.52,3.20,7.50,1.64,5.50,0.50,1.93,1.73,1.50,1.71,1.95,1,1,1,3.20,0,0
26,1.53,3.20,7.00,1.64,5.50,0.50,1.90,1.75,1.50,1.68,1.99,1,1,1,3.15,0,0
27,1.53,3.25,7.00,1.65,5.00,0.50,1.88,1.76,1.50,1.66,2.00,1,1,1,3.10,0,0
28,1.54,3.25,7.00,1.66,5.50,0.50,1.86,1.78,1.50,1.64,2.05,1,1,1,3.10,0,0
29,1.55,3.25,6.50,1.67,5.50,0.50,1.84,1.80,1.50,1.62,2.10,1,1,1,3.10,0,0
30,1.55,3.30,6.50,1.68,5.00,0.50,1.82,1.82,1.50,1.60,2.10,1.50,2.40,1.49,3.05,0,0
31,1.56,3.30,6.00,1.69,5.00,0.50,1.80,1.84,1.50,1.58,2.15,1.50,2.35,1.50,3.00,0,0
32,1.56,3.30,6.00,1.70,5.50,0.50,1.78,1.87,1.50,1.56,2.20,1.50,2.30,1.52,3.00,0,0
33,1.57,3.30,6.00,1.71,5.50,0.50,1.76,1.89,1.50,1.54,2.25,1.50,2.25,1.54,2.95,0,0
34,1.58,3.30,5.50,1.72,5.00,0.50,1.74,1.91,1.50,1.53,2.30,1.50,2.20,1.56,2.95,0,0
35,1.59,3.35,5.50,1.73,5.50,0.50,1.72,1.94,1.50,1.51,2.35,1.50,2.15,1.58,2.90,0,0
36,1.59,3.35,5.50,1.75,5.50,0.50,1.70,1.97,1.50,1.49,2.40,1.50,2.10,1.61,2.90,0,0
37,1.60,3.40,5.00,1.76,5.50,0.50,1.68,1.99,1.50,1.47,2.45,1.50,2.05,1.63,2.85,0,0
38,1.61,3.40,5.00,1.77,5.50,0.50,1.67,2.00,1.50,1.46,2.50,1.50,2.00,1.66,2.80,0,0
39,1.62,3.40,5.00,1.79,5.50,0.50,1.65,2.00,1.50,1.45,2.55,1.50,1.99,1.69,2.80,0,0
40,1.63,3.45,5.00,1.80,5.50,0.50,1.63,2.05,1.50,1.43,2.60,1.50,1.94,1.72,2.75,0,0
41,1.64,3.45,4.85,1.81,5.50,0.50,1.62,2.10,1.50,1.41,2.70,1.50,1.90,1.75,2.70,0,0
42,1.65,3.50,4.70,1.83,5.50,0.50,1.60,2.10,1.50,1.40,2.75,1.50,1.86,1.79,2.70,0,0
43,1.66,3.50,4.55,1.84,5.50,0.50,1.59,2.15,1.50,1.39,2.80,1.50,1.82,1.82,2.65,0,0
44,1.67,3.50,4.45,1.86,5.50,0.50,1.57,2.20,1.50,1.37,2.85,1.50,1.79,1.86,2.65,0,0
45,1.67,3.20,5.00,1.87,5.00,0.50,1.72,1.93,1.50,1.42,2.65,1.50,2.00,1.68,2.75,0,0
46,1.68,3.25,5.00,1.90,5.00,0.50,1.70,1.97,1.50,1.40,2.70,1.50,1.94,1.72,2.70,0,0
47,1.69,3.25,4.85,1.91,5.00,0.50,1.68,2.00,1.50,1.39,2.80,1.50,1.90,1.75,2.70,0,0
48,1.71,3.30,4.65,1.94,5.00,0.50,1.66,2.00,1.50,1.37,2.85,1.50,1.85,1.79,2.65,0,0
49,1.72,3.30,4.50,1.94,5.00,0.50,1.64,2.05,0.50,2.85,1.37,1.50,1.81,1.84,2.60,0,0
50,1.73,3.30,4.40,1.97,5.00,0.50,1.62,2.10,0.50,2.80,1.38,1.50,1.77,1.88,2.60,0,0
51,1.75,3.35,4.25,1.99,5.00,0.50,1.60,2.10,0.50,2.75,1.40,1.50,1.72,1.93,2.55,0,0
52,1.77,3.40,4.10,2.00,5.00,0.50,1.58,2.15,0.50,2.65,1.42,1.50,1.68,1.99,2.50,0,0
53,1.79,3.40,3.95,2.00,5.00,0.50,1.56,2.20,0.50,2.60,1.44,1.50,1.65,2.00,2.45,0,0
54,1.81,3.45,3.85,2.05,5.00,0.50,1.54,2.25,0.50,2.55,1.45,1.50,1.61,2.10,2.40,0,0
55,1.83,3.50,3.70,2.05,5.00,0.50,1.53,2.30,0.50,2.50,1.47,1.50,1.58,2.15,2.40,0,0
56,1.85,3.50,3.60,2.10,5.00,0.50,1.51,2.35,0.50,2.40,1.49,1.50,1.55,2.25,2.35,0,0
57,1.87,3.55,3.50,2.10,5.00,0.50,1.50,2.40,0.50,2.35,1.51,1.50,1.52,2.30,2.30,0,0
58,1.90,3.60,3.40,2.15,5.00,0.50,1.48,2.45,0.50,2.30,1.53,1.50,1.49,2.40,2.25,0,0
59,1.93,3.60,3.30,2.20,5.00,0.50,1.46,2.50,0.50,2.20,1.56,1.50,1.47,2.50,2.20,0,0
60,1.96,3.70,3.20,2.20,5.00,0.50,1.45,2.55,0.50,2.15,1.58,1.50,1.44,2.60,2.20,0,0
61,1.99,3.70,3.10,2.25,5.00,0.50,1.43,2.60,0.50,2.10,1.60,1.50,1.42,2.65,2.15,0,0
62,2.00,3.75,3.00,2.30,5.00,0.50,1.42,2.70,0.50,2.05,1.63,1.50,1.39,2.75,2.10,0,0
63,2.00,3.75,3.00,7.00,1.60,1.50,1.40,2.75,0.50,2.00,1.66,1,1,1,2.95,1,0
64,2.00,3.75,3.00,7.50,1.59,1.50,1.39,2.80,0.50,1.97,1.70,1,1,1,2.95,1,0
65,2.00,3.75,3.00,8.00,1.57,1.50,1.37,2.90,0.50,1.91,1.74,1.50,2.85,1.38,2.95,1,0
66,2.00,3.75,3.00,8.50,1.55,1.50,1.35,2.95,0.50,1.86,1.78,1.50,2.75,1.40,3.00,1,0
67,2.00,3.75,3.00,9.00,1.54,1.50,1.33,3.05,0.50,1.81,1.83,1.50,2.65,1.42,3.00,1,0
68,2.00,3.75,3.00,9.50,1.52,1.50,1.32,3.10,0.50,1.77,1.88,1.50,2.55,1.45,3.00,1,0
69,2.00,3.75,3.00,10.0,1.51,1.50,1.30,3.20,0.50,1.72,1.93,1.50,2.45,1.48,3.05,1,0
70,2.00,3.75,3.00,10.5,1.49,1.50,1.28,3.30,0.50,1.68,2.00,1.50,2.35,1.51,3.05,1,0
71,2.00,3.75,3.00,11.0,1.47,1.50,1.26,3.40,0.50,1.65,2.05,1.50,2.30,1.54,3.10,1,0
72,2.00,3.75,3.00,12.0,1.45,1.50,1.25,3.50,0.50,1.60,2.10,1.50,2.20,1.58,3.10,1,0
73,2.00,3.75,3.00,13.0,1.44,1.50,1.23,3.65,0.50,1.57,2.20,1.50,2.10,1.62,3.15,1,0
74,2.00,3.75,3.00,13.0,1.42,1.50,1.21,3.75,0.50,1.54,2.30,1.50,2.00,1.66,3.20,1,0
75,2.00,3.75,3.00,14.0,1.40,1.50,1.19,3.90,0.50,1.51,2.35,1.50,1.95,1.71,3.20,1,0
76,2.00,3.75,3.00,15.0,1.38,1.50,1.17,4.10,0.50,1.47,2.45,1.50,1.86,1.78,3.30,1,0
77,2.00,3.75,3.00,17.0,1.36,1.50,1.16,4.30,0.50,1.44,2.60,1.50,1.79,1.85,3.35,1,0
78,2.00,3.75,3.00,18.0,1.34,1.50,1.14,4.50,0.50,1.41,2.70,1.50,1.72,1.93,3.40,1,0
79,2.00,3.75,3.00,20.0,1.32,1.50,1.12,4.75,0.50,1.38,2.80,1.50,1.66,2.00,3.45,1,0
80,2.00,3.75,3.00,22.0,1.30,1.50,1.11,5.00,0.50,1.35,2.95,1.50,1.61,2.10,3.55,1,0
81,2.00,3.75,3.00,26.0,1.27,1.50,1.09,5.00,0.50,1.32,3.10,1.50,1.55,2.25,3.65,1,0
82,2.00,3.75,3.00,30.0,1.25,1.50,1.08,5.50,0.50,1.29,3.30,1.50,1.50,2.40,3.75,1,0
83,2.00,3.75,3.00,36.0,1.23,1.50,1.07,6.00,0.50,1.25,3.50,1.50,1.46,2.50,3.90,1,0
84,2.00,3.75,3.00,43.0,1.20,1.50,1.06,6.50,0.50,1.22,3.70,1.50,1.41,2.70,4.05,1,0
85,2.00,3.75,3.00,60.0,1.17,1.50,1.05,7.00,0.50,1.18,4.00,1.50,1.36,2.90,4.25,1,0
86,2.00,3.75,3.00,60.0,1.14,1.50,1.05,8.00,0.50,1.15,4.40,1.50,1.31,3.15,4.50,1,0
87,2.00,3.75,3.00,32.0,1.12,1.50,1.04,8.50,0.50,1.12,4.80,1.50,1.27,3.40,4.75,1,0
88,2.00,3.75,3.00,36.0,1.10,1.50,1.04,9.50,0.50,1.09,5.00,1.50,1.21,3.75,5.00,1,0
