min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.45,3.70,7.00,1.52,7.00,0.50,1.70,1.96,1.50,1.78,1.87,1,1,1,3.35,0,0
2,1.45,3.70,7.00,1.52,7.00,0.50,1.70,1.96,1.50,1.78,1.87,1,1,1,3.35,0,0
3,1.45,3.70,7.00,1.52,7.00,0.50,1.70,1.96,1.50,1.78,1.87,1,1,1,3.35,0,0
4,1.45,3.70,7.00,1.52,7.00,0.50,1.70,1.96,1.50,1.78,1.87,1,1,1,3.35,0,0
5,1.45,3.70,7.00,1.52,7.00,0.50,1.70,1.96,1.50,1.78,1.87,1,1,1,3.35,0,0
6,1.45,3.70,7.00,1.52,7.00,0.50,1.69,1.98,1.50,1.75,1.89,1,1,1,3.30,0,0
7,1.46,3.70,7.00,1.53,7.00,0.50,1.68,2.00,1.50,1.73,1.92,1,1,1,3.30,0,0
8,1.46,3.70,7.00,1.53,7.00,0.50,1.67,2.00,1.50,1.71,1.95,1,1,1,3.30,0,0
9,1.47,3.70,6.50,1.54,7.00,0.50,1.66,2.00,1.50,1.69,1.98,1.50,2.45,1.48,3.25,0,0
10,1.47,3.70,6.50,1.55,7.00,0.50,1.65,2.05,1.50,1.68,2.00,1.50,2.40,1.49,3.20,0,0
11,1.47,3.75,6.50,1.55,7.00,0.50,1.63,2.05,1.50,1.66,2.00,1.50,2.35,1.50,3.20,0,0
12,1.48,3.75,6.00,1.56,7.00,0.50,1.62,2.10,1.50,1.64,2.05,1.50,2.30,1.52,3.20,0,0
13,1.48,3.75,6.00,1.56,7.00,0.50,1.61,2.10,1.50,1.62,2.10,1.50,2.30,1.53,3.15,0,0
14,1.49,3.80,6.00,1.57,7.00,0.50,1.60,2.10,1.50,1.61,2.10,1.50,2.25,1.55,3.10,0,0
15,1.49,3.80,6.00,1.57,7.00,0.50,1.59,2.15,1.50,1.59,2.15,1.50,2.20,1.56,3.10,0,0
16,1.50,3.80,5.50,1.59,7.00,0.50,1.58,2.15,1.50,1.58,2.20,1.50,2.15,1.58,3.10,0,0
17,1.50,3.80,5.50,1.59,7.00,0.50,1.57,2.20,1.50,1.56,2.20,1.50,2.10,1.60,3.05,0,0
18,1.51,3.85,5.50,1.60,7.00,0.50,1.56,2.20,1.50,1.55,2.25,1.50,2.10,1.62,3.00,0,0
19,1.51,3.80,5.50,1.59,6.50,0.50,1.55,2.25,1.50,1.53,2.30,1.50,2.10,1.62,3.10,0,0
20,1.51,3.85,5.00,1.60,6.50,0.50,1.54,2.25,1.50,1.52,2.30,1.50,2.05,1.64,3.05,0,0
21,1.52,3.85,5.00,1.62,6.50,0.50,1.53,2.30,1.50,1.50,2.35,1.50,2.00,1.66,3.05,0,0
22,1.52,3.90,5.00,1.62,6.50,0.50,1.53,2.30,1.50,1.49,2.40,1.50,1.99,1.68,3.00,0,0
23,1.53,3.90,5.00,1.63,6.50,0.50,1.51,2.35,1.50,1.48,2.45,1.50,1.95,1.71,3.00,0,0
24,1.54,3.90,5.00,1.64,6.50,0.50,1.51,2.35,1.50,1.46,2.50,1.50,1.92,1.73,2.95,0,0
25,1.55,3.95,4.90,1.65,6.50,0.50,1.50,2.40,1.50,1.45,2.55,1.50,1.89,1.76,2.90,0,0
26,1.55,3.95,4.75,1.66,6.50,0.50,1.49,2.40,1.50,1.44,2.60,1.50,1.86,1.79,2.90,0,0
27,1.56,4.00,4.65,1.67,6.50,0.50,1.48,2.45,1.50,1.43,2.65,1.50,1.83,1.82,2.85,0,0
28,1.57,4.00,4.55,1.68,6.50,0.50,1.47,2.50,1.50,1.42,2.70,1.50,1.80,1.84,2.85,0,0
29,1.58,4.00,4.45,1.69,6.50,0.50,1.46,2.50,1.50,1.40,2.70,1.50,1.77,1.88,2.80,0,0
30,1.58,4.05,4.35,1.70,6.50,0.50,1.45,2.55,1.50,1.39,2.80,1.50,1.74,1.91,2.80,0,0
31,1.59,4.05,4.30,1.71,6.50,0.50,1.45,2.55,1.50,1.38,2.80,1.50,1.72,1.94,2.75,0,0
32,1.60,4.10,4.15,1.73,6.50,0.50,1.44,2.60,1.50,1.37,2.90,1.50,1.69,1.98,2.70,0,0
33,1.61,4.10,4.10,1.74,6.50,0.50,1.43,2.65,0.50,2.90,1.37,1.50,1.67,2.00,2.70,0,0
34,1.62,4.10,4.00,1.75,6.50,0.50,1.42,2.65,0.50,2.85,1.38,1.50,1.65,2.00,2.65,0,0
35,1.62,4.10,4.00,1.75,6.50,0.50,1.41,2.70,0.50,2.80,1.39,1.50,1.64,2.05,2.70,0,0
36,1.63,4.15,3.90,1.76,6.50,0.50,1.40,2.75,0.50,2.70,1.40,1.50,1.61,2.10,2.70,0,0
37,1.64,4.20,3.80,1.77,6.50,0.50,1.39,2.75,0.50,2.70,1.42,1.50,1.59,2.15,2.65,0,0
38,1.66,4.20,3.70,1.80,6.50,0.50,1.39,2.80,0.50,2.60,1.43,1.50,1.57,2.20,2.60,0,0
39,1.67,4.25,3.60,1.81,6.50,0.50,1.38,2.85,0.50,2.60,1.44,1.50,1.54,2.25,2.55,0,0
40,1.69,4.30,3.55,1.83,6.50,0.50,1.37,2.90,0.50,2.50,1.46,1.50,1.52,2.30,2.55,0,0
41,1.70,4.35,3.45,1.84,6.50,0.50,1.36,2.90,0.50,2.50,1.47,1.50,1.50,2.35,2.50,0,0
42,1.72,4.40,3.40,1.86,6.50,0.50,1.35,2.95,0.50,2.40,1.49,1.50,1.49,2.40,2.45,0,0
43,1.73,4.40,3.30,1.87,6.50,0.50,1.34,3.00,0.50,2.40,1.50,1.50,1.47,2.50,2.45,0,0
44,1.75,4.45,3.25,1.90,6.50,0.50,1.33,3.05,0.50,2.35,1.51,1.50,1.45,2.55,2.40,0,0
45,1.76,4.50,3.20,1.92,6.50,0.50,1.32,3.10,0.50,2.30,1.53,1.50,1.44,2.60,2.35,0,0
46,1.78,4.50,3.10,1.94,6.50,0.50,1.31,3.15,0.50,2.25,1.54,1.50,1.42,2.65,2.35,0,0
47,1.80,4.60,3.05,1.96,6.50,0.50,1.30,3.20,0.50,2.20,1.56,1.50,1.40,2.75,2.30,0,0
48,1.83,4.65,2.95,1.98,6.50,0.50,1.29,3.25,0.50,2.15,1.58,1.50,1.38,2.80,2.25,0,0
49,1.85,4.70,2.90,2.00,6.50,0.50,1.28,3.30,0.50,2.10,1.60,0.50,2.90,1.36,2.20,0,0
50,1.87,4.75,2.85,2.00,7.00,0.50,1.27,3.35,0.50,2.10,1.62,0.50,2.85,1.38,2.20,0,0
51,1.90,4.80,2.80,2.05,7.00,0.50,1.26,3.40,0.50,2.05,1.64,0.50,2.80,1.39,2.15,0,0
52,1.86,5.00,2.75,2.00,7.00,0.50,1.23,3.60,0.50,2.05,1.64,0.50,2.75,1.39,2.20,0,0
53,1.89,5.00,2.70,2.00,7.00,0.50,1.22,3.70,0.50,2.00,1.67,0.50,2.70,1.41,2.15,0,0
54,1.92,5.00,2.60,2.05,7.00,0.50,1.21,3.75,0.50,1.98,1.69,0.50,2.60,1.43,2.10,0,0
55,1.95,5.00,2.55,2.05,7.00,0.50,1.20,3.80,0.50,1.93,1.72,0.50,2.55,1.45,2.10,0,0
56,1.98,5.00,2.50,2.10,7.00,0.50,1.20,3.90,0.50,1.90,1.75,0.50,2.50,1.46,2.05,0,0
57,2.00,5.00,2.45,2.15,7.00,0.50,1.19,4.00,0.50,1.86,1.78,0.50,2.45,1.48,2.00,0,0
58,2.00,5.00,2.35,2.15,7.50,0.50,1.18,4.05,0.50,1.82,1.82,0.50,2.35,1.50,2.00,0,0
59,2.05,5.50,2.30,2.20,7.50,0.50,1.17,4.15,0.50,1.79,1.86,0.50,2.30,1.53,1.96,0,0
60,2.10,5.50,2.25,2.25,7.50,0.50,1.16,4.30,0.50,1.75,1.90,0.50,2.25,1.55,1.92,0,0
61,2.15,5.50,2.20,2.30,7.50,0.50,1.15,4.40,0.50,1.72,1.94,0.50,2.20,1.57,1.89,0,0
62,2.20,5.50,2.10,2.35,7.50,0.50,1.14,4.50,0.50,1.69,1.99,0.50,2.10,1.60,1.85,0,0
63,2.25,6.00,2.05,2.40,8.00,0.50,1.13,4.60,0.50,1.66,2.00,0.50,2.05,1.63,1.82,0,0
64,2.30,6.00,2.00,2.45,8.00,0.50,1.12,4.70,0.50,1.63,2.05,0.50,2.00,1.66,1.78,0,0
65,2.35,6.00,1.97,2.50,8.00,0.50,1.12,4.90,0.50,1.60,2.10,0.50,1.97,1.70,1.75,0,0
66,2.40,6.00,1.92,2.55,8.00,0.50,1.11,5.00,0.50,1.57,2.20,0.50,1.92,1.74,1.72,0,0
67,2.35,7.00,1.87,2.50,9.00,0.50,1.08,5.50,0.50,1.58,2.20,0.50,1.87,1.77,1.70,0,0
68,2.40,7.00,1.82,2.55,9.50,0.50,1.08,5.50,0.50,1.55,2.25,0.50,1.82,1.82,1.67,0,0
69,2.50,7.50,1.77,2.60,9.50,0.50,1.07,6.00,0.50,1.52,2.30,0.50,1.77,1.87,1.64,0,0
70,2.55,7.50,1.73,2.70,9.50,0.50,1.07,6.00,0.50,1.50,2.40,0.50,1.73,1.93,1.61,0,0
71,2.65,8.00,1.69,2.75,10.0,0.50,1.06,6.00,0.50,1.47,2.45,0.50,1.69,1.99,1.58,0,0
72,2.70,8.00,1.65,2.85,10.0,0.50,1.06,6.50,0.50,1.45,2.55,0.50,1.65,2.05,1.55,0,0
73,2.80,8.50,1.60,2.90,10.0,0.50,1.05,7.00,0.50,1.43,2.65,0.50,1.60,2.10,1.52,0,0
74,2.90,8.50,1.57,3.00,10.5,0.50,1.05,7.00,0.50,1.40,2.70,0.50,1.57,2.20,1.50,0,0
75,3.00,9.00,1.54,3.10,10.5,0.50,1.05,7.50,0.50,1.38,2.80,0.50,1.54,2.30,1.47,0,0
76,3.10,9.50,1.50,3.20,11.0,0.50,1.04,8.00,0.50,1.35,2.95,0.50,1.50,2.40,1.45,0,0
77,3.20,9.50,1.47,3.35,11.0,0.50,1.04,8.00,0.50,1.33,3.10,0.50,1.47,2.50,1.42,0,0
78,3.35,10.0,1.44,3.50,11.5,0.50,1.04,8.50,0.50,1.30,3.20,0.50,1.44,2.60,1.39,0,0
79,3.50,10.5,1.41,3.60,12.0,0.50,1.04,9.00,0.50,1.27,3.35,0.50,1.41,2.70,1.37,0,0
80,3.65,11.0,1.37,3.80,12.0,0.50,1.04,9.50,0.50,1.25,3.50,0.50,1.37,2.85,1.34,0,0
81,3.85,11.5,1.34,4.00,13.0,0.50,1.04,10.5,0.50,1.22,3.70,0.50,1.34,3.00,1.31,0,0
82,4.10,12.0,1.31,4.20,13.0,1,1,1,0.50,1.19,3.95,0.50,1.31,3.20,1.28,0,0
83,4.35,12.0,1.27,4.50,14.0,1,1,1,0.50,1.16,4.20,0.50,1.27,3.40,1.25,0,0
84,4.65,12.0,1.24,4.80,14.0,1,1,1,0.50,1.14,4.50,0.50,1.24,3.60,1.21,0,0
85,5.00,12.0,1.20,5.00,15.0,1,1,1,0.50,1.12,4.90,0.50,1.20,3.85,1.18,0,0
86,5.00,12.0,1.17,5.50,16.0,1,1,1,0.50,1.09,5.00,0.50,1.17,4.20,1.15,0,0
87,6.00,12.0,1.13,6.00,17.0,1,1,1,0.50,1.07,6.00,0.50,1.13,4.65,1.12,0,0
88,6.50,12.0,1.10,7.00,19.0,1,1,1,0.50,1.06,6.50,0.50,1.10,5.00,1.09,0,0
89,7.50,12.0,1.07,8.00,20.0,1,1,1,1,1,1,1,1,1,1.07,0,0
