min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.65,1.64,9.00,3.90,1.86,1.50,1.64,2.05,0.50,2.40,1.49,1,1,1,3.25,0,0
2,2.65,1.64,9.00,3.90,1.86,1.50,1.64,2.05,0.50,2.40,1.49,1,1,1,3.25,0,0
3,2.65,1.64,9.00,3.90,1.86,1.50,1.64,2.05,0.50,2.40,1.49,1,1,1,3.25,0,0
4,2.65,1.64,9.00,3.90,1.86,1.50,1.64,2.05,0.50,2.40,1.49,1,1,1,3.25,0,0
5,2.65,1.64,9.00,3.90,1.86,1.50,1.64,2.05,0.50,2.40,1.49,1,1,1,3.25,0,0
6,2.65,1.65,9.00,3.90,1.87,1.50,1.62,2.10,0.50,2.40,1.50,1,1,1,3.20,0,0
7,2.65,1.65,8.50,3.90,1.87,1.50,1.61,2.10,0.50,2.35,1.51,1,1,1,3.20,0,0
8,2.65,1.66,8.50,3.90,1.88,1.50,1.59,2.15,0.50,2.30,1.52,1,1,1,3.20,0,0
9,2.65,1.66,8.00,3.90,1.90,1.50,1.58,2.20,0.50,2.30,1.53,1,1,1,3.15,0,0
10,2.70,1.67,8.00,1.83,3.85,1.50,1.56,2.20,1.50,2.30,1.54,3.50,1.54,2.30,3.35,0,1
11,2.70,1.67,8.00,1.82,3.90,1.50,1.55,2.25,1.50,2.25,1.55,3.50,1.52,2.30,3.35,0,1
12,2.70,1.67,8.00,1.81,3.95,1.50,1.54,2.30,1.50,2.20,1.56,3.50,1.51,2.35,3.35,0,1
13,2.70,1.67,8.00,1.81,4.00,1.50,1.53,2.30,1.50,2.20,1.57,3.50,1.49,2.40,3.30,0,1
14,2.70,1.67,8.00,1.98,3.40,1.50,1.61,2.10,1.50,2.05,1.64,3.50,1.52,2.30,3.35,0,1
15,2.70,1.67,8.00,1.97,3.40,1.50,1.60,2.10,1.50,2.00,1.65,3.50,1.51,2.35,3.35,0,1
16,2.70,1.67,8.00,1.96,3.50,1.50,1.58,2.15,1.50,2.00,1.66,3.50,1.49,2.40,3.35,0,1
17,2.70,1.67,8.00,1.95,3.50,1.50,1.57,2.20,1.50,2.00,1.68,3.50,1.48,2.45,3.35,0,1
18,2.70,1.67,8.00,1.94,3.55,1.50,1.55,2.25,1.50,1.98,1.69,3.50,1.46,2.50,3.30,0,1
19,2.70,1.67,8.00,1.93,3.60,1.50,1.54,2.25,1.50,1.96,1.71,1,1,1,3.30,0,1
20,2.70,1.67,8.00,1.91,3.60,1.50,1.53,2.30,1.50,1.93,1.72,1,1,1,3.30,0,1
21,2.70,1.67,8.00,1.90,3.65,1.50,1.51,2.35,1.50,1.92,1.74,1,1,1,3.30,0,1
22,2.70,1.67,8.00,1.89,3.75,1.50,1.50,2.40,1.50,1.89,1.75,1,1,1,3.30,0,1
23,2.70,1.67,8.00,1.88,3.80,1.50,1.48,2.45,1.50,1.87,1.77,1,1,1,3.30,0,1
24,2.70,1.67,8.00,1.87,3.85,1.50,1.47,2.50,1.50,1.85,1.79,1,1,1,3.30,0,1
25,2.70,1.67,8.00,1.86,3.90,1.50,1.46,2.50,1.50,1.83,1.81,1,1,1,3.25,0,1
26,2.70,1.67,8.00,1.85,3.90,1.50,1.45,2.55,1.50,1.81,1.83,1,1,1,3.25,0,1
27,2.70,1.67,8.00,1.84,4.00,1.50,1.43,2.60,1.50,1.79,1.85,1,1,1,3.25,0,1
28,2.70,1.67,8.00,1.83,4.05,1.50,1.42,2.65,1.50,1.78,1.87,1,1,1,3.25,0,1
29,2.70,1.67,8.00,1.81,4.10,1.50,1.41,2.70,1.50,1.76,1.89,1,1,1,3.25,0,1
30,2.70,1.67,8.00,1.80,4.15,1.50,1.40,2.75,1.50,1.74,1.92,1,1,1,3.25,0,1
31,2.70,1.67,8.00,1.80,4.25,1.50,1.39,2.80,1.50,1.72,1.94,1,1,1,3.20,0,1
32,2.70,1.67,8.00,1.79,4.30,1.50,1.37,2.85,1.50,1.70,1.96,1,1,1,3.20,0,1
33,2.70,1.67,8.00,1.78,4.40,0.50,2.90,1.37,1.50,1.69,1.99,1,1,1,3.20,0,1
34,2.70,1.67,8.00,1.77,4.45,0.50,2.85,1.37,1.50,1.67,2.00,1,1,1,3.20,0,1
35,2.70,1.67,8.00,1.16,14.0,0.50,2.80,1.38,2.50,1.66,2.00,3.50,1.86,1.78,6.00,0,2
36,2.70,1.67,8.00,1.15,14.0,0.50,2.75,1.40,2.50,1.64,2.05,3.50,1.82,1.82,6.00,0,2
37,2.70,1.67,8.00,1.14,14.0,0.50,2.70,1.41,2.50,1.62,2.10,3.50,1.78,1.86,6.00,0,2
38,2.70,1.67,8.00,1.14,15.0,0.50,2.65,1.42,2.50,1.61,2.10,3.50,1.75,1.90,6.00,0,2
39,2.70,1.67,8.00,1.13,15.0,0.50,2.60,1.44,2.50,1.59,2.15,3.50,1.72,1.94,6.00,0,2
40,2.70,1.67,8.00,1.12,16.0,0.50,2.55,1.45,2.50,1.58,2.20,3.50,1.69,1.99,6.00,0,2
41,2.70,1.67,8.00,1.12,16.0,0.50,2.50,1.46,2.50,1.56,2.20,3.50,1.66,2.00,6.00,0,2
42,2.70,1.67,8.00,1.11,16.0,0.50,2.45,1.48,2.50,1.55,2.25,3.50,1.63,2.05,6.50,0,2
43,2.70,1.67,8.00,1.11,17.0,0.50,2.40,1.49,2.50,1.54,2.25,3.50,1.61,2.10,6.50,0,2
44,2.70,1.67,8.00,1.10,18.0,0.50,2.35,1.51,2.50,1.53,2.30,3.50,1.58,2.15,6.50,0,2
45,2.70,1.67,8.00,1.09,18.0,0.50,2.30,1.52,2.50,1.51,2.35,3.50,1.56,2.20,6.50,0,2
46,2.70,1.67,8.00,1.09,19.0,0.50,2.25,1.54,2.50,1.50,2.40,3.50,1.54,2.25,7.00,0,2
47,2.70,1.67,8.00,1.08,19.0,0.50,2.20,1.56,2.50,1.49,2.40,3.50,1.52,2.35,7.00,0,2
