min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.96,1.96,8.00,2.50,2.50,1.50,1.34,2.60,1.50,1.34,2.60,1,1,1,2.95,0,0
5,1.96,1.96,8.00,2.50,2.50,1.50,1.34,2.60,1.50,1.34,2.60,1,1,1,2.95,0,0
6,1.96,1.96,8.00,2.55,2.55,1.50,1.33,2.65,1.50,1.33,2.65,1,1,1,2.90,0,0
7,1.97,1.97,8.00,2.55,2.55,1.50,1.32,2.70,1.50,1.32,2.70,1,1,1,2.90,0,0
8,1.98,1.98,7.50,2.55,2.55,1.50,1.31,2.70,1.50,1.31,2.70,1,1,1,2.90,0,0
9,1.98,1.98,7.50,2.55,2.55,1.50,1.31,2.75,1.50,1.31,2.75,1,1,1,2.90,0,0
10,1.98,1.98,7.50,1.48,5.50,0.50,2.50,1.37,1.50,2.05,1.53,1,1,1,3.35,0,1
11,1.98,1.98,7.50,3.15,2.35,1.50,2.45,1.38,1.50,2.00,1.54,3.50,1.96,1.58,2.60,1,1
12,1.98,1.98,7.50,2.95,2.25,2.50,1.34,2.60,1.50,2.45,1.39,4.50,1.40,2.40,2.85,1,1
13,1.98,1.98,7.50,2.60,2.60,1.50,2.65,1.33,1.50,2.65,1.33,4.50,1.40,2.40,2.80,1,1
14,1.98,1.98,7.50,2.60,2.60,1.50,2.60,1.34,1.50,2.60,1.34,3.50,2.40,1.40,2.80,1,1
15,1.98,1.98,7.50,2.60,2.60,1.50,2.60,1.35,1.50,2.60,1.35,3.50,2.35,1.41,2.80,1,1
16,1.98,1.98,7.50,2.60,2.60,1.50,2.55,1.36,1.50,2.55,1.36,3.50,2.30,1.43,2.75,1,1
17,1.98,1.98,7.50,2.60,2.60,1.50,2.50,1.37,1.50,2.50,1.37,3.50,2.25,1.44,2.75,1,1
18,1.98,1.98,7.50,2.60,2.60,1.50,2.45,1.38,1.50,2.45,1.38,3.50,2.20,1.46,2.70,1,1
19,1.98,1.98,7.50,2.60,2.60,1.50,2.45,1.39,1.50,2.45,1.39,3.50,2.15,1.47,2.70,1,1
20,1.98,1.98,7.50,2.65,2.65,1.50,2.40,1.40,1.50,2.40,1.40,3.50,2.10,1.49,2.70,1,1
21,1.98,1.98,7.50,2.65,2.65,1.50,2.35,1.41,1.50,2.35,1.41,3.50,2.10,1.51,2.65,1,1
22,1.98,1.98,7.50,2.65,2.65,1.50,2.35,1.42,1.50,2.35,1.42,3.50,2.05,1.52,2.65,1,1
23,1.98,1.98,7.50,2.65,2.65,1.50,2.30,1.43,1.50,2.30,1.43,3.50,2.00,1.55,2.60,1,1
24,1.98,1.98,7.50,2.70,2.70,1.50,2.25,1.44,1.50,2.25,1.44,3.50,1.99,1.56,2.60,1,1
25,1.98,1.98,7.50,2.70,2.70,1.50,2.25,1.45,1.50,2.25,1.45,3.50,1.95,1.59,2.55,1,1
26,1.98,1.98,7.50,2.70,2.70,1.50,2.20,1.46,1.50,2.20,1.46,3.50,1.92,1.60,2.55,1,1
27,1.98,1.98,7.50,2.70,2.70,1.50,2.20,1.47,1.50,2.20,1.47,3.50,1.88,1.63,2.55,1,1
28,1.98,1.98,7.50,2.70,2.70,1.50,2.15,1.48,1.50,2.15,1.48,3.50,1.84,1.66,2.50,1,1
29,1.98,1.98,7.50,2.75,2.75,1.50,2.10,1.49,1.50,2.10,1.49,3.50,1.81,1.68,2.50,1,1
30,1.98,1.98,7.50,2.75,2.75,1.50,2.10,1.51,1.50,2.10,1.51,3.50,1.78,1.71,2.45,1,1
31,1.98,1.98,7.50,2.75,2.75,1.50,2.05,1.52,1.50,2.05,1.52,3.50,1.75,1.73,2.45,1,1
32,1.98,1.98,7.50,2.80,2.80,1.50,2.00,1.54,1.50,2.00,1.54,3.50,1.72,1.76,2.40,1,1
33,1.98,1.98,7.50,2.80,2.80,1.50,2.00,1.55,1.50,2.00,1.55,3.50,1.70,1.79,2.40,1,1
34,1.98,1.98,7.50,2.80,2.80,1.50,1.99,1.56,1.50,1.99,1.56,3.50,1.67,1.83,2.40,1,1
35,1.98,1.98,7.50,2.80,2.80,1.50,1.96,1.58,1.50,1.96,1.58,3.50,1.64,1.86,2.35,1,1
36,1.98,1.98,7.50,2.85,2.85,1.50,1.93,1.60,1.50,1.93,1.60,3.50,1.61,1.90,2.35,1,1
37,1.98,1.98,7.50,2.85,2.85,1.50,1.90,1.61,1.50,1.90,1.61,3.50,1.59,1.94,2.30,1,1
38,1.98,1.98,7.50,2.85,2.85,1.50,1.87,1.63,1.50,1.87,1.63,3.50,1.56,1.99,2.30,1,1
39,1.98,1.98,7.50,2.90,2.90,1.50,1.85,1.65,1.50,1.85,1.65,3.50,1.54,2.00,2.25,1,1
40,1.98,1.98,7.50,2.90,2.90,1.50,1.82,1.67,1.50,1.82,1.67,3.50,1.52,2.05,2.25,1,1
41,1.98,1.98,7.50,2.90,2.90,1.50,1.79,1.70,1.50,1.79,1.70,3.50,1.50,2.10,2.20,1,1
42,1.98,1.98,7.50,2.90,2.90,1.50,1.77,1.72,1.50,1.77,1.72,3.50,1.48,2.15,2.20,1,1
43,1.98,1.98,7.50,2.95,2.95,1.50,1.75,1.74,1.50,1.75,1.74,3.50,1.46,2.20,2.15,1,1
44,1.98,1.98,7.50,2.95,2.95,1.50,1.72,1.76,1.50,1.72,1.76,3.50,1.44,2.30,2.15,1,1
45,1.98,1.98,7.50,3.00,3.00,1.50,1.70,1.79,1.50,1.70,1.79,3.50,1.42,2.30,2.10,1,1
46,1.98,1.98,7.50,3.00,3.00,1.50,1.67,1.82,1.50,1.67,1.82,3.50,1.40,2.40,2.10,1,1
47,1.98,1.98,7.50,3.05,3.05,1.50,1.65,1.85,1.50,1.65,1.85,3.50,1.38,2.45,2.05,1,1
48,1.98,1.98,7.50,3.05,3.05,1.50,1.63,1.88,1.50,1.63,1.88,3.50,1.37,2.50,2.00,1,1
49,1.98,1.98,7.50,3.10,3.10,1.50,1.61,1.91,1.50,1.61,1.91,3.50,1.35,2.60,2.00,1,1
50,1.98,1.98,7.50,3.10,3.10,1.50,1.59,1.94,1.50,1.59,1.94,3.50,1.33,2.65,2.00,1,1
51,1.98,1.98,7.50,3.15,3.15,1.50,1.57,1.98,1.50,1.57,1.98,3.50,1.31,2.70,1.97,1,1
52,1.98,1.98,7.50,3.20,3.20,1.50,1.55,2.00,1.50,1.55,2.00,1,1,1,1.94,1,1
53,1.98,1.98,7.50,3.20,3.20,1.50,1.53,2.05,1.50,1.53,2.05,1,1,1,1.92,1,1
54,1.98,1.98,7.50,3.10,3.10,1.50,1.61,1.90,1.50,1.61,1.90,3.50,1.35,2.55,2.00,1,1
55,1.98,1.98,7.50,3.10,3.10,1.50,1.59,1.94,1.50,1.59,1.94,3.50,1.33,2.65,2.00,1,1
56,1.98,1.98,7.50,3.15,3.15,1.50,1.57,1.98,1.50,1.57,1.98,3.50,1.31,2.75,1.97,1,1
57,1.98,1.98,7.50,3.20,3.20,1.50,1.55,2.00,1.50,1.55,2.00,1,1,1,1.94,1,1
58,1.98,1.98,7.50,3.20,3.20,1.50,1.52,2.05,1.50,1.52,2.05,1,1,1,1.91,1,1
59,1.98,1.98,7.50,3.25,3.25,1.50,1.50,2.10,1.50,1.50,2.10,1,1,1,1.88,1,1
60,1.98,1.98,7.50,3.30,3.30,1.50,1.48,2.15,1.50,1.48,2.15,1,1,1,1.85,1,1
61,1.98,1.98,7.50,3.30,3.30,1.50,1.46,2.20,1.50,1.46,2.20,1,1,1,1.81,1,1
62,1.98,1.98,7.50,3.35,3.35,1.50,1.45,2.25,1.50,1.45,2.25,1,1,1,1.79,1,1
63,1.98,1.98,7.50,3.40,3.40,1.50,1.43,2.30,1.50,1.43,2.30,1,1,1,1.75,1,1
64,1.98,1.98,7.50,3.50,3.50,1.50,1.41,2.35,1.50,1.41,2.35,1,1,1,1.73,1,1
65,1.98,1.98,7.50,3.50,3.50,1.50,1.39,2.40,1.50,1.39,2.40,1,1,1,1.69,1,1
66,1.98,1.98,7.50,3.60,3.60,1.50,1.37,2.50,1.50,1.37,2.50,1,1,1,1.66,1,1
67,1.98,1.98,7.50,3.65,3.65,1.50,1.35,2.55,1.50,1.35,2.55,1,1,1,1.64,1,1
68,1.98,1.98,7.50,3.70,3.70,1.50,1.34,2.60,1.50,1.34,2.60,1,1,1,1.61,1,1
69,1.98,1.98,7.50,3.80,3.80,1.50,1.32,2.70,1.50,1.32,2.70,1,1,1,1.58,1,1
70,1.98,1.98,7.50,3.85,3.85,1.50,1.30,2.80,1.50,1.30,2.80,1,1,1,1.55,1,1
71,1.98,1.98,7.50,3.95,3.95,1.50,1.28,2.90,1.50,1.28,2.90,1,1,1,1.53,1,1
72,1.98,1.98,7.50,4.10,4.10,1.50,1.26,3.00,1.50,1.26,3.00,1,1,1,1.50,1,1
73,1.98,1.98,7.50,4.20,4.20,1.50,1.24,3.10,1.50,1.24,3.10,1,1,1,1.48,1,1
74,1.98,1.98,7.50,4.30,4.30,1.50,1.22,3.20,1.50,1.22,3.20,1,1,1,1.45,1,1
75,1.98,1.98,7.50,4.45,4.45,1.50,1.20,3.30,1.50,1.20,3.30,1,1,1,1.43,1,1
