min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.92,10.0,2.65,2.50,1.50,1.51,2.20,1.50,1.47,2.30,1,1,1,3.00,0,0
2,2.00,1.92,10.0,2.65,2.50,1.50,1.51,2.20,1.50,1.47,2.30,1,1,1,3.00,0,0
3,2.00,1.92,10.0,2.65,2.50,1.50,1.51,2.20,1.50,1.47,2.30,1,1,1,3.00,0,0
4,2.00,1.92,10.0,2.65,2.50,1.50,1.51,2.20,1.50,1.47,2.30,1,1,1,3.00,0,0
5,2.00,1.92,10.0,2.65,2.50,1.50,1.51,2.20,1.50,1.47,2.30,1,1,1,3.00,0,0
6,2.00,1.93,9.50,2.65,2.50,1.50,1.50,2.25,1.50,1.46,2.35,1,1,1,3.00,0,0
7,2.00,1.93,9.50,2.70,2.50,1.50,1.49,2.25,1.50,1.45,2.40,1,1,1,3.00,0,0
8,2.00,1.94,9.00,2.70,2.50,1.50,1.48,2.30,1.50,1.44,2.40,1,1,1,3.00,0,0
9,2.00,1.94,9.00,2.70,2.50,1.50,1.46,2.35,1.50,1.43,2.45,1,1,1,2.95,0,0
10,2.00,1.95,9.00,2.70,2.50,1.50,1.45,2.40,1.50,1.42,2.50,1,1,1,2.95,0,0
11,2.00,1.95,8.50,2.70,2.55,1.50,1.44,2.40,1.50,1.41,2.50,1,1,1,2.95,0,0
12,2.00,1.96,8.50,2.70,2.55,1.50,1.43,2.45,1.50,1.40,2.55,1,1,1,2.90,0,0
13,2.00,1.97,8.00,2.70,2.55,1.50,1.42,2.50,1.50,1.39,2.60,1,1,1,2.90,0,0
14,2.00,1.97,8.00,2.70,2.55,1.50,1.41,2.50,1.50,1.38,2.65,1,1,1,2.90,0,0
15,2.05,1.98,8.00,2.70,2.55,1.50,1.40,2.55,1.50,1.37,2.70,1,1,1,2.90,0,0
16,2.05,1.98,8.00,2.70,2.55,1.50,1.39,2.60,1.50,1.36,2.70,1,1,1,2.85,0,0
17,2.05,1.99,7.50,2.75,2.60,1.50,1.38,2.65,1.50,1.35,2.75,1,1,1,2.85,0,0
18,2.05,2.00,7.50,2.75,2.60,1.50,1.37,2.70,1.50,1.34,2.80,1,1,1,2.80,0,0
19,2.05,2.00,7.00,2.75,2.60,1.50,1.36,2.70,0.50,2.85,1.33,1,1,1,2.80,0,0
20,2.05,2.00,7.00,2.75,2.60,1.50,1.35,2.75,0.50,2.80,1.34,1,1,1,2.80,0,0
21,2.10,2.00,7.00,2.80,2.60,1.50,1.34,2.80,0.50,2.75,1.35,1,1,1,2.80,0,0
22,2.10,2.00,6.50,2.80,2.65,0.50,2.80,1.34,0.50,2.70,1.36,1,1,1,2.75,0,0
23,2.10,2.10,6.00,2.75,2.75,0.50,2.55,1.40,0.50,2.55,1.40,1.50,2.20,1.50,2.65,0,0
24,2.10,2.10,5.50,2.80,2.80,0.50,2.50,1.41,0.50,2.50,1.41,1.50,2.20,1.52,2.65,0,0
25,2.10,2.10,5.50,2.75,2.75,0.50,2.50,1.42,0.50,2.50,1.42,1.50,2.15,1.54,2.60,0,0
26,2.10,2.10,5.00,2.80,2.80,0.50,2.45,1.43,0.50,2.45,1.43,1.50,2.10,1.56,2.60,0,0
27,2.15,2.15,5.00,2.80,2.80,0.50,2.40,1.44,0.50,2.40,1.44,1.50,2.05,1.58,2.55,0,0
28,2.15,2.15,5.00,2.80,2.80,0.50,2.40,1.45,0.50,2.40,1.45,1.50,2.00,1.60,2.55,0,0
29,2.15,2.15,5.00,2.80,2.80,0.50,2.35,1.46,0.50,2.35,1.46,1.50,1.99,1.62,2.55,0,0
30,2.20,2.20,5.00,2.80,2.80,0.50,2.30,1.47,0.50,2.30,1.47,1.50,1.95,1.65,2.50,0,0
31,2.20,2.20,4.90,2.85,2.85,0.50,2.25,1.49,0.50,2.25,1.49,1.50,1.91,1.67,2.50,0,0
32,2.20,2.20,4.75,2.85,2.85,0.50,2.25,1.50,0.50,2.25,1.50,1.50,1.87,1.70,2.45,0,0
33,2.20,2.20,4.65,2.85,2.85,0.50,2.20,1.51,0.50,2.20,1.51,1.50,1.84,1.73,2.45,0,0
34,1.62,3.10,5.00,1.81,4.90,0.50,1.75,1.81,1.50,1.43,2.45,1.50,2.05,1.58,2.70,0,0
35,1.63,3.10,5.00,1.83,4.90,0.50,1.73,1.84,1.50,1.42,2.50,1.50,2.00,1.60,2.70,0,0
36,1.63,3.10,5.00,1.84,4.90,0.50,1.71,1.86,1.50,1.40,2.55,1.50,1.98,1.63,2.65,0,0
37,1.64,3.15,4.95,1.85,4.95,0.50,1.69,1.89,1.50,1.39,2.60,1.50,1.94,1.66,2.65,0,0
38,1.54,3.55,5.00,1.67,6.00,0.50,1.57,2.05,1.50,1.46,2.35,1.50,1.98,1.63,2.75,0,0
39,1.55,3.55,4.95,1.68,6.00,0.50,1.56,2.10,1.50,1.44,2.40,1.50,1.94,1.66,2.75,0,0
40,1.55,3.60,4.80,1.69,6.00,0.50,1.54,2.10,1.50,1.43,2.45,1.50,1.89,1.69,2.70,0,0
41,1.56,3.60,4.65,1.70,6.00,0.50,1.53,2.15,1.50,1.41,2.50,1.50,1.85,1.72,2.70,0,0
42,1.57,3.60,4.55,1.72,6.00,0.50,1.52,2.20,1.50,1.40,2.60,1.50,1.81,1.75,2.65,0,0
43,1.58,3.65,4.40,1.73,6.00,0.50,1.51,2.20,1.50,1.38,2.60,1.50,1.78,1.79,2.60,0,0
44,1.59,3.65,4.30,1.75,6.00,0.50,1.49,2.25,1.50,1.37,2.70,1.50,1.74,1.82,2.60,0,0
45,1.55,3.80,4.50,1.67,6.50,0.50,1.48,2.30,1.50,1.41,2.50,1.50,1.80,1.77,2.65,0,0
46,1.56,3.80,4.35,1.69,6.50,0.50,1.47,2.30,1.50,1.39,2.60,1.50,1.76,1.81,2.60,0,0
47,1.60,4.10,3.80,1.73,7.00,0.50,1.39,2.60,0.50,2.80,1.34,1.50,1.59,2.00,2.50,0,0
48,1.61,4.10,3.70,1.76,7.00,0.50,1.38,2.65,0.50,2.75,1.36,1.50,1.57,2.10,2.45,0,0
49,1.63,4.15,3.60,1.78,7.00,0.50,1.37,2.70,0.50,2.65,1.37,1.50,1.54,2.15,2.40,0,0
50,1.64,4.20,3.50,1.79,7.00,0.50,1.36,2.70,0.50,2.60,1.39,1.50,1.51,2.20,2.35,0,0
51,1.66,4.25,3.40,1.82,7.00,0.50,1.35,2.80,0.50,2.55,1.40,1.50,1.49,2.25,2.30,0,0
52,1.68,4.30,3.30,1.84,7.00,0.50,1.34,2.80,0.50,2.50,1.42,1.50,1.46,2.35,2.30,0,0
53,1.70,4.35,3.20,1.86,7.00,0.50,1.32,2.90,0.50,2.40,1.44,1.50,1.44,2.40,2.25,0,0
54,1.72,4.40,3.10,1.88,7.00,0.50,1.31,2.95,0.50,2.35,1.46,1.50,1.42,2.50,2.20,0,0
55,1.74,4.45,3.05,4.50,1.99,1.50,1.24,3.30,0.50,2.50,1.42,1,1,1,2.55,1,0
56,1.74,4.45,3.05,4.60,1.97,1.50,1.23,3.35,0.50,2.40,1.44,1,1,1,2.55,1,0
57,1.74,4.45,3.05,4.75,1.92,1.50,1.22,3.45,0.50,2.35,1.46,1,1,1,2.55,1,0
58,1.74,4.45,3.05,2.05,6.00,1.50,1.35,2.80,1.50,2.15,1.54,3.50,1.39,2.60,2.10,1,1
59,1.74,4.45,3.05,2.10,6.00,1.50,1.33,2.85,1.50,2.10,1.56,3.50,1.37,2.70,2.05,1,1
60,1.74,4.45,3.05,2.15,6.00,1.50,1.32,2.90,1.50,2.05,1.59,3.50,1.34,2.80,2.00,1,1
