min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,2.05,2.05,6.00,2.70,2.70,0.50,2.60,1.39,0.50,2.60,1.39,1.50,2.30,1.47,2.80,0,0
4,2.05,2.05,6.00,2.70,2.70,0.50,2.60,1.39,0.50,2.60,1.39,1.50,2.30,1.47,2.80,0,0
5,2.05,2.05,6.00,2.70,2.70,0.50,2.60,1.39,0.50,2.60,1.39,1.50,2.30,1.47,2.80,0,0
6,2.05,2.05,6.00,2.70,2.70,0.50,2.55,1.40,0.50,2.55,1.40,1.50,2.30,1.48,2.80,0,0
7,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.41,0.50,2.50,1.41,1.50,2.25,1.50,2.80,0,0
8,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.42,0.50,2.50,1.42,1.50,2.20,1.52,2.75,0,0
9,2.10,2.10,6.00,2.70,2.70,0.50,2.45,1.43,0.50,2.45,1.43,1.50,2.15,1.53,2.75,0,0
10,2.10,2.10,5.50,2.70,2.70,0.50,2.45,1.43,0.50,2.45,1.43,1.50,2.10,1.54,2.70,0,0
11,2.10,2.10,5.50,2.70,2.70,0.50,2.40,1.44,0.50,2.40,1.44,1.50,2.10,1.56,2.70,0,0
12,2.10,2.10,5.50,2.70,2.70,0.50,2.40,1.45,0.50,2.40,1.45,1.50,2.05,1.58,2.70,0,0
13,2.15,2.15,5.00,2.70,2.70,0.50,2.35,1.46,0.50,2.35,1.46,1.50,2.00,1.59,2.65,0,0
14,2.15,2.15,5.00,1.40,7.50,0.50,2.30,1.47,1.50,2.30,1.47,1,1,1,3.70,0,1
15,2.15,2.15,5.00,1.40,7.50,0.50,2.30,1.48,1.50,2.30,1.48,1,1,1,3.65,0,1
16,2.15,2.15,5.00,1.39,8.00,0.50,2.25,1.49,1.50,2.25,1.49,1,1,1,3.65,0,1
17,2.15,2.15,5.00,1.39,8.00,0.50,2.25,1.50,1.50,2.25,1.50,1,1,1,3.65,0,1
18,2.15,2.15,5.00,1.38,8.00,0.50,2.20,1.51,1.50,2.20,1.51,1,1,1,3.65,0,1
19,2.15,2.15,5.00,1.38,8.00,0.50,2.20,1.52,1.50,2.20,1.52,1,1,1,3.65,0,1
20,2.15,2.15,5.00,1.38,8.00,0.50,2.15,1.53,1.50,2.15,1.53,1,1,1,3.65,0,1
21,2.15,2.15,5.00,1.38,8.00,0.50,2.10,1.54,1.50,2.10,1.54,1,1,1,3.65,0,1
22,2.15,2.15,5.00,1.37,8.50,0.50,2.10,1.56,1.50,2.10,1.56,1,1,1,3.65,0,1
23,2.15,2.15,5.00,1.38,8.50,0.50,2.05,1.57,1.50,2.05,1.57,1,1,1,3.65,0,1
24,2.15,2.15,5.00,1.37,8.50,0.50,2.05,1.58,1.50,2.05,1.58,1,1,1,3.65,0,1
25,2.15,2.15,5.00,1.37,9.00,0.50,2.00,1.60,1.50,2.00,1.60,1,1,1,3.65,0,1
26,2.15,2.15,5.00,1.37,9.00,0.50,2.00,1.61,1.50,2.00,1.61,1,1,1,3.65,0,1
27,2.15,2.15,5.00,1.36,9.00,0.50,1.99,1.62,1.50,1.99,1.62,1,1,1,3.65,0,1
28,2.15,2.15,5.00,1.36,9.50,0.50,1.96,1.64,1.50,1.96,1.64,1,1,1,3.65,0,1
29,2.15,2.15,5.00,1.36,9.50,0.50,1.94,1.66,1.50,1.94,1.66,1,1,1,3.65,0,1
30,2.15,2.15,5.00,1.35,9.50,0.50,1.91,1.67,1.50,1.91,1.67,1,1,1,3.65,0,1
31,2.15,2.15,5.00,1.35,10.0,0.50,1.89,1.69,1.50,1.89,1.69,1,1,1,3.65,0,1
32,2.15,2.15,5.00,1.34,10.0,0.50,1.86,1.71,1.50,1.86,1.71,1,1,1,3.65,0,1
33,2.15,2.15,5.00,1.34,10.0,0.50,1.84,1.73,1.50,1.84,1.73,1,1,1,3.65,0,1
34,2.15,2.15,5.00,1.34,10.5,0.50,1.82,1.75,1.50,1.82,1.75,1,1,1,3.65,0,1
35,2.15,2.15,5.00,1.34,10.5,0.50,1.80,1.77,1.50,1.80,1.77,1,1,1,3.65,0,1
36,2.15,2.15,5.00,1.33,10.5,0.50,1.77,1.79,1.50,1.77,1.79,1,1,1,3.65,0,1
37,2.15,2.15,5.00,1.32,11.0,0.50,1.75,1.82,1.50,1.75,1.82,1,1,1,3.65,0,1
38,2.15,2.15,5.00,1.32,11.0,0.50,1.73,1.84,1.50,1.73,1.84,1,1,1,3.65,0,1
39,2.15,2.15,5.00,1.32,11.5,0.50,1.71,1.87,1.50,1.71,1.87,1,1,1,3.65,0,1
40,2.15,2.15,5.00,1.32,11.5,0.50,1.69,1.89,1.50,1.69,1.89,1,1,1,3.65,0,1
41,2.15,2.15,5.00,1.31,12.0,0.50,1.67,1.92,1.50,1.67,1.92,1,1,1,3.70,0,1
42,2.15,2.15,5.00,1.31,12.0,0.50,1.65,1.95,1.50,1.65,1.95,1,1,1,3.70,0,1
43,2.15,2.15,5.00,1.31,12.0,0.50,1.63,1.97,1.50,1.63,1.97,1,1,1,3.70,0,1
44,2.15,2.15,5.00,1.30,12.0,0.50,1.62,2.00,1.50,1.62,2.00,1,1,1,3.70,0,1
45,2.15,2.15,5.00,1.30,13.0,0.50,1.60,2.00,1.50,1.60,2.00,1,1,1,3.70,0,1
46,2.15,2.15,5.00,1.29,13.0,0.50,1.58,2.05,1.50,1.58,2.05,1,1,1,3.70,0,1
47,2.15,2.15,5.00,1.29,13.0,0.50,1.56,2.10,1.50,1.56,2.10,1.50,2.75,1.35,3.75,0,1
48,2.15,2.15,5.00,1.28,13.0,0.50,1.54,2.10,1.50,1.54,2.10,1.50,2.70,1.36,3.75,0,1
49,2.15,2.15,5.00,1.27,14.0,0.50,1.53,2.15,1.50,1.53,2.15,1.50,2.65,1.38,3.75,0,1
50,2.15,2.15,5.00,1.27,14.0,0.50,1.51,2.20,1.50,1.51,2.20,1.50,2.60,1.39,3.80,0,1
51,2.15,2.15,5.00,1.26,15.0,0.50,1.50,2.25,1.50,1.50,2.25,1.50,2.55,1.41,3.80,0,1
52,2.15,2.15,5.00,1.26,15.0,0.50,1.48,2.30,1.50,1.48,2.30,1.50,2.50,1.42,3.80,0,1
53,2.15,2.15,5.00,1.25,15.0,0.50,1.47,2.30,1.50,1.47,2.30,1.50,2.40,1.44,3.80,0,1
54,2.15,2.15,5.00,1.25,16.0,0.50,1.45,2.40,1.50,1.45,2.40,1.50,2.35,1.46,3.85,0,1
55,2.15,2.15,5.00,1.24,16.0,0.50,1.44,2.40,1.50,1.44,2.40,1.50,2.30,1.48,3.85,0,1
56,2.15,2.15,5.00,1.23,17.0,0.50,1.42,2.50,1.50,1.42,2.50,1.50,2.25,1.50,3.90,0,1
57,2.15,2.15,5.00,1.23,17.0,0.50,1.41,2.50,1.50,1.41,2.50,1.50,2.20,1.52,3.90,0,1
58,2.15,2.15,5.00,1.22,18.0,0.50,1.40,2.60,1.50,1.40,2.60,1.50,2.15,1.54,3.95,0,1
59,2.15,2.15,5.00,1.22,19.0,0.50,1.38,2.60,1.50,1.38,2.60,1.50,2.10,1.56,3.95,0,1
60,2.15,2.15,5.00,1.21,19.0,0.50,1.37,2.70,1.50,1.37,2.70,1.50,2.00,1.59,4.00,0,1
61,2.15,2.15,5.00,1.20,20.0,0.50,1.36,2.75,1.50,1.36,2.75,1.50,2.00,1.61,4.00,0,1
