min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.84,2.15,8.50,2.30,3.00,1.50,1.34,2.80,1.50,1.47,2.30,1,1,1,2.95,0,0
2,1.84,2.15,8.50,2.30,3.00,1.50,1.34,2.80,1.50,1.47,2.30,1,1,1,2.95,0,0
3,1.84,2.15,8.50,2.30,3.00,1.50,1.34,2.80,1.50,1.47,2.30,1,1,1,2.95,0,0
4,1.84,2.15,8.50,2.30,3.00,1.50,1.34,2.80,1.50,1.47,2.30,1,1,1,2.95,0,0
5,1.84,2.15,8.50,2.30,3.00,1.50,1.34,2.80,1.50,1.47,2.30,1,1,1,2.95,0,0
6,1.84,2.20,8.00,5.00,1.57,1.50,2.80,1.34,1.50,1.46,2.35,3.50,1.59,2.00,3.45,1,0
7,1.84,2.20,8.00,4.80,1.57,2.50,1.39,2.60,1.50,1.53,2.15,3.50,1.71,1.86,3.50,1,0
8,1.84,2.20,8.00,4.85,1.57,2.50,1.38,2.65,1.50,1.51,2.20,3.50,1.69,1.89,3.50,1,0
9,1.84,2.20,8.00,4.90,1.57,2.50,1.37,2.70,1.50,1.50,2.25,3.50,1.67,1.92,3.50,1,0
10,1.84,2.20,8.00,4.95,1.56,2.50,1.36,2.70,1.50,1.49,2.25,3.50,1.64,1.96,3.45,1,0
11,1.84,2.20,8.00,5.00,1.56,2.50,1.35,2.75,1.50,1.48,2.30,3.50,1.62,1.99,3.45,1,0
12,1.84,2.20,8.00,5.00,1.56,2.50,1.34,2.80,1.50,1.46,2.35,3.50,1.60,2.00,3.45,1,0
13,1.84,2.20,8.00,5.00,1.56,1.50,2.80,1.34,1.50,1.45,2.40,3.50,1.58,2.05,3.45,1,0
14,1.84,2.20,8.00,5.00,1.55,1.50,2.80,1.34,1.50,1.44,2.40,3.50,1.56,2.10,3.45,1,0
15,1.84,2.20,8.00,5.00,1.55,1.50,2.75,1.35,1.50,1.43,2.45,3.50,1.54,2.10,3.45,1,0
16,1.84,2.20,8.00,5.00,1.54,1.50,2.70,1.36,1.50,1.42,2.50,3.50,1.53,2.15,3.40,1,0
17,1.84,2.20,8.00,5.00,1.55,1.50,2.70,1.37,1.50,1.41,2.50,3.50,1.51,2.20,3.40,1,0
18,1.84,2.20,8.00,5.00,1.54,1.50,2.65,1.38,1.50,1.40,2.55,3.50,1.49,2.25,3.40,1,0
19,1.84,2.20,8.00,5.00,1.59,1.50,2.50,1.42,1.50,1.42,2.50,3.50,1.47,2.30,3.30,1,0
20,1.84,2.20,8.00,5.00,1.58,1.50,2.45,1.43,1.50,1.40,2.55,3.50,1.45,2.40,3.30,1,0
21,1.84,2.20,8.00,5.00,1.58,1.50,2.40,1.44,1.50,1.39,2.60,3.50,1.44,2.40,3.30,1,0
22,1.84,2.20,8.00,5.00,1.58,1.50,2.40,1.45,1.50,1.38,2.60,3.50,1.42,2.50,3.30,1,0
23,1.84,2.20,8.00,5.00,1.57,1.50,2.35,1.46,1.50,1.37,2.70,1,1,1,3.30,1,0
24,1.84,2.20,8.00,5.00,1.57,1.50,2.30,1.47,1.50,1.36,2.70,1,1,1,3.30,1,0
25,1.84,2.20,8.00,5.00,1.57,1.50,2.30,1.48,1.50,1.35,2.75,1,1,1,3.30,1,0
26,1.84,2.20,8.00,5.50,1.57,1.50,2.25,1.49,1.50,1.34,2.80,1,1,1,3.30,1,0
27,1.84,2.20,8.00,5.50,1.56,1.50,2.20,1.50,0.50,2.80,1.34,1,1,1,3.25,1,0
28,1.84,2.20,8.00,5.50,1.55,1.50,2.20,1.52,0.50,2.80,1.35,1,1,1,3.25,1,0
29,1.84,2.20,8.00,5.50,1.55,1.50,2.15,1.53,0.50,2.75,1.36,1,1,1,3.25,1,0
30,1.84,2.20,8.00,6.00,1.55,1.50,2.10,1.54,0.50,2.70,1.37,1,1,1,3.25,1,0
31,1.84,2.20,8.00,6.00,1.54,1.50,2.10,1.55,0.50,2.65,1.38,1,1,1,3.25,1,0
32,1.84,2.20,8.00,6.00,1.53,1.50,2.05,1.57,0.50,2.60,1.39,1,1,1,3.25,1,0
33,1.84,2.20,8.00,5.00,1.62,1.50,1.84,1.73,0.50,2.65,1.38,1,1,1,3.10,1,0
34,1.84,2.20,8.00,5.00,1.62,1.50,1.82,1.75,0.50,2.60,1.39,1,1,1,3.05,1,0
35,1.84,2.20,8.00,5.50,1.61,1.50,1.80,1.77,0.50,2.55,1.40,1,1,1,3.05,1,0
36,1.84,2.20,8.00,5.50,1.59,1.50,1.77,1.79,0.50,2.50,1.42,1,1,1,3.05,1,0
37,1.84,2.20,8.00,17.0,1.07,2.50,1.75,1.82,0.50,2.45,1.43,3.50,1.78,1.79,6.50,2,0
38,1.84,2.20,8.00,18.0,1.07,2.50,1.73,1.84,0.50,2.40,1.44,3.50,1.74,1.82,6.50,2,0
39,1.84,2.20,8.00,18.0,1.07,2.50,1.71,1.87,0.50,2.40,1.45,3.50,1.71,1.86,6.50,2,0
40,1.84,2.20,8.00,19.0,1.07,2.50,1.69,1.89,0.50,2.30,1.47,3.50,1.68,1.90,6.50,2,0
41,1.84,2.20,8.00,20.0,1.06,2.50,1.67,1.92,0.50,2.30,1.48,3.50,1.65,1.94,7.00,2,0
42,1.84,2.20,8.00,20.0,1.06,2.50,1.65,1.95,0.50,2.25,1.50,3.50,1.63,1.98,7.00,2,0
43,1.84,2.20,8.00,21.0,1.06,2.50,1.63,1.97,0.50,2.20,1.51,3.50,1.60,2.00,7.00,2,0
44,1.84,2.20,8.00,22.0,1.05,2.50,1.62,2.00,0.50,2.15,1.53,3.50,1.58,2.05,7.00,2,0
45,1.84,2.20,8.00,19.0,1.02,2.50,1.52,2.05,0.50,2.00,1.54,3.50,1.48,2.15,8.00,2,0
46,1.84,2.20,8.00,20.0,1.02,2.50,1.51,2.10,0.50,2.00,1.56,3.50,1.46,2.20,8.00,2,0
47,1.84,2.20,8.00,20.0,1.02,2.50,1.49,2.10,0.50,1.97,1.57,3.50,1.44,2.30,8.50,2,0
48,1.84,2.20,8.00,21.0,1.01,2.50,1.48,2.15,0.50,1.93,1.60,3.50,1.41,2.35,8.50,2,0
49,1.84,2.20,8.00,21.0,1.01,2.50,1.46,2.20,0.50,1.89,1.62,3.50,1.39,2.40,9.00,2,0
50,1.84,2.20,8.00,22.0,1.01,2.50,1.45,2.25,0.50,1.85,1.65,3.50,1.37,2.50,9.00,2,0
51,1.84,2.20,8.00,23.0,1.01,2.50,1.43,2.30,0.50,1.82,1.67,3.50,1.36,2.55,9.00,2,0
52,1.84,2.20,8.00,23.0,1.01,2.50,1.42,2.30,0.50,1.79,1.70,3.50,1.34,2.60,9.50,2,0
53,1.84,2.20,8.00,24.0,1.01,2.50,1.41,2.35,0.50,1.76,1.72,3.50,1.32,2.70,9.50,2,0
54,1.84,2.20,8.00,25.0,1.01,2.50,1.40,2.40,0.50,1.73,1.76,1,1,1,10.0,2,0
55,1.84,2.20,8.00,26.0,1.01,2.50,1.38,2.45,0.50,1.70,1.79,1,1,1,10.0,2,0
56,1.84,2.20,8.00,27.0,1.01,2.50,1.37,2.50,0.50,1.67,1.82,1,1,1,10.0,2,0
57,1.84,2.20,8.00,28.0,1.01,2.50,1.36,2.55,0.50,1.64,1.86,1,1,1,10.5,2,0
58,1.84,2.20,8.00,29.0,1.01,2.50,1.34,2.60,0.50,1.62,1.90,1,1,1,10.5,2,0
59,1.84,2.20,8.00,31.0,1.01,2.50,1.33,2.65,0.50,1.59,1.94,1,1,1,11.0,2,0
60,1.84,2.20,8.00,31.0,1.01,2.50,1.31,2.70,0.50,1.57,1.98,1,1,1,11.5,2,0
