min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.60,1.55,8.50,3.95,1.73,1.50,1.58,1.96,0.50,2.20,1.46,1,1,1,3.10,0,0
2,2.60,1.55,8.50,3.95,1.73,1.50,1.58,1.96,0.50,2.20,1.46,1,1,1,3.10,0,0
3,2.60,1.55,8.50,3.95,1.73,1.50,1.58,1.96,0.50,2.20,1.46,1,1,1,3.10,0,0
4,2.60,1.55,8.50,3.95,1.73,1.50,1.58,1.96,0.50,2.20,1.46,1,1,1,3.10,0,0
5,2.60,1.55,8.50,3.95,1.73,1.50,1.58,1.96,0.50,2.20,1.46,1,1,1,3.10,0,0
6,2.60,1.55,8.00,3.95,1.74,1.50,1.56,1.99,0.50,2.20,1.47,1,1,1,3.10,0,0
7,2.60,1.56,8.00,3.95,1.74,1.50,1.55,2.00,0.50,2.15,1.48,1,1,1,3.05,0,0
8,2.60,1.56,8.00,3.90,1.75,1.50,1.53,2.00,0.50,2.10,1.49,1,1,1,3.05,0,0
9,2.60,1.57,7.50,3.90,1.75,1.50,1.52,2.05,0.50,2.10,1.50,1,1,1,3.00,0,0
10,2.65,1.57,7.50,3.90,1.77,1.50,1.50,2.10,0.50,2.10,1.51,1,1,1,3.00,0,0
11,2.65,1.58,7.00,3.95,1.78,1.50,1.49,2.10,0.50,2.05,1.52,1,1,1,3.00,0,0
12,2.65,1.58,7.00,3.95,1.79,1.50,1.48,2.15,0.50,2.05,1.53,1,1,1,2.95,0,0
13,2.65,1.59,7.00,3.95,1.79,1.50,1.47,2.20,0.50,2.00,1.54,1,1,1,2.95,0,0
14,2.65,1.59,6.50,3.95,1.80,1.50,1.46,2.20,0.50,2.00,1.55,1,1,1,2.90,0,0
15,3.10,1.55,5.00,4.55,1.69,1.50,1.37,2.50,0.50,1.62,1.89,1.50,1.99,1.57,2.90,0,0
16,3.10,1.55,5.00,4.60,1.70,1.50,1.36,2.55,0.50,1.61,1.91,1.50,1.95,1.58,2.90,0,0
17,3.10,1.56,5.00,4.55,1.71,1.50,1.35,2.60,0.50,1.60,1.93,1.50,1.93,1.60,2.90,0,0
18,3.10,1.56,5.00,4.60,1.72,1.50,1.34,2.60,0.50,1.59,1.95,1.50,1.90,1.62,2.85,0,0
19,3.15,1.57,5.00,4.60,1.73,1.50,1.33,2.65,0.50,1.57,1.97,1.50,1.86,1.64,2.85,0,0
