min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.32,3.90,13.0,1.32,9.50,0.50,1.93,1.72,2.50,1.53,2.30,1,1,1,4.35,0,0
2,1.32,3.90,13.0,1.32,9.50,0.50,1.93,1.72,2.50,1.53,2.30,1,1,1,4.35,0,0
3,1.32,3.90,13.0,1.32,9.50,0.50,1.93,1.72,2.50,1.53,2.30,1,1,1,4.35,0,0
4,1.30,4.00,14.0,1.28,10.5,0.50,1.93,1.72,2.50,1.60,2.10,1,1,1,4.55,0,0
5,1.30,4.00,14.0,1.28,10.5,0.50,1.93,1.72,2.50,1.60,2.10,1,1,1,4.55,0,0
6,1.30,4.00,13.0,1.29,10.5,0.50,1.92,1.74,2.50,1.58,2.15,1,1,1,4.50,0,0
7,1.30,4.00,13.0,1.29,10.5,0.50,1.90,1.75,2.50,1.56,2.20,1,1,1,4.50,0,0
8,1.30,4.00,13.0,1.29,10.0,0.50,1.88,1.76,2.50,1.55,2.25,1,1,1,4.45,0,0
9,1.31,4.00,12.0,1.30,10.0,0.50,1.87,1.78,2.50,1.53,2.30,1,1,1,4.40,0,0
10,1.31,4.00,12.0,1.30,10.0,0.50,1.85,1.79,2.50,1.51,2.35,1,1,1,4.35,0,0
11,1.31,4.00,12.0,1.31,10.0,0.50,1.83,1.81,2.50,1.50,2.40,1,1,1,4.30,0,0
12,1.31,4.05,12.0,1.31,10.0,0.50,1.82,1.82,2.50,1.48,2.45,1,1,1,4.25,0,0
13,1.32,4.05,11.5,1.32,10.0,0.50,1.80,1.84,2.50,1.47,2.50,1,1,1,4.20,0,0
14,1.32,4.05,11.5,1.32,10.0,0.50,1.78,1.86,2.50,1.46,2.50,1,1,1,4.20,0,0
15,1.32,4.05,11.0,1.33,10.0,0.50,1.77,1.88,1.50,2.50,1.46,1,1,1,4.15,0,0
