min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.26,3.60,18.0,1.24,7.50,0.50,2.00,1.61,2.50,1.54,2.15,3.50,1.49,2.30,5.00,0,0
2,1.26,3.60,18.0,1.24,7.50,0.50,2.00,1.61,2.50,1.54,2.15,3.50,1.49,2.30,5.00,0,0
3,1.26,3.60,18.0,1.24,7.50,0.50,2.00,1.61,2.50,1.54,2.15,3.50,1.49,2.30,5.00,0,0
4,1.26,3.60,18.0,1.24,7.50,0.50,2.00,1.61,2.50,1.54,2.15,3.50,1.49,2.30,5.00,0,0
5,1.26,3.60,18.0,1.24,7.50,0.50,2.00,1.61,2.50,1.54,2.15,3.50,1.49,2.30,5.00,0,0
6,1.27,3.60,18.0,1.25,7.50,0.50,1.99,1.63,2.50,1.52,2.20,1,1,1,5.00,0,0
7,1.27,3.60,17.0,1.03,19.0,0.50,1.97,1.64,3.50,1.51,2.20,3.50,2.25,1.49,12.0,0,1
8,1.27,3.60,17.0,1.03,19.0,0.50,1.94,1.65,3.50,1.49,2.25,3.50,2.20,1.51,12.0,0,1
9,1.27,3.60,17.0,1.03,19.0,0.50,1.92,1.66,3.50,1.48,2.30,3.50,2.15,1.53,11.5,0,1
10,1.27,3.60,17.0,1.03,19.0,0.50,1.90,1.68,3.50,1.46,2.35,3.50,2.10,1.55,11.5,0,1
11,1.27,3.60,17.0,1.03,19.0,0.50,1.88,1.69,3.50,1.45,2.40,3.50,2.05,1.57,11.5,0,1
12,1.27,3.60,17.0,1.03,19.0,0.50,1.87,1.71,3.50,1.43,2.45,3.50,2.00,1.59,11.5,0,1
13,1.27,3.60,17.0,1.03,19.0,0.50,1.85,1.72,2.50,2.45,1.43,3.50,2.00,1.61,11.0,0,1
14,1.27,3.60,17.0,1.03,19.0,0.50,1.83,1.73,2.50,2.40,1.44,3.50,1.97,1.63,11.0,0,1
15,1.27,3.60,17.0,1.03,19.0,0.50,1.81,1.75,2.50,2.40,1.45,3.50,1.93,1.66,11.0,0,1
16,1.27,3.60,17.0,1.03,19.0,0.50,1.80,1.77,2.50,2.35,1.47,3.50,1.89,1.69,11.0,0,1
17,1.27,3.60,17.0,1.03,19.0,0.50,1.78,1.78,2.50,2.30,1.48,3.50,1.85,1.72,11.0,0,1
18,1.27,3.60,17.0,1.03,19.0,0.50,1.76,1.80,2.50,2.25,1.49,3.50,1.82,1.74,11.0,0,1
19,1.27,3.60,17.0,1.03,19.0,0.50,1.75,1.82,2.50,2.20,1.51,3.50,1.79,1.78,11.0,0,1
20,1.27,3.60,17.0,1.03,19.0,0.50,1.73,1.84,2.50,2.15,1.53,3.50,1.75,1.81,11.0,0,1
21,1.27,3.60,17.0,1.03,19.0,0.50,1.71,1.86,2.50,2.10,1.55,3.50,1.72,1.85,10.5,0,1
22,1.27,3.60,17.0,1.03,19.0,0.50,1.70,1.88,2.50,2.10,1.56,3.50,1.69,1.88,10.5,0,1
23,1.27,3.60,17.0,1.03,19.0,0.50,1.68,1.90,2.50,2.05,1.58,3.50,1.66,1.93,10.5,0,1
24,1.27,3.60,17.0,1.03,19.0,0.50,1.67,1.92,2.50,2.00,1.60,3.50,1.64,1.97,10.5,0,1
25,1.27,3.60,17.0,1.03,20.0,0.50,1.66,1.94,2.50,1.99,1.63,3.50,1.61,2.00,10.5,0,1
26,1.27,3.60,17.0,1.03,20.0,0.50,1.64,1.96,2.50,1.95,1.65,3.50,1.59,2.05,10.5,0,1
27,1.27,3.60,17.0,1.03,20.0,0.50,1.63,1.99,2.50,1.91,1.67,3.50,1.56,2.10,10.0,0,1
28,1.27,3.60,17.0,1.03,20.0,0.50,1.61,2.00,2.50,1.88,1.70,3.50,1.54,2.10,10.0,0,1
29,1.27,3.60,17.0,1.03,20.0,0.50,1.60,2.00,2.50,1.85,1.72,3.50,1.52,2.20,10.0,0,1
30,1.27,3.60,17.0,1.03,20.0,0.50,1.58,2.05,2.50,1.81,1.75,3.50,1.50,2.25,10.0,0,1
31,1.27,3.60,17.0,1.03,20.0,0.50,1.57,2.05,2.50,1.78,1.78,3.50,1.48,2.30,10.0,0,1
32,1.27,3.60,17.0,-,-,0.50,1.56,2.10,3.50,1.75,1.81,4.50,1.46,2.35,-,0,2
33,1.27,3.60,17.0,-,-,0.50,1.55,2.10,3.50,1.72,1.85,4.50,1.44,2.40,-,0,2
34,1.27,3.60,17.0,-,-,0.50,1.53,2.15,3.50,1.69,1.88,3.50,2.45,1.43,-,0,2
35,1.27,3.60,17.0,-,-,0.50,1.52,2.20,3.50,1.67,1.92,3.50,2.40,1.45,-,0,2
36,1.27,3.60,17.0,-,-,0.50,1.51,2.20,3.50,1.64,1.96,3.50,2.35,1.47,-,0,2
37,1.27,3.60,17.0,-,-,0.50,1.50,2.25,3.50,1.62,2.00,3.50,2.30,1.48,-,0,2
38,1.27,3.60,17.0,-,-,0.50,1.49,2.25,3.50,1.59,2.00,3.50,2.20,1.51,-,0,2
39,1.27,3.60,17.0,-,-,0.50,1.48,2.30,3.50,1.57,2.05,3.50,2.15,1.53,-,0,2
40,1.27,3.60,17.0,-,-,0.50,1.46,2.35,3.50,1.55,2.10,3.50,2.10,1.55,-,0,2
41,1.27,3.60,17.0,-,-,0.50,1.45,2.40,3.50,1.53,2.15,3.50,2.05,1.58,-,0,2
42,1.27,3.60,17.0,-,-,0.50,1.44,2.40,3.50,1.50,2.20,3.50,2.00,1.60,-,0,2
43,1.27,3.60,17.0,-,-,0.50,1.43,2.45,3.50,1.49,2.25,3.50,1.98,1.63,-,0,2
44,1.27,3.60,17.0,-,-,0.50,1.42,2.50,3.50,3.40,1.23,4.50,1.93,1.66,-,0,3
45,1.27,3.60,17.0,-,-,0.50,1.41,2.50,3.50,3.30,1.24,4.50,1.89,1.69,-,0,3
46,1.27,3.60,17.0,-,-,0.50,1.40,2.55,3.50,3.20,1.25,4.50,1.84,1.73,-,0,3
47,1.27,3.60,17.0,-,-,0.50,1.39,2.60,3.50,3.15,1.27,4.50,1.80,1.76,-,0,3
48,1.27,3.60,17.0,-,-,0.50,1.38,2.65,3.50,3.10,1.28,4.50,1.76,1.81,-,0,3
49,1.27,3.60,17.0,-,-,0.50,1.37,2.70,1,1,1,4.50,4.40,1.11,-,0,4
50,1.27,3.60,17.0,-,-,0.50,1.36,2.70,1,1,1,4.50,4.25,1.12,-,0,4
51,1.27,3.60,17.0,-,-,0.50,1.35,2.80,1,1,1,4.50,4.10,1.14,-,0,4
52,1.27,3.60,17.0,-,-,0.50,1.34,2.80,1,1,1,4.50,4.00,1.15,-,0,4
53,1.27,3.60,17.0,-,-,0.50,1.32,2.90,1,1,1,4.50,3.85,1.16,-,0,4
54,1.27,3.60,17.0,-,-,0.50,1.31,2.95,1,1,1,4.50,3.75,1.18,-,0,4
55,1.27,3.60,17.0,-,-,0.50,1.30,3.00,1,1,1,4.50,3.60,1.19,-,0,4
56,1.27,3.60,17.0,-,-,0.50,1.29,3.05,1,1,1,4.50,3.50,1.21,-,0,4
57,1.27,3.60,17.0,-,-,0.50,1.28,3.10,1,1,1,4.50,3.40,1.23,-,0,4
58,1.27,3.60,17.0,-,-,0.50,1.26,3.20,1,1,1,4.50,3.30,1.25,-,0,4
59,1.27,3.60,17.0,-,-,0.50,1.25,3.25,1,1,1,4.50,3.20,1.26,-,0,4
60,1.27,3.60,17.0,-,-,0.50,1.24,3.30,1,1,1,4.50,3.10,1.28,-,0,4
61,1.27,3.60,17.0,-,-,0.50,1.23,3.40,1,1,1,4.50,3.00,1.30,-,0,4
62,1.27,3.60,17.0,-,-,0.50,1.22,3.45,1,1,1,4.50,2.90,1.32,-,0,4
63,1.27,3.60,17.0,-,-,0.50,1.20,3.55,1,1,1,5.50,1.33,2.90,-,0,4
64,1.27,3.60,17.0,-,-,0.50,1.19,3.60,1,1,1,5.50,1.30,3.00,-,0,4
65,1.27,3.60,17.0,-,-,0.50,1.18,3.70,1,1,1,5.50,1.28,3.10,-,0,4
66,1.27,3.60,17.0,-,-,0.50,1.17,3.85,1,1,1,5.50,1.25,3.25,-,0,4
67,1.27,3.60,17.0,-,-,0.50,1.15,3.95,1,1,1,5.50,1.23,3.40,-,0,4
68,1.27,3.60,17.0,-,-,0.50,1.14,4.05,1,1,1,5.50,1.20,3.55,-,0,4
69,1.27,3.60,17.0,-,-,0.50,1.13,4.20,1,1,1,5.50,1.18,3.70,-,0,4
70,1.27,3.60,17.0,-,-,0.50,1.12,4.35,1,1,1,5.50,1.16,3.90,-,0,4
71,1.27,3.60,17.0,-,-,0.50,1.11,4.50,1,1,1,5.50,1.13,4.15,-,0,4
72,1.27,3.60,17.0,-,-,0.50,1.10,4.65,1,1,1,5.50,1.11,4.40,-,0,4
73,1.27,3.60,17.0,-,-,0.50,1.09,4.80,1,1,1,5.50,1.09,4.70,-,0,4
74,1.27,3.60,17.0,-,-,0.50,1.08,5.00,1,1,1,5.50,1.08,5.00,-,0,4
75,1.27,3.60,17.0,-,-,0.50,1.07,5.00,1,1,1,5.50,1.06,5.00,-,0,4
76,1.27,3.60,17.0,-,-,0.50,1.06,5.00,1,1,1,5.50,1.05,5.50,-,0,4
77,1.27,3.60,17.0,-,-,0.50,1.05,5.50,1,1,1,5.50,1.04,6.00,-,0,4
78,1.27,3.60,17.0,-,-,0.50,1.04,6.00,1,1,1,5.50,1.03,7.00,-,0,4
79,1.27,3.60,17.0,-,-,0.50,1.04,6.00,1,1,1,5.50,1.03,7.50,-,0,4
80,1.27,3.60,17.0,-,-,1.50,1.03,6.50,1,1,1,6.50,1.03,8.00,-,1,4
81,1.27,3.60,17.0,-,-,1.50,1.03,7.00,1,1,1,6.50,1.02,9.00,-,1,4
82,1.27,3.60,17.0,-,-,1.50,1.03,7.50,1,1,1,6.50,1.02,10.0,-,1,4
83,1.27,3.60,17.0,-,-,1.50,1.03,8.00,1,1,1,5.50,1.39,2.60,-,1,4
84,1.27,3.60,17.0,-,-,1.50,1.02,9.00,1,1,1,5.50,1.35,2.75,-,1,4
85,1.27,3.60,17.0,-,-,1.50,1.02,9.50,1,1,1,5.50,1.31,2.95,-,1,4
86,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
87,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
88,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
89,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
90,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
91,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
92,1.27,3.60,17.0,-,-,1,1,1,1,1,1,1,1,1,-,1,4
