min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.75,1.56,8.50,1.89,3.35,0.50,3.95,1.15,1.50,2.15,1.54,3.50,1.54,2.10,3.35,0,1
2,2.75,1.56,8.50,1.89,3.35,0.50,3.95,1.15,1.50,2.15,1.54,3.50,1.54,2.10,3.35,0,1
3,2.75,1.56,8.50,1.89,3.35,0.50,3.95,1.15,1.50,2.15,1.54,3.50,1.54,2.10,3.35,0,1
4,2.75,1.56,8.50,1.25,8.00,0.50,3.95,1.15,2.50,2.15,1.54,4.50,1.55,2.10,5.00,0,2
5,2.75,1.56,8.50,1.89,3.35,2.50,1.60,2.00,2.50,2.15,1.54,5.50,1.55,2.10,3.35,1,2
6,2.75,1.56,8.50,1.88,3.35,2.50,1.59,2.05,2.50,2.10,1.55,5.50,1.53,2.15,3.35,1,2
7,2.75,1.56,8.50,1.87,3.40,2.50,1.57,2.05,2.50,2.10,1.56,5.50,1.51,2.20,3.35,1,2
8,2.75,1.56,8.50,1.87,3.40,2.50,1.56,2.10,2.50,2.05,1.57,5.50,1.50,2.25,3.35,1,2
9,2.75,1.56,8.50,1.86,3.50,2.50,1.54,2.10,2.50,2.05,1.58,5.50,1.48,2.30,3.35,1,2
10,2.75,1.56,8.50,1.85,3.50,2.50,1.53,2.15,2.50,2.00,1.59,5.50,1.47,2.30,3.35,1,2
11,2.75,1.56,8.50,1.85,3.55,2.50,1.52,2.20,2.50,2.00,1.60,5.50,1.45,2.35,3.30,1,2
12,2.75,1.56,8.50,1.84,3.60,2.50,1.50,2.20,2.50,2.00,1.61,5.50,1.44,2.40,3.30,1,2
13,2.75,1.56,8.50,1.83,3.60,2.50,1.49,2.25,2.50,1.99,1.63,5.50,1.43,2.45,3.30,1,2
14,2.75,1.56,8.50,1.82,3.65,2.50,1.48,2.30,2.50,1.97,1.64,4.50,2.45,1.43,3.30,1,2
15,2.75,1.56,8.50,1.81,3.70,2.50,1.47,2.30,2.50,1.94,1.65,4.50,2.40,1.45,3.30,1,2
16,2.75,1.56,8.50,1.19,10.0,2.50,1.46,2.35,3.50,1.92,1.66,5.50,2.35,1.46,5.00,1,3
17,2.75,1.56,8.50,1.22,8.50,2.50,1.58,2.05,3.50,2.30,1.49,6.50,1.57,2.05,5.00,1,3
18,2.75,1.56,8.50,1.21,9.00,2.50,1.56,2.10,3.50,2.25,1.50,6.50,1.55,2.10,5.00,1,3
19,2.75,1.56,8.50,1.21,9.00,2.50,1.55,2.10,3.50,2.20,1.50,6.50,1.53,2.15,5.00,1,3
20,2.75,1.56,8.50,1.20,9.00,2.50,1.53,2.15,3.50,2.20,1.52,6.50,1.51,2.20,5.00,1,3
21,2.75,1.56,8.50,1.20,9.50,2.50,1.52,2.20,3.50,2.15,1.53,6.50,1.49,2.25,5.00,1,3
22,2.75,1.56,8.50,1.19,9.50,2.50,1.50,2.20,3.50,2.15,1.54,6.50,1.48,2.30,5.00,1,3
23,2.75,1.56,8.50,1.19,10.0,2.50,1.49,2.25,3.50,2.10,1.55,6.50,1.46,2.35,5.50,1,3
24,2.75,1.56,8.50,1.18,10.5,2.50,1.47,2.30,3.50,2.10,1.56,6.50,1.44,2.40,5.50,1,3
25,2.75,1.56,8.50,1.18,10.5,2.50,1.46,2.35,3.50,2.05,1.58,6.50,1.43,2.45,5.50,1,3
26,2.75,1.56,8.50,1.17,11.0,2.50,1.45,2.40,3.50,2.00,1.59,5.50,2.45,1.43,5.50,1,3
27,2.75,1.56,8.50,1.16,11.0,2.50,1.43,2.45,3.50,2.00,1.60,5.50,2.40,1.45,5.50,1,3
28,2.75,1.56,8.50,1.16,11.0,2.50,1.42,2.50,3.50,2.00,1.62,5.50,2.35,1.47,5.50,1,3
29,2.75,1.56,8.50,1.15,11.5,2.50,1.41,2.55,3.50,1.97,1.63,5.50,2.30,1.48,5.50,1,3
30,2.75,1.56,8.50,1.15,12.0,2.50,1.40,2.60,3.50,1.94,1.65,5.50,2.25,1.50,5.50,1,3
31,2.75,1.56,8.50,1.14,12.0,2.50,1.38,2.60,3.50,1.92,1.67,5.50,2.20,1.52,5.50,1,3
32,2.75,1.56,8.50,1.13,12.0,2.50,1.37,2.70,3.50,1.89,1.69,5.50,2.15,1.54,6.00,1,3
33,2.75,1.56,8.50,1.13,12.0,2.50,1.36,2.70,3.50,1.87,1.71,5.50,2.10,1.56,6.00,1,3
34,2.75,1.56,8.50,1.13,13.0,2.50,1.35,2.80,3.50,1.85,1.72,5.50,2.05,1.58,6.00,1,3
35,2.75,1.56,8.50,1.66,4.50,2.50,2.85,1.33,3.50,1.82,1.75,6.50,2.00,1.60,3.30,2,3
36,2.75,1.56,8.50,1.65,4.60,2.50,2.80,1.34,3.50,1.80,1.77,6.50,1.98,1.63,3.30,2,3
37,2.75,1.56,8.50,1.64,4.70,2.50,2.75,1.35,3.50,1.77,1.79,6.50,1.94,1.65,3.30,2,3
38,2.75,1.56,8.50,1.63,4.80,2.50,2.70,1.37,3.50,1.75,1.81,6.50,1.90,1.68,3.30,2,3
39,2.75,1.56,8.50,1.62,4.90,2.50,2.65,1.38,3.50,1.73,1.84,6.50,1.85,1.72,3.25,2,3
40,2.75,1.56,8.50,1.61,5.00,2.50,2.60,1.39,3.50,1.71,1.86,6.50,1.82,1.75,3.25,2,3
41,2.75,1.56,8.50,1.61,5.00,2.50,2.55,1.41,3.50,1.69,1.89,6.50,1.77,1.79,3.25,2,3
42,2.75,1.56,8.50,1.59,5.00,2.50,2.50,1.42,3.50,1.67,1.92,6.50,1.73,1.83,3.25,2,3
43,2.75,1.56,8.50,1.58,5.00,2.50,2.45,1.43,3.50,1.65,1.94,6.50,1.71,1.87,3.25,2,3
44,2.75,1.56,8.50,1.57,5.00,2.50,2.40,1.45,3.50,1.63,1.97,6.50,1.67,1.91,3.25,2,3
45,2.75,1.56,8.50,2.30,3.00,3.50,1.43,2.45,3.50,1.27,3.15,6.50,1.71,1.86,2.90,2,3
46,2.75,1.56,8.50,2.30,3.10,3.50,1.41,2.50,3.50,1.26,3.20,6.50,1.68,1.91,2.85,2,3
47,2.75,1.56,8.50,2.25,3.15,3.50,1.39,2.60,3.50,1.25,3.25,6.50,1.65,1.95,2.85,2,3
48,2.75,1.56,8.50,2.20,3.20,3.50,1.37,2.65,3.50,1.24,3.30,6.50,1.61,2.00,2.85,2,3
49,2.75,1.56,8.50,2.20,3.30,3.50,1.36,2.70,3.50,1.23,3.35,6.50,1.59,2.05,2.85,2,3
50,2.75,1.56,8.50,2.15,3.40,3.50,1.34,2.80,3.50,1.22,3.40,6.50,1.56,2.10,2.85,2,3
51,2.75,1.56,8.50,2.10,3.45,2.50,2.80,1.34,3.50,1.21,3.45,6.50,1.53,2.15,2.80,2,3
52,2.75,1.56,8.50,9.00,1.57,3.50,2.75,1.35,3.50,1.21,3.50,7.50,1.51,2.20,2.70,3,3
53,2.75,1.56,8.50,9.00,1.58,3.50,2.70,1.37,3.50,1.19,3.60,7.50,1.49,2.30,2.65,3,3
54,2.75,1.56,8.50,9.00,1.60,3.50,2.60,1.39,3.50,1.19,3.65,7.50,1.46,2.35,2.60,3,3
55,2.75,1.56,8.50,9.00,1.62,3.50,2.55,1.41,3.50,1.18,3.75,7.50,1.44,2.40,2.55,3,3
56,2.75,1.56,8.50,9.00,1.64,3.50,2.45,1.43,3.50,1.17,3.80,7.50,1.41,2.50,2.50,3,3
57,2.75,1.56,8.50,9.00,1.66,3.50,2.40,1.45,3.50,1.16,3.90,7.50,1.39,2.60,2.45,3,3
58,2.75,1.56,8.50,9.00,1.68,3.50,2.35,1.47,3.50,1.15,4.00,7.50,1.37,2.70,2.40,3,3
59,2.75,1.56,8.50,9.00,1.71,3.50,2.25,1.49,3.50,1.14,4.05,7.50,1.35,2.80,2.35,3,3
60,2.75,1.56,8.50,9.00,1.74,3.50,2.20,1.51,3.50,1.13,4.20,6.50,2.80,1.34,2.30,3,3
61,2.75,1.56,8.50,9.00,1.76,3.50,2.15,1.53,3.50,1.12,4.30,6.50,2.70,1.36,2.25,3,3
62,2.75,1.56,8.50,9.50,1.64,3.50,2.40,1.44,3.50,1.14,4.10,7.50,1.38,2.60,2.45,3,3
63,2.75,1.56,8.50,9.50,1.67,3.50,2.35,1.47,3.50,1.13,4.20,7.50,1.36,2.70,2.40,3,3
64,2.75,1.56,8.50,9.50,1.70,3.50,2.25,1.49,3.50,1.12,4.30,6.50,2.85,1.33,2.35,3,3
65,2.75,1.56,8.50,9.50,1.73,3.50,2.20,1.52,3.50,1.11,4.45,6.50,2.75,1.36,2.25,3,3
66,2.75,1.56,8.50,9.50,1.76,3.50,2.10,1.55,3.50,1.10,4.55,6.50,2.65,1.38,2.20,3,3
67,2.75,1.56,8.50,9.50,1.80,3.50,2.05,1.58,3.50,1.09,4.70,6.50,2.55,1.40,2.15,3,3
68,2.75,1.56,8.50,9.50,1.84,3.50,2.00,1.61,3.50,1.09,4.85,6.50,2.45,1.43,2.10,3,3
69,2.75,1.56,8.50,10.0,1.89,3.50,1.94,1.65,3.50,1.08,5.00,6.50,2.35,1.46,2.00,3,3
70,2.75,1.56,8.50,10.0,1.94,3.50,1.88,1.70,3.50,1.07,5.00,6.50,2.25,1.49,1.99,3,3
71,2.75,1.56,8.50,10.0,1.98,3.50,1.82,1.75,3.50,1.06,5.00,6.50,2.20,1.52,1.93,3,3
72,2.75,1.56,8.50,10.0,2.00,3.50,1.77,1.80,3.50,1.06,5.50,6.50,2.10,1.56,1.88,3,3
73,2.75,1.56,8.50,10.5,2.10,3.50,1.71,1.86,3.50,1.05,5.50,6.50,2.00,1.60,1.82,3,3
74,2.75,1.56,8.50,10.5,2.15,3.50,1.66,1.92,3.50,1.04,6.00,6.50,1.96,1.64,1.77,3,3
75,2.75,1.56,8.50,10.5,2.20,3.50,1.62,2.00,3.50,1.04,6.00,6.50,1.88,1.70,1.72,3,3
76,2.75,1.56,8.50,11.0,2.30,3.50,1.57,2.05,3.50,1.04,6.50,6.50,1.80,1.76,1.67,3,3
77,2.75,1.56,8.50,11.0,2.40,3.50,1.53,2.15,3.50,1.03,7.00,6.50,1.73,1.84,1.62,3,3
78,2.75,1.56,8.50,11.5,2.50,3.50,1.49,2.25,3.50,1.03,7.00,6.50,1.67,1.92,1.57,3,3
79,2.75,1.56,8.50,11.5,2.60,3.50,1.45,2.40,3.50,1.03,7.50,6.50,1.61,2.00,1.53,3,3
80,2.75,1.56,8.50,12.0,2.70,3.50,1.42,2.50,3.50,1.03,8.00,6.50,1.56,2.10,1.49,3,3
81,2.75,1.56,8.50,12.0,2.85,3.50,1.38,2.65,3.50,1.02,8.50,6.50,1.51,2.20,1.46,3,3
82,2.75,1.56,8.50,12.0,3.00,3.50,1.34,2.80,3.50,1.02,9.00,6.50,1.46,2.35,1.42,3,3
83,2.75,1.56,8.50,13.0,3.15,3.50,1.31,2.95,3.50,1.02,10.0,6.50,1.42,2.50,1.38,3,3
84,2.75,1.56,8.50,13.0,3.35,3.50,1.27,3.15,1,1,1,6.50,1.37,2.65,1.34,3,3
85,2.75,1.56,8.50,14.0,3.60,3.50,1.23,3.40,1,1,1,6.50,1.33,2.85,1.30,3,3
86,2.75,1.56,8.50,15.0,3.85,3.50,1.19,3.65,1,1,1,6.50,1.28,3.10,1.25,3,3
87,2.75,1.56,8.50,16.0,4.20,3.50,1.15,4.00,1,1,1,6.50,1.23,3.35,1.21,3,3
88,2.75,1.56,8.50,17.0,4.70,3.50,1.11,4.45,1,1,1,6.50,1.18,3.70,1.16,3,3
89,2.75,1.56,8.50,18.0,5.00,1,1,1,1,1,1,1,1,1,1.12,3,3
90,2.75,1.56,8.50,18.0,5.00,1,1,1,1,1,1,1,1,1,1.12,3,3
91,2.75,1.56,8.50,18.0,5.00,1,1,1,1,1,1,1,1,1,1.12,3,3
92,2.75,1.56,8.50,18.0,5.00,1,1,1,1,1,1,1,1,1,1.12,3,3
93,2.75,1.56,8.50,18.0,5.00,1,1,1,1,1,1,1,1,1,1.12,3,3
