min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.54,2.75,9.00,1.68,4.30,0.50,2.20,1.51,1.50,1.69,1.88,1,1,1,3.30,0,0
2,1.54,2.75,9.00,1.68,4.30,0.50,2.20,1.51,1.50,1.69,1.88,1,1,1,3.30,0,0
3,1.54,2.75,9.00,1.68,4.30,0.50,2.20,1.51,1.50,1.69,1.88,1,1,1,3.30,0,0
4,1.54,2.75,9.00,1.68,4.30,0.50,2.20,1.51,1.50,1.69,1.88,1,1,1,3.30,0,0
5,1.54,2.75,9.00,1.68,4.30,0.50,2.20,1.51,1.50,1.69,1.88,1,1,1,3.30,0,0
6,1.54,2.75,9.00,1.68,4.30,0.50,2.20,1.52,1.50,1.67,1.91,1,1,1,3.30,0,0
7,1.54,2.80,9.00,1.69,4.30,0.50,2.15,1.53,1.50,1.66,1.93,1,1,1,3.25,0,0
8,1.69,2.40,9.00,1.98,3.30,0.50,2.50,1.42,1.50,1.51,2.20,1,1,1,3.20,0,0
9,1.70,2.40,8.50,1.99,3.30,0.50,2.45,1.43,1.50,1.50,2.25,1,1,1,3.20,0,0
10,1.70,2.40,8.50,2.00,3.30,0.50,2.45,1.43,1.50,1.49,2.25,1,1,1,3.15,0,0
11,1.71,2.40,8.00,2.00,3.30,0.50,2.40,1.44,1.50,1.48,2.30,1,1,1,3.15,0,0
12,1.71,2.40,8.00,2.00,3.30,0.50,2.40,1.45,1.50,1.46,2.35,1,1,1,3.10,0,0
13,1.72,2.40,8.00,2.00,3.30,0.50,2.35,1.46,1.50,1.45,2.40,1,1,1,3.10,0,0
14,1.72,2.40,7.50,2.00,3.35,0.50,2.30,1.47,1.50,1.44,2.40,1,1,1,3.05,0,0
15,1.73,2.40,7.50,2.00,3.35,0.50,2.30,1.48,1.50,1.43,2.45,1,1,1,3.05,0,0
16,1.74,2.45,7.00,2.00,3.35,0.50,2.25,1.49,1.50,1.42,2.50,1,1,1,3.00,0,0
17,1.74,2.45,7.00,2.05,3.40,0.50,2.25,1.50,1.50,1.41,2.50,1,1,1,3.00,0,0
18,1.75,2.45,7.00,2.05,3.35,0.50,2.20,1.51,1.50,1.40,2.55,1.50,2.40,1.44,3.00,0,0
19,1.76,2.45,6.50,2.05,3.35,0.50,2.20,1.52,1.50,1.39,2.60,1.50,2.35,1.45,2.95,0,0
20,1.76,2.50,6.50,2.05,3.40,0.50,2.15,1.53,1.50,1.38,2.65,1.50,2.30,1.47,2.95,0,0
21,1.77,2.50,6.00,2.10,3.40,0.50,2.10,1.54,1.50,1.37,2.70,1.50,2.30,1.48,2.90,0,0
22,1.78,2.50,6.00,2.10,3.40,0.50,2.10,1.56,1.50,1.36,2.75,1.50,2.25,1.50,2.90,0,0
23,1.79,2.50,6.00,2.10,3.40,0.50,2.05,1.57,1.50,1.34,2.80,1.50,2.20,1.52,2.90,0,0
24,1.79,2.50,6.00,2.10,3.40,0.50,2.05,1.58,1.50,1.34,2.80,1.50,2.15,1.53,2.85,0,0
25,1.80,2.50,5.50,2.10,3.40,0.50,2.00,1.60,0.50,2.80,1.34,1.50,2.10,1.55,2.85,0,0
26,1.81,2.55,5.50,2.15,3.45,0.50,2.00,1.61,0.50,2.75,1.35,1.50,2.10,1.57,2.80,0,0
27,1.82,2.55,5.50,2.15,3.45,0.50,1.99,1.62,0.50,2.70,1.36,1.50,2.05,1.59,2.80,0,0
28,1.83,2.55,5.00,2.15,3.45,0.50,1.96,1.64,0.50,2.70,1.37,1.50,2.00,1.61,2.75,0,0
29,1.84,2.60,5.00,5.00,1.55,1.50,1.94,1.66,0.50,2.60,1.38,1,1,1,3.40,1,0
30,1.84,2.60,5.00,5.00,1.55,1.50,1.91,1.67,0.50,2.60,1.39,1,1,1,3.40,1,0
31,1.84,2.60,5.00,4.45,1.62,1.50,1.75,1.82,0.50,2.75,1.35,1,1,1,3.45,1,0
32,1.84,2.60,5.00,4.10,1.66,1.50,1.86,1.71,1.50,1.37,2.70,1,1,1,3.50,1,0
33,1.84,2.60,5.00,4.20,1.65,1.50,1.84,1.73,1.50,1.35,2.75,1,1,1,3.50,1,0
34,1.84,2.60,5.00,4.25,1.65,1.50,1.82,1.75,1.50,1.34,2.80,1,1,1,3.50,1,0
35,1.84,2.60,5.00,4.30,1.64,1.50,1.80,1.77,0.50,2.80,1.34,1,1,1,3.50,1,0
36,1.84,2.60,5.00,4.40,1.63,1.50,1.77,1.79,0.50,2.75,1.35,1,1,1,3.50,1,0
37,1.84,2.60,5.00,4.45,1.62,1.50,1.75,1.82,0.50,2.70,1.36,1,1,1,3.45,1,0
38,1.84,2.60,5.00,4.55,1.61,1.50,1.73,1.84,0.50,2.70,1.37,1,1,1,3.45,1,0
39,1.84,2.60,5.00,4.60,1.60,1.50,1.71,1.87,0.50,2.60,1.39,1,1,1,3.45,1,0
40,1.84,2.60,5.00,4.70,1.59,1.50,1.69,1.89,0.50,2.55,1.40,1,1,1,3.45,1,0
41,1.84,2.60,5.00,4.80,1.58,1.50,1.67,1.92,0.50,2.50,1.41,1,1,1,3.45,1,0
42,1.84,2.60,5.00,4.90,1.57,1.50,1.65,1.95,0.50,2.45,1.43,1,1,1,3.45,1,0
43,1.84,2.60,5.00,5.00,1.56,1.50,1.63,1.97,0.50,2.40,1.44,1,1,1,3.45,1,0
44,1.84,2.60,5.00,5.00,1.56,1.50,1.62,2.00,0.50,2.40,1.45,1,1,1,3.45,1,0
45,1.84,2.60,5.00,4.85,1.58,1.50,1.64,1.96,0.50,2.50,1.42,1,1,1,3.40,1,0
46,1.84,2.60,5.00,5.00,1.57,1.50,1.62,1.99,0.50,2.40,1.44,1,1,1,3.45,1,0
47,1.84,2.60,5.00,5.00,1.56,1.50,1.60,2.00,0.50,2.35,1.46,1,1,1,3.45,1,0
48,1.84,2.60,5.00,5.00,1.55,1.50,1.58,2.05,0.50,2.30,1.47,1,1,1,3.40,1,0
49,1.84,2.60,5.00,5.00,1.53,1.50,1.56,2.10,0.50,2.25,1.49,1,1,1,3.40,1,0
50,1.84,2.60,5.00,5.00,1.52,1.50,1.55,2.10,0.50,2.20,1.51,1,1,1,3.40,1,0
51,1.84,2.60,5.00,5.50,1.52,1.50,1.53,2.15,0.50,2.15,1.53,1,1,1,3.40,1,0
52,1.84,2.60,5.00,6.00,1.47,1.50,1.55,2.10,0.50,2.05,1.57,1,1,1,3.50,1,0
53,1.84,2.60,5.00,6.00,1.47,1.50,1.53,2.15,0.50,2.00,1.59,1,1,1,3.50,1,0
54,1.84,2.60,5.00,6.00,1.46,1.50,1.51,2.20,0.50,2.00,1.61,1,1,1,3.50,1,0
55,1.84,2.60,5.00,6.50,1.45,1.50,1.50,2.25,0.50,1.96,1.64,1,1,1,3.50,1,0
56,1.84,2.60,5.00,6.50,1.44,1.50,1.48,2.30,0.50,1.92,1.67,1,1,1,3.55,1,0
57,1.84,2.60,5.00,7.00,1.43,1.50,1.46,2.35,0.50,1.88,1.70,1,1,1,3.55,1,0
58,1.84,2.60,5.00,7.00,1.42,1.50,1.45,2.40,0.50,1.84,1.73,1,1,1,3.55,1,0
59,1.84,2.60,5.00,7.50,1.41,1.50,1.43,2.45,0.50,1.81,1.76,1,1,1,3.55,1,0
60,1.84,2.60,5.00,7.50,1.40,1.50,1.42,2.50,0.50,1.77,1.80,1.50,2.80,1.34,3.60,1,0
61,1.84,2.60,5.00,8.00,1.40,1.50,1.40,2.55,0.50,1.73,1.84,1.50,2.70,1.36,3.60,1,0
62,1.84,2.60,5.00,8.00,1.38,1.50,1.39,2.60,0.50,1.70,1.88,1.50,2.65,1.38,3.60,1,0
63,1.84,2.60,5.00,8.50,1.38,1.50,1.37,2.70,0.50,1.66,1.92,1.50,2.55,1.40,3.65,1,0
64,1.84,2.60,5.00,9.00,1.37,1.50,1.36,2.75,0.50,1.63,1.97,1.50,2.50,1.42,3.65,1,0
65,1.84,2.60,5.00,9.00,1.35,1.50,1.34,2.80,0.50,1.60,2.00,1.50,2.40,1.45,3.70,1,0
66,1.84,2.60,5.00,2.70,4.35,1.50,1.32,2.90,1.50,1.57,2.05,1,1,1,1.92,1,1
67,1.84,2.60,5.00,2.80,4.30,1.50,1.32,2.90,1.50,1.53,2.15,1,1,1,1.87,1,1
68,1.84,2.60,5.00,2.85,4.40,1.50,1.30,3.00,1.50,1.50,2.20,1,1,1,1.83,1,1
69,1.84,2.60,5.00,2.90,4.45,1.50,1.28,3.10,1.50,1.48,2.30,1,1,1,1.80,1,1
70,1.84,2.60,5.00,3.00,4.50,1.50,1.26,3.20,1.50,1.46,2.35,1,1,1,1.75,1,1
71,1.84,2.60,5.00,3.05,4.60,1.50,1.25,3.25,1.50,1.43,2.45,1,1,1,1.72,1,1
72,1.84,2.60,5.00,3.10,4.70,1.50,1.23,3.35,1.50,1.41,2.50,1,1,1,1.68,1,1
