min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.93,1.93,15.0,2.50,2.50,1.50,1.73,1.93,1.50,1.73,1.93,1,1,1,3.50,0,0
4,1.95,1.76,20.0,2.55,2.10,2.50,1.48,2.45,1.50,2.25,1.54,4.50,1.55,2.25,4.40,0,0
5,1.95,1.76,20.0,2.55,2.10,2.50,1.48,2.45,1.50,2.25,1.54,4.50,1.55,2.25,4.40,0,0
6,1.95,1.76,20.0,2.55,2.10,2.50,1.46,2.50,1.50,2.25,1.55,3.50,2.30,1.54,4.40,0,0
7,1.96,1.76,20.0,2.55,2.10,1.50,2.50,1.45,1.50,2.20,1.57,3.50,2.20,1.56,4.35,0,0
8,1.96,1.77,20.0,2.60,2.10,1.50,2.50,1.47,1.50,2.15,1.58,3.50,2.20,1.58,4.35,0,0
9,1.96,1.77,20.0,2.60,2.10,1.50,2.45,1.48,1.50,2.10,1.60,3.50,2.10,1.60,4.30,0,0
10,1.96,1.77,20.0,2.60,2.10,1.50,2.40,1.49,1.50,2.10,1.62,3.50,2.05,1.63,4.30,0,0
11,1.96,1.77,20.0,2.60,2.10,1.50,2.35,1.51,1.50,2.05,1.63,3.50,2.00,1.65,4.25,0,0
12,1.97,1.77,20.0,2.60,2.10,1.50,2.30,1.52,1.50,2.00,1.65,3.50,2.00,1.68,4.25,0,0
13,1.97,1.77,20.0,2.60,2.15,1.50,2.30,1.53,1.50,2.00,1.67,3.50,1.96,1.71,4.20,0,0
14,1.97,1.78,20.0,2.60,2.15,1.50,2.25,1.55,1.50,1.98,1.69,3.50,1.91,1.74,4.20,0,0
15,1.97,1.78,20.0,2.60,2.15,1.50,2.20,1.57,1.50,1.95,1.71,3.50,1.87,1.78,4.15,0,0
16,1.98,1.78,20.0,2.60,2.15,1.50,2.15,1.58,1.50,1.92,1.74,3.50,1.83,1.81,4.10,0,0
17,1.98,1.78,20.0,2.60,2.15,1.50,2.10,1.60,1.50,1.89,1.76,3.50,1.79,1.85,4.10,0,0
18,1.98,1.79,20.0,2.60,2.15,1.50,2.10,1.62,1.50,1.86,1.78,3.50,1.76,1.89,4.10,0,0
