min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.72,20.0,2.75,2.00,1.50,2.25,1.54,1.50,1.84,1.80,3.50,1.84,1.80,4.15,0,0
2,2.00,1.72,20.0,2.75,2.00,1.50,2.25,1.54,1.50,1.84,1.80,3.50,1.84,1.80,4.15,0,0
3,2.00,1.72,20.0,2.75,2.00,1.50,2.25,1.54,1.50,1.84,1.80,3.50,1.84,1.80,4.15,0,0
4,2.10,1.70,20.0,2.85,1.98,1.50,2.25,1.54,1.50,1.78,1.86,3.50,1.80,1.84,4.15,0,0
5,2.10,1.70,20.0,2.85,1.98,1.50,2.25,1.54,1.50,1.78,1.86,3.50,1.80,1.84,4.15,0,0
6,2.10,1.70,20.0,2.85,1.99,1.50,2.25,1.55,1.50,1.76,1.88,3.50,1.77,1.87,4.10,0,0
7,2.10,1.71,20.0,2.85,1.99,1.50,2.20,1.57,1.50,1.75,1.90,3.50,1.74,1.91,4.10,0,0
8,2.10,1.71,20.0,2.85,2.00,1.50,2.15,1.58,1.50,1.72,1.93,3.50,1.71,1.95,4.10,0,0
9,2.10,1.71,20.0,2.85,2.00,1.50,2.10,1.60,1.50,1.70,1.96,3.50,1.68,2.00,4.05,0,0
10,2.10,1.71,20.0,2.85,2.00,1.50,2.10,1.62,1.50,1.68,1.99,3.50,1.65,2.00,4.00,0,0
11,2.10,1.71,20.0,2.85,2.00,1.50,2.05,1.63,1.50,1.67,2.00,3.50,1.63,2.05,4.00,0,0
12,2.10,1.72,20.0,2.90,2.00,1.50,2.00,1.65,1.50,1.65,2.00,3.50,1.61,2.10,4.00,0,0
13,2.10,1.72,19.0,2.90,2.00,1.50,2.00,1.67,1.50,1.63,2.05,3.50,1.58,2.15,3.95,0,0
14,2.10,1.70,19.0,2.95,1.98,1.50,2.00,1.65,1.50,1.61,2.10,3.50,1.58,2.15,3.95,0,0
15,2.15,1.70,19.0,2.95,1.99,1.50,2.00,1.67,1.50,1.60,2.10,3.50,1.56,2.20,3.95,0,0
16,2.15,1.71,18.0,2.95,1.99,1.50,1.98,1.69,1.50,1.58,2.15,3.50,1.54,2.25,3.90,0,0
17,2.15,1.71,18.0,2.95,1.99,1.50,1.95,1.71,1.50,1.57,2.20,3.50,1.52,2.30,3.90,0,0
18,2.15,1.71,17.0,2.95,2.00,1.50,1.92,1.74,1.50,1.55,2.25,1,1,1,3.85,0,0
