min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,2.60,1.70,8.00,3.60,1.95,1.50,1.49,2.40,0.50,2.25,1.55,1,1,1,3.25,0,0
7,2.60,1.70,8.00,3.60,1.96,1.50,1.48,2.45,0.50,2.20,1.56,1,1,1,3.25,0,0
8,2.60,1.71,7.50,3.60,1.97,1.50,1.47,2.50,0.50,2.20,1.57,1,1,1,3.20,0,0
9,2.60,1.71,7.50,3.60,1.97,1.50,1.46,2.50,0.50,2.15,1.58,1.50,2.50,1.46,3.20,0,0
10,2.65,1.72,7.00,3.65,1.99,1.50,1.45,2.55,0.50,2.15,1.59,1.50,2.50,1.47,3.20,0,0
11,2.65,1.73,7.00,3.65,1.99,1.50,1.44,2.60,0.50,2.10,1.60,1.50,2.45,1.48,3.15,0,0
12,2.65,1.73,7.00,3.65,2.00,1.50,1.43,2.60,0.50,2.10,1.61,1.50,2.40,1.49,3.15,0,0
13,2.65,1.74,6.50,3.65,2.00,1.50,1.42,2.65,0.50,2.05,1.63,1.50,2.35,1.51,3.10,0,0
14,2.65,1.74,6.50,3.65,2.00,1.50,1.41,2.70,0.50,2.05,1.64,1.50,2.30,1.52,3.10,0,0
15,2.70,1.75,6.50,3.65,2.00,1.50,1.40,2.75,0.50,2.00,1.65,1.50,2.30,1.54,3.05,0,0
16,2.70,1.76,6.00,3.65,2.00,1.50,1.39,2.80,0.50,2.00,1.66,1.50,2.25,1.55,3.05,0,0
17,2.70,1.77,6.00,3.70,2.05,1.50,1.38,2.80,0.50,2.00,1.68,1.50,2.20,1.57,3.00,0,0
18,2.70,1.77,6.00,3.70,2.05,1.50,1.37,2.85,0.50,1.98,1.69,1.50,2.15,1.59,3.00,0,0
19,2.70,1.78,6.00,3.70,2.05,0.50,2.90,1.36,0.50,1.96,1.71,1.50,2.10,1.60,3.00,0,0
20,2.70,1.79,5.50,3.70,2.05,0.50,2.85,1.37,0.50,1.93,1.72,1.50,2.10,1.62,2.95,0,0
21,2.75,1.80,5.50,3.70,2.10,0.50,2.80,1.38,0.50,1.92,1.74,1.50,2.05,1.64,2.95,0,0
22,2.75,1.80,5.50,3.70,2.10,0.50,2.80,1.39,0.50,1.89,1.75,1.50,2.00,1.66,2.90,0,0
23,2.75,1.82,5.00,3.70,2.10,0.50,2.75,1.40,0.50,1.87,1.77,1.50,1.99,1.69,2.90,0,0
24,2.80,1.83,5.00,3.75,2.10,0.50,2.70,1.41,0.50,1.85,1.79,1.50,1.95,1.71,2.85,0,0
25,2.80,1.84,5.00,3.75,2.10,0.50,2.65,1.42,0.50,1.83,1.81,1.50,1.92,1.74,2.80,0,0
26,2.80,1.85,5.00,3.75,2.10,0.50,2.60,1.43,0.50,1.81,1.83,1.50,1.88,1.77,2.80,0,0
27,2.80,1.86,4.85,3.75,2.15,0.50,2.60,1.44,0.50,1.79,1.85,1.50,1.85,1.79,2.80,0,0
28,2.85,1.87,4.75,3.75,2.15,0.50,2.50,1.45,0.50,1.78,1.87,1.50,1.82,1.82,2.75,0,0
29,3.00,2.05,3.60,3.95,2.45,0.50,2.10,1.60,0.50,1.63,2.05,1.50,1.55,2.25,2.35,0,0
30,3.00,2.10,3.55,3.95,2.45,0.50,2.10,1.61,0.50,1.62,2.10,1.50,1.53,2.30,2.30,0,0
31,3.00,2.10,3.50,3.95,2.45,0.50,2.05,1.63,0.50,1.60,2.10,1.50,1.51,2.35,2.30,0,0
32,3.05,2.10,3.40,4.00,2.50,0.50,2.05,1.64,0.50,1.59,2.15,1.50,1.50,2.40,2.30,0,0
33,3.05,2.10,3.35,4.00,2.50,0.50,2.00,1.66,0.50,1.58,2.15,1.50,1.48,2.45,2.25,0,0
34,3.10,2.15,3.30,4.05,2.50,0.50,2.00,1.68,0.50,1.57,2.20,1.50,1.47,2.50,2.25,0,0
35,3.10,2.15,3.25,4.05,2.55,0.50,1.98,1.69,0.50,1.56,2.20,1.50,1.45,2.55,2.20,0,0
36,3.15,2.20,3.15,4.05,2.55,0.50,1.94,1.72,0.50,1.54,2.25,1.50,1.43,2.60,2.20,0,0
37,3.15,2.20,3.10,4.10,2.60,0.50,1.92,1.74,0.50,1.53,2.30,1.50,1.42,2.65,2.15,0,0
38,3.20,2.20,3.05,4.10,2.60,0.50,1.89,1.76,0.50,1.52,2.30,1.50,1.40,2.70,2.15,0,0
39,3.20,2.25,3.00,4.10,2.60,0.50,1.87,1.78,0.50,1.51,2.35,1.50,1.39,2.80,2.10,0,0
40,3.25,2.30,2.95,4.15,2.65,0.50,1.84,1.80,0.50,1.50,2.40,1.50,1.38,2.85,2.10,0,0
41,3.25,2.30,2.90,4.20,2.70,0.50,1.81,1.83,0.50,1.49,2.40,0.50,2.90,1.37,2.05,0,0
42,3.30,2.30,2.80,4.20,2.70,0.50,1.79,1.85,0.50,1.47,2.45,0.50,2.80,1.38,2.05,0,0
