min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.90,1.45,16.0,5.00,1.48,2.50,1.58,2.15,1.50,1.40,2.75,3.50,1.66,2.00,4.00,0,0
2,2.90,1.45,16.0,5.00,1.48,2.50,1.58,2.15,1.50,1.40,2.75,3.50,1.66,2.00,4.00,0,0
4,2.90,1.45,16.0,5.00,1.48,2.50,1.58,2.15,1.50,1.40,2.75,3.50,1.66,2.00,4.00,0,0
5,2.90,1.45,16.0,5.00,1.48,2.50,1.58,2.15,1.50,1.40,2.75,3.50,1.66,2.00,4.00,0,0
6,2.90,1.46,16.0,5.00,1.49,2.50,1.57,2.20,1.50,1.39,2.80,3.50,1.64,2.05,4.00,0,0
7,2.60,1.52,17.0,4.40,1.59,2.50,1.55,2.25,1.50,1.52,2.30,3.50,1.74,1.92,3.90,0,0
8,2.60,1.52,17.0,4.40,1.59,2.50,1.53,2.30,1.50,1.51,2.35,3.50,1.71,1.96,3.90,0,0
9,2.60,1.52,17.0,4.45,1.60,2.50,1.52,2.30,1.50,1.50,2.40,3.50,1.68,2.00,3.85,0,0
10,2.60,1.52,16.0,4.40,1.60,2.50,1.50,2.40,1.50,1.49,2.40,3.50,1.65,2.00,3.80,0,0
11,2.60,1.53,16.0,4.45,1.61,2.50,1.49,2.40,1.50,1.47,2.45,3.50,1.63,2.05,3.80,0,0
12,2.60,1.53,16.0,12.0,1.20,3.50,1.47,2.45,1.50,1.46,2.50,4.50,1.63,2.05,5.00,1,0
15,2.60,1.53,16.0,12.0,1.21,2.50,2.45,1.47,1.50,1.43,2.60,4.50,1.56,2.20,5.00,1,0
16,2.60,1.53,16.0,12.0,1.21,2.50,2.40,1.49,1.50,1.42,2.65,4.50,1.54,2.25,5.00,1,0
17,2.60,1.53,16.0,12.0,1.21,2.50,2.40,1.50,1.50,1.41,2.70,4.50,1.52,2.30,5.00,1,0
18,2.60,1.53,16.0,12.0,1.21,2.50,2.30,1.52,1.50,1.40,2.75,4.50,1.50,2.40,5.00,1,0
19,2.60,1.53,16.0,12.0,1.21,2.50,2.30,1.53,1.50,1.39,2.80,3.50,2.35,1.51,5.00,1,0
20,2.60,1.53,16.0,12.0,1.21,2.50,2.25,1.55,1.50,1.38,2.80,3.50,2.30,1.52,5.00,1,0
21,2.60,1.53,16.0,12.0,1.22,2.50,2.20,1.56,1.50,1.37,2.85,3.50,2.25,1.54,5.00,1,0
22,2.60,1.53,16.0,9.50,1.24,2.50,2.10,1.61,1.50,1.41,2.70,3.50,2.30,1.53,5.50,1,0
23,2.60,1.53,16.0,9.50,1.24,2.50,2.05,1.63,1.50,1.40,2.75,3.50,2.20,1.55,5.50,1,0
24,2.60,1.53,16.0,9.50,1.24,2.50,2.00,1.66,1.50,1.39,2.80,3.50,2.20,1.58,5.00,1,0
25,2.60,1.53,16.0,9.50,1.24,2.50,2.00,1.68,1.50,1.38,2.85,3.50,2.10,1.60,5.00,1,0
26,2.60,1.53,16.0,9.50,1.24,2.50,1.96,1.70,1.50,1.37,2.85,3.50,2.10,1.62,5.00,1,0
