min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.84,2.00,9.00,2.30,2.65,1.50,1.32,2.70,1.50,1.39,2.40,1,1,1,3.10,0,0
2,1.74,2.25,7.50,2.10,3.05,0.50,2.40,1.40,1.50,1.39,2.40,1,1,1,3.00,0,0
3,1.68,2.30,8.00,1.98,3.20,0.50,2.40,1.40,1.50,1.44,2.25,1,1,1,3.05,0,0
5,1.68,2.30,8.00,1.98,3.20,0.50,2.40,1.40,1.50,1.44,2.25,1,1,1,3.05,0,0
7,1.69,2.30,8.00,2.00,3.20,0.50,2.35,1.41,1.50,1.42,2.30,1,1,1,3.00,0,0
9,1.71,2.35,7.50,2.00,3.20,0.50,2.30,1.43,1.50,1.40,2.40,1,1,1,3.00,0,0
11,1.72,2.35,7.00,2.00,3.25,0.50,2.25,1.45,1.50,1.38,2.45,1,1,1,2.95,0,0
12,1.72,2.35,7.00,2.00,3.25,0.50,2.20,1.46,1.50,1.37,2.50,1,1,1,2.95,0,0
13,1.73,2.35,6.50,2.00,3.25,0.50,2.20,1.47,1.50,1.36,2.55,1.50,2.35,1.41,2.90,0,0
14,1.73,2.40,6.50,2.05,3.25,0.50,2.15,1.48,1.50,1.35,2.60,1.50,2.30,1.42,2.90,0,0
15,1.74,2.40,6.50,2.05,3.25,0.50,2.10,1.49,1.50,1.34,2.60,1.50,2.30,1.44,2.90,0,0
16,1.75,2.40,6.00,2.05,3.25,0.50,2.10,1.50,1.50,1.33,2.65,1.50,2.25,1.45,2.85,0,0
17,1.75,2.40,6.00,2.10,3.25,0.50,2.10,1.51,1.50,1.32,2.70,1.50,2.20,1.46,2.85,0,0
18,1.76,2.40,6.00,2.10,3.25,0.50,2.05,1.52,1.50,1.31,2.75,1.50,2.15,1.48,2.80,0,0
19,1.77,2.40,6.00,2.10,3.30,0.50,2.05,1.53,1.50,1.30,2.80,1.50,2.10,1.49,2.80,0,0
20,1.78,2.40,5.50,2.10,3.30,0.50,2.00,1.54,0.50,2.75,1.31,1.50,2.10,1.51,2.80,0,0
21,1.78,2.45,5.50,2.10,3.30,0.50,2.00,1.55,0.50,2.70,1.32,1.50,2.05,1.52,2.75,0,0
22,1.79,2.45,5.50,2.10,3.30,0.50,1.98,1.57,0.50,2.65,1.33,1.50,2.00,1.54,2.75,0,0
23,1.80,2.45,5.00,2.15,3.30,0.50,1.96,1.58,0.50,2.60,1.34,1.50,1.99,1.56,2.70,0,0
24,1.81,2.50,5.00,2.15,3.30,0.50,1.94,1.59,0.50,2.60,1.35,1.50,1.95,1.58,2.70,0,0
25,1.82,2.50,5.00,2.15,3.30,0.50,1.91,1.61,0.50,2.55,1.36,1.50,1.91,1.61,2.65,0,0
26,1.83,2.50,5.00,2.15,3.30,0.50,1.88,1.63,0.50,2.50,1.37,1.50,1.88,1.63,2.65,0,0
27,1.84,2.50,4.85,2.20,3.35,0.50,1.86,1.64,0.50,2.45,1.38,1.50,1.84,1.66,2.60,0,0
28,1.86,2.55,4.75,2.20,3.35,0.50,1.84,1.66,0.50,2.40,1.39,1.50,1.81,1.68,2.60,0,0
29,1.87,2.55,4.60,2.20,3.35,0.50,1.82,1.68,0.50,2.40,1.40,1.50,1.77,1.71,2.60,0,0
30,1.88,2.55,4.50,2.20,3.35,0.50,1.80,1.69,0.50,2.35,1.41,1.50,1.74,1.74,2.55,0,0
31,1.89,2.60,4.40,2.25,3.40,0.50,1.78,1.71,0.50,2.30,1.43,1.50,1.72,1.77,2.50,0,0
32,1.73,2.70,4.95,2.00,3.75,0.50,1.75,1.73,0.50,2.65,1.34,1.50,1.86,1.64,2.70,0,0
33,1.65,2.90,4.95,1.88,4.10,0.50,1.67,1.82,0.50,2.75,1.31,1.50,1.87,1.64,2.70,0,0
34,1.66,2.90,4.80,1.89,4.15,0.50,1.65,1.85,0.50,2.70,1.31,1.50,1.83,1.66,2.70,0,0
35,1.67,2.90,4.70,1.90,4.15,0.50,1.64,1.87,0.50,2.70,1.32,1.50,1.80,1.69,2.65,0,0
