min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.00,1.59,6.00,4.40,1.77,1.50,1.44,2.40,0.50,1.79,1.77,1.50,2.20,1.52,3.00,0,0
2,3.00,1.59,6.00,4.40,1.77,1.50,1.44,2.40,0.50,1.79,1.77,1.50,2.20,1.52,3.00,0,0
3,3.00,1.59,6.00,4.40,1.77,1.50,1.44,2.40,0.50,1.79,1.77,1.50,2.20,1.52,3.00,0,0
4,3.00,1.59,6.00,4.40,1.77,1.50,1.44,2.40,0.50,1.79,1.77,1.50,2.20,1.52,3.00,0,0
5,3.00,1.59,6.00,4.40,1.77,1.50,1.44,2.40,0.50,1.79,1.77,1.50,2.20,1.52,3.00,0,0
6,3.00,1.60,6.00,4.40,1.77,1.50,1.43,2.45,0.50,1.78,1.79,1.50,2.15,1.53,3.00,0,0
7,3.00,1.60,5.50,4.40,1.79,1.50,1.42,2.50,0.50,1.76,1.80,1.50,2.10,1.55,2.95,0,0
8,3.00,1.61,5.50,4.40,1.80,1.50,1.41,2.50,0.50,1.75,1.82,1.50,2.10,1.56,2.95,0,0
9,3.00,1.62,5.50,4.45,1.81,1.50,1.40,2.55,0.50,1.73,1.83,1.50,2.05,1.58,2.90,0,0
10,3.05,1.62,5.00,4.45,1.80,1.50,1.39,2.60,0.50,1.72,1.85,1.50,2.00,1.60,2.90,0,0
11,3.05,1.63,5.00,4.45,1.82,1.50,1.38,2.65,0.50,1.71,1.87,1.50,2.00,1.61,2.90,0,0
12,3.05,1.63,5.00,4.50,1.82,1.50,1.37,2.70,0.50,1.69,1.88,1.50,1.98,1.63,2.85,0,0
14,3.10,1.65,5.00,4.50,1.85,1.50,1.35,2.75,0.50,1.67,1.92,1.50,1.92,1.67,2.80,0,0
15,3.10,1.66,5.00,4.50,1.86,1.50,1.34,2.80,0.50,1.66,1.94,1.50,1.89,1.69,2.80,0,0
16,3.10,1.66,4.90,4.50,1.87,0.50,2.85,1.33,0.50,1.64,1.96,1.50,1.86,1.71,2.80,0,0
17,3.10,1.67,4.80,4.50,1.87,0.50,2.80,1.34,0.50,1.63,1.98,1.50,1.84,1.73,2.75,0,0
18,3.10,1.68,4.70,4.50,1.89,0.50,2.75,1.35,0.50,1.62,2.00,1.50,1.81,1.75,2.75,0,0
20,3.00,1.72,4.70,4.25,1.96,0.50,2.70,1.37,0.50,1.66,1.93,1.50,1.81,1.76,2.70,0,0
21,3.00,1.73,4.60,4.30,1.97,0.50,2.65,1.38,0.50,1.65,1.95,1.50,1.78,1.78,2.70,0,0
24,3.05,1.76,4.25,4.30,2.00,0.50,2.50,1.41,0.50,1.61,2.00,1.50,1.70,1.88,2.60,0,0
25,3.10,1.77,4.15,4.30,2.00,0.50,2.50,1.42,0.50,1.59,2.00,1.50,1.67,1.92,2.60,0,0
26,3.10,1.78,4.10,4.30,2.00,0.50,2.45,1.43,0.50,1.58,2.05,1.50,1.65,1.95,2.55,0,0
27,3.10,1.80,4.00,4.30,2.00,0.50,2.40,1.44,0.50,1.57,2.05,1.50,1.63,1.99,2.50,0,0
28,3.15,1.81,3.90,4.30,2.05,0.50,2.40,1.45,0.50,1.56,2.10,1.50,1.61,2.00,2.50,0,0
29,3.15,1.82,3.80,4.30,2.05,0.50,2.35,1.46,0.50,1.54,2.10,1.50,1.58,2.05,2.50,0,0
30,3.20,1.83,3.75,4.35,2.05,0.50,2.30,1.47,0.50,1.53,2.15,1.50,1.57,2.10,2.45,0,0
31,3.20,1.85,3.70,4.35,2.10,0.50,2.25,1.49,0.50,1.52,2.20,1.50,1.55,2.10,2.40,0,0
32,3.20,1.86,3.60,4.35,2.10,0.50,2.25,1.50,0.50,1.51,2.20,1.50,1.53,2.15,2.40,0,0
33,3.25,1.88,3.55,4.40,2.10,0.50,2.20,1.51,0.50,1.50,2.25,1.50,1.51,2.20,2.40,0,0
34,3.25,1.89,3.45,4.40,2.15,0.50,2.15,1.53,0.50,1.49,2.25,1.50,1.49,2.25,2.35,0,0
35,3.30,1.91,3.40,4.40,2.15,0.50,2.15,1.54,0.50,1.48,2.30,1.50,1.48,2.30,2.30,0,0
36,3.30,1.93,3.30,4.40,2.15,0.50,2.10,1.56,0.50,1.47,2.30,1.50,1.46,2.35,2.30,0,0
37,3.30,1.94,3.25,4.45,2.20,0.50,2.05,1.57,0.50,1.46,2.35,1.50,1.44,2.40,2.30,0,0
38,3.35,1.96,3.20,4.45,2.20,0.50,2.05,1.59,0.50,1.45,2.40,1.50,1.43,2.45,2.25,0,0
39,3.40,1.98,3.15,4.50,2.25,0.50,2.00,1.60,0.50,1.44,2.45,1.50,1.41,2.50,2.20,0,0
40,3.40,2.00,3.10,4.50,2.25,0.50,2.00,1.62,0.50,1.43,2.45,1.50,1.40,2.60,2.20,0,0
41,3.45,2.00,3.00,4.55,2.30,0.50,1.96,1.64,0.50,1.42,2.50,1.50,1.38,2.60,2.15,0,0
42,3.45,2.00,2.95,4.60,2.30,0.50,1.93,1.66,0.50,1.41,2.55,1.50,1.37,2.70,2.15,0,0
43,3.45,2.00,2.95,1.49,7.00,0.50,1.90,1.68,1.50,1.40,2.60,1,1,1,3.20,0,1
44,3.45,2.00,2.95,1.52,6.50,0.50,2.00,1.62,1.50,1.42,2.50,1,1,1,3.15,0,1
45,3.45,2.00,2.95,1.51,6.50,0.50,1.96,1.64,1.50,1.41,2.50,1,1,1,3.20,0,1
46,3.45,2.00,2.95,1.50,7.00,0.50,1.93,1.66,1.50,1.40,2.55,1,1,1,3.20,0,1
47,3.45,2.00,2.95,1.49,7.00,0.50,1.89,1.69,1.50,1.39,2.60,1,1,1,3.20,0,1
48,3.45,2.00,2.95,4.70,2.35,1.50,1.86,1.71,1.50,1.38,2.65,1,1,1,2.10,1,1
49,3.45,2.00,2.95,5.00,2.45,1.50,1.73,1.84,1.50,1.30,3.00,1,1,1,1.95,1,1
50,3.45,2.00,2.95,5.50,2.55,1.50,1.62,1.99,1.50,1.22,3.40,1,1,1,1.81,1,1
51,3.45,2.00,2.95,5.50,2.55,1.50,1.60,2.00,1.50,1.21,3.45,1,1,1,1.79,1,1
