min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.50,2.65,17.0,1.57,4.45,1.50,1.43,2.60,2.50,1.48,2.45,3.50,1.61,2.10,4.00,0,0
2,1.50,2.65,17.0,1.57,4.45,1.50,1.43,2.60,2.50,1.48,2.45,3.50,1.61,2.10,4.00,0,0
3,1.50,2.65,17.0,1.57,4.45,1.50,1.43,2.60,2.50,1.48,2.45,3.50,1.61,2.10,4.00,0,0
4,1.50,2.65,17.0,1.57,4.45,1.50,1.43,2.60,2.50,1.48,2.45,3.50,1.61,2.10,4.00,0,0
5,1.50,2.65,17.0,1.57,4.45,1.50,1.43,2.60,2.50,1.48,2.45,3.50,1.61,2.10,4.00,0,0
6,1.50,2.70,17.0,1.57,4.45,1.50,1.43,2.65,2.50,1.46,2.50,3.50,1.59,2.15,4.00,0,0
7,1.51,2.70,17.0,1.58,4.50,1.50,1.42,2.70,1.50,2.50,1.45,3.50,1.57,2.20,4.00,0,0
8,1.51,2.70,16.0,1.58,4.45,1.50,1.41,2.70,1.50,2.50,1.47,3.50,1.55,2.20,3.95,0,0
9,1.54,2.60,16.0,1.65,4.15,1.50,1.43,2.60,1.50,2.35,1.51,3.50,1.53,2.30,3.85,0,0
10,1.54,2.60,16.0,1.65,4.10,1.50,1.42,2.65,1.50,2.30,1.52,3.50,1.51,2.35,3.85,0,0
11,1.54,2.60,15.0,1.66,4.10,1.50,1.41,2.70,1.50,2.30,1.53,3.50,1.50,2.40,3.80,0,0
12,1.55,2.60,15.0,1.67,4.10,1.50,1.40,2.75,1.50,2.25,1.55,1,1,1,3.80,0,0
13,1.55,2.60,15.0,1.67,4.10,1.50,1.39,2.80,1.50,2.20,1.56,1,1,1,3.75,0,0
14,1.55,2.60,14.0,1.68,4.10,1.50,1.38,2.80,1.50,2.15,1.58,1,1,1,3.75,0,0
15,1.55,2.60,14.0,1.69,4.10,1.50,1.37,2.85,1.50,2.10,1.60,1,1,1,3.70,0,0
16,1.56,2.60,14.0,1.69,4.10,0.50,2.90,1.36,1.50,2.10,1.62,1,1,1,3.70,0,0
17,1.56,2.60,13.0,1.70,4.10,0.50,2.85,1.37,1.50,2.05,1.63,1,1,1,3.65,0,0
18,1.56,2.60,13.0,1.71,4.10,0.50,2.85,1.38,1.50,2.00,1.65,1,1,1,3.65,0,0
19,1.56,2.60,13.0,1.71,4.10,0.50,2.80,1.39,1.50,2.00,1.68,1,1,1,3.60,0,0
