min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.79,2.25,8.50,2.15,3.10,0.50,2.70,1.36,1.50,1.47,2.30,1,1,1,3.05,0,0
2,1.79,2.25,8.50,2.15,3.10,0.50,2.70,1.36,1.50,1.47,2.30,1,1,1,3.05,0,0
4,1.79,2.25,8.50,2.15,3.10,0.50,2.70,1.36,1.50,1.47,2.30,1,1,1,3.05,0,0
5,1.79,2.25,8.50,2.15,3.10,0.50,2.70,1.36,1.50,1.47,2.30,1,1,1,3.05,0,0
7,1.80,2.25,8.00,2.20,3.10,0.50,2.65,1.38,1.50,1.45,2.40,1,1,1,3.00,0,0
9,1.81,2.25,8.00,2.20,3.10,0.50,2.60,1.40,1.50,1.43,2.45,1,1,1,3.00,0,0
10,1.81,2.25,7.50,2.20,3.10,0.50,2.55,1.41,1.50,1.42,2.50,1,1,1,2.95,0,0
11,1.82,2.30,7.50,2.20,3.10,0.50,2.50,1.42,1.50,1.41,2.50,1,1,1,2.95,0,0
12,1.83,2.30,7.00,2.20,3.10,0.50,2.50,1.42,1.50,1.40,2.55,1,1,1,2.95,0,0
13,1.83,2.30,7.00,2.20,3.10,0.50,2.45,1.43,1.50,1.39,2.60,1,1,1,2.90,0,0
14,1.84,2.30,7.00,2.25,3.10,0.50,2.40,1.44,1.50,1.38,2.65,1,1,1,2.90,0,0
15,1.85,2.30,6.50,2.25,3.15,0.50,2.40,1.45,1.50,1.37,2.70,1.50,2.40,1.44,2.90,0,0
16,1.85,2.30,6.50,2.25,3.15,0.50,2.35,1.46,1.50,1.36,2.70,1.50,2.40,1.45,2.85,0,0
17,1.86,2.30,6.50,2.30,3.15,0.50,2.30,1.47,1.50,1.35,2.75,1.50,2.35,1.46,2.85,0,0
18,1.87,2.35,6.00,2.30,3.20,0.50,2.30,1.48,1.50,1.34,2.80,1.50,2.30,1.48,2.80,0,0
19,1.88,2.35,6.00,2.30,3.20,0.50,2.25,1.49,0.50,2.85,1.33,1.50,2.25,1.49,2.80,0,0
20,1.88,2.35,6.00,2.30,3.20,0.50,2.25,1.50,0.50,2.80,1.34,1.50,2.20,1.51,2.80,0,0
21,1.89,2.35,6.00,2.30,3.20,0.50,2.20,1.51,0.50,2.75,1.35,1.50,2.20,1.52,2.75,0,0
22,1.90,2.40,5.50,2.30,3.20,0.50,2.20,1.52,0.50,2.70,1.36,1.50,2.15,1.54,2.75,0,0
23,1.91,2.40,5.50,2.30,3.20,0.50,2.15,1.54,0.50,2.70,1.37,1.50,2.10,1.56,2.70,0,0
24,1.92,2.40,5.00,2.35,3.20,0.50,2.10,1.55,0.50,2.65,1.38,1.50,2.05,1.58,2.70,0,0
25,1.93,2.40,5.00,2.35,3.25,0.50,2.10,1.56,0.50,2.60,1.39,1.50,2.00,1.60,2.70,0,0
26,1.94,2.40,5.00,6.00,1.51,1.50,2.05,1.57,0.50,2.55,1.40,1,1,1,3.40,1,0
27,1.94,2.40,5.00,5.50,1.54,1.50,1.91,1.68,0.50,2.50,1.41,1,1,1,3.30,1,0
28,1.94,2.40,5.00,5.50,1.53,1.50,1.88,1.69,0.50,2.50,1.42,1,1,1,3.30,1,0
29,1.94,2.40,5.00,6.00,1.53,1.50,1.86,1.71,0.50,2.45,1.44,1,1,1,3.30,1,0
30,1.94,2.40,5.00,6.00,1.52,1.50,1.84,1.73,0.50,2.40,1.45,1,1,1,3.30,1,0
31,1.94,2.40,5.00,6.00,1.52,1.50,1.82,1.75,0.50,2.35,1.46,1,1,1,3.30,1,0
32,1.94,2.40,5.00,6.00,1.51,1.50,1.79,1.77,0.50,2.30,1.47,1,1,1,3.25,1,0
33,1.94,2.40,5.00,6.00,1.50,1.50,1.77,1.79,0.50,2.30,1.48,1,1,1,3.25,1,0
34,1.94,2.40,5.00,6.50,1.50,1.50,1.75,1.81,0.50,2.25,1.50,1,1,1,3.25,1,0
35,1.94,2.40,5.00,6.50,1.50,1.50,1.73,1.84,0.50,2.20,1.51,1,1,1,3.25,1,0
36,1.94,2.40,5.00,6.50,1.49,1.50,1.71,1.86,0.50,2.20,1.52,1,1,1,3.25,1,0
37,1.94,2.40,5.00,7.00,1.48,1.50,1.69,1.89,0.50,2.15,1.54,1,1,1,3.25,1,0
38,1.94,2.40,5.00,7.00,1.48,1.50,1.67,1.91,0.50,2.10,1.55,1,1,1,3.25,1,0
39,1.94,2.40,5.00,7.00,1.48,1.50,1.66,1.94,0.50,2.05,1.57,1,1,1,3.25,1,0
40,1.94,2.40,5.00,7.00,1.47,1.50,1.64,1.97,0.50,2.05,1.58,1,1,1,3.25,1,0
41,1.94,2.40,5.00,7.50,1.46,1.50,1.62,1.99,0.50,2.00,1.60,1,1,1,3.30,1,0
42,1.94,2.40,5.00,7.50,1.46,1.50,1.60,2.00,0.50,2.00,1.62,1,1,1,3.25,1,0
43,1.94,2.40,5.00,8.00,1.45,1.50,1.59,2.05,0.50,1.97,1.64,1,1,1,3.30,1,0
44,1.94,2.40,5.00,8.00,1.44,1.50,1.57,2.05,0.50,1.93,1.66,1,1,1,3.30,1,0
45,1.94,2.40,5.00,7.00,1.49,1.50,1.60,2.00,0.50,2.05,1.57,1,1,1,3.20,1,0
46,1.94,2.40,5.00,7.00,1.49,1.50,1.58,2.05,0.50,2.00,1.59,1,1,1,3.20,1,0
47,1.94,2.40,5.00,7.50,1.48,1.50,1.56,2.10,0.50,2.00,1.61,1,1,1,3.20,1,0
48,1.94,2.40,5.00,29.0,1.04,2.50,1.54,2.10,0.50,1.97,1.63,3.50,1.46,2.35,7.00,2,0
49,1.94,2.40,5.00,31.0,1.04,2.50,1.53,2.15,0.50,1.93,1.66,3.50,1.44,2.40,7.50,2,0
50,1.94,2.40,5.00,32.0,1.03,2.50,1.51,2.20,0.50,1.90,1.68,3.50,1.42,2.50,7.50,2,0
51,1.94,2.40,5.00,34.0,1.03,2.50,1.50,2.25,0.50,1.87,1.71,3.50,1.40,2.55,7.50,2,0
