min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.92,2.05,9.00,1,1,1.50,1.37,2.70,1.50,1.42,2.50,1,1,1,1,0,0
2,1.92,2.05,9.00,1,1,1.50,1.37,2.70,1.50,1.42,2.50,1,1,1,1,0,0
3,1.92,2.05,9.00,1.41,6.50,1.50,1.37,2.70,2.50,1.42,2.50,3.50,1.59,2.00,3.90,0,1
4,1.92,2.05,9.00,1.41,6.50,1.50,1.37,2.70,2.50,1.42,2.50,3.50,1.59,2.00,3.90,0,1
5,1.92,2.05,9.00,1.41,6.50,1.50,1.37,2.70,2.50,1.42,2.50,3.50,1.59,2.00,3.90,0,1
6,1.92,2.05,9.00,1.41,6.50,1.50,1.36,2.75,2.50,1.41,2.50,3.50,1.57,2.05,3.90,0,1
7,1.92,2.05,9.00,1.47,6.00,0.50,2.65,1.37,1.50,2.40,1.45,1,1,1,3.55,0,1
8,1.92,2.05,9.00,1.46,6.00,0.50,2.60,1.38,1.50,2.40,1.45,1,1,1,3.55,0,1
9,1.92,2.05,9.00,1.46,6.00,0.50,2.60,1.39,1.50,2.35,1.46,1,1,1,3.55,0,1
10,1.92,2.05,9.00,1.46,6.00,0.50,2.55,1.40,1.50,2.30,1.47,1,1,1,3.55,0,1
11,1.92,2.05,9.00,1.46,6.50,0.50,2.50,1.41,1.50,2.30,1.48,1,1,1,3.55,0,1
12,1.92,2.05,9.00,1.45,6.50,0.50,2.50,1.42,1.50,2.25,1.49,1,1,1,3.55,0,1
13,1.92,2.05,9.00,1.41,7.00,0.50,2.45,1.43,1.50,2.45,1.43,1,1,1,3.70,0,1
14,1.92,2.05,9.00,1.40,7.00,0.50,2.45,1.44,1.50,2.45,1.44,1,1,1,3.70,0,1
15,1.92,2.05,9.00,1.40,7.00,0.50,2.40,1.45,1.50,2.40,1.45,1,1,1,3.70,0,1
16,1.92,2.05,9.00,1.40,7.00,0.50,2.40,1.45,1.50,2.40,1.45,1,1,1,3.70,0,1
17,1.92,2.05,9.00,1.04,25.0,0.50,2.35,1.46,2.50,2.35,1.46,3.50,2.05,1.57,7.50,0,2
18,1.92,2.05,9.00,1.04,26.0,0.50,2.30,1.47,2.50,2.30,1.47,3.50,2.00,1.59,7.50,0,2
19,1.92,2.05,9.00,1.05,23.0,0.50,2.45,1.43,2.50,2.40,1.45,3.50,2.15,1.53,7.00,0,2
20,1.92,2.05,9.00,1.05,23.0,0.50,2.40,1.44,2.50,2.35,1.46,3.50,2.10,1.54,7.00,0,2
21,1.92,2.05,9.00,1.04,23.0,0.50,2.40,1.45,2.50,2.30,1.47,3.50,2.10,1.56,7.00,0,2
22,1.92,2.05,9.00,1.04,24.0,0.50,2.35,1.46,2.50,2.30,1.48,3.50,2.05,1.58,7.50,0,2
23,1.92,2.05,9.00,1.04,26.0,0.50,2.30,1.47,2.50,2.25,1.49,3.50,2.00,1.60,7.50,0,2
24,1.92,2.05,9.00,1.04,26.0,0.50,2.30,1.48,2.50,2.20,1.50,3.50,1.99,1.62,7.50,0,2
25,1.92,2.05,9.00,-,-,0.50,2.40,1.45,3.50,2.40,1.45,4.50,2.10,1.54,-,0,3
26,1.92,2.05,9.00,-,-,0.50,2.35,1.46,3.50,2.35,1.46,4.50,2.10,1.56,-,0,3
27,1.92,2.05,9.00,-,-,0.50,2.30,1.47,3.50,2.30,1.47,4.50,2.05,1.58,-,0,3
28,1.92,2.05,9.00,-,-,0.50,2.30,1.48,3.50,2.30,1.48,4.50,2.00,1.61,-,0,3
29,1.92,2.05,9.00,-,-,0.50,2.25,1.49,3.50,2.25,1.49,4.50,1.99,1.63,-,0,3
30,1.92,2.05,9.00,-,-,0.50,2.20,1.51,3.50,2.20,1.51,4.50,1.94,1.65,-,0,3
31,1.92,2.05,9.00,-,-,0.50,2.20,1.52,3.50,2.20,1.52,4.50,1.91,1.67,-,0,3
32,1.92,2.05,9.00,-,-,0.50,2.30,1.47,3.50,2.30,1.47,4.50,2.05,1.58,-,0,3
33,1.92,2.05,9.00,-,-,0.50,2.30,1.48,3.50,2.30,1.48,4.50,2.00,1.61,-,0,3
34,1.92,2.05,9.00,-,-,0.50,2.25,1.50,3.50,2.25,1.50,4.50,1.98,1.63,-,0,3
35,1.92,2.05,9.00,-,-,0.50,2.20,1.51,3.50,2.20,1.51,4.50,1.94,1.65,-,0,3
36,1.92,2.05,9.00,-,-,0.50,2.20,1.52,3.50,2.20,1.52,4.50,1.90,1.68,-,0,3
37,1.92,2.05,9.00,-,-,0.50,2.15,1.54,3.50,2.15,1.54,4.50,1.86,1.71,-,0,3
38,1.92,2.05,9.00,-,-,0.50,2.10,1.55,3.50,2.10,1.55,4.50,1.82,1.75,-,0,3
39,1.92,2.05,9.00,-,-,0.50,2.05,1.57,3.50,2.15,1.54,4.50,1.82,1.74,-,0,3
40,1.92,2.05,9.00,-,-,0.50,2.05,1.58,3.50,2.10,1.55,4.50,1.79,1.78,-,0,3
41,1.92,2.05,9.00,-,-,0.50,2.00,1.60,3.50,2.05,1.57,4.50,1.75,1.81,-,0,3
42,1.92,2.05,9.00,-,-,0.50,2.00,1.62,3.50,2.05,1.58,4.50,1.72,1.85,-,0,3
43,1.92,2.05,9.00,-,-,0.50,1.97,1.64,3.50,2.00,1.60,4.50,1.69,1.89,-,0,3
44,1.92,2.05,9.00,-,-,0.50,1.93,1.66,3.50,2.00,1.62,4.50,1.66,1.93,-,0,3
