min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.60,12.0,3.50,1.83,1.50,1.74,1.83,0.50,2.75,1.35,1,1,1,3.45,0,0
2,2.40,1.60,12.0,3.50,1.83,1.50,1.74,1.83,0.50,2.75,1.35,1,1,1,3.45,0,0
3,2.40,1.60,12.0,3.50,1.83,1.50,1.74,1.83,0.50,2.75,1.35,1,1,1,3.45,0,0
4,2.40,1.60,12.0,3.50,1.83,1.50,1.74,1.83,0.50,2.75,1.35,1,1,1,3.45,0,0
5,2.40,1.60,12.0,3.50,1.83,1.50,1.74,1.83,0.50,2.75,1.35,1,1,1,3.45,0,0
6,2.40,1.61,11.5,3.50,1.83,1.50,1.72,1.85,0.50,2.70,1.36,1,1,1,3.40,0,0
7,2.40,1.61,11.0,3.50,1.84,1.50,1.70,1.88,0.50,2.70,1.37,1,1,1,3.40,0,0
8,2.40,1.61,11.0,3.50,1.84,1.50,1.68,1.91,0.50,2.65,1.38,1,1,1,3.40,0,0
9,2.45,1.62,10.5,3.50,1.85,1.50,1.66,1.93,0.50,2.60,1.38,1,1,1,3.35,0,0
10,2.45,1.62,10.5,3.55,1.85,1.50,1.64,1.96,0.50,2.60,1.39,1,1,1,3.35,0,0
11,2.55,1.60,9.50,3.70,1.80,1.50,1.62,1.99,0.50,2.40,1.44,1,1,1,3.30,0,0
12,2.55,1.60,9.50,3.70,1.81,1.50,1.61,2.00,0.50,2.40,1.45,1,1,1,3.30,0,0
13,2.55,1.61,9.00,3.70,1.81,1.50,1.59,2.00,0.50,2.35,1.46,1,1,1,3.25,0,0
14,2.55,1.61,9.00,3.70,1.82,1.50,1.57,2.05,0.50,2.30,1.47,1,1,1,3.20,0,0
15,2.55,1.62,8.50,3.75,1.82,1.50,1.56,2.10,0.50,2.30,1.48,1,1,1,3.20,0,0
16,2.60,1.62,8.50,3.75,1.84,1.50,1.54,2.10,0.50,2.25,1.49,1,1,1,3.20,0,0
17,2.60,1.63,8.00,3.75,1.84,1.50,1.53,2.15,0.50,2.25,1.50,1,1,1,3.15,0,0
18,2.60,1.63,8.00,3.70,1.86,1.50,1.51,2.20,0.50,2.20,1.51,1,1,1,3.15,0,0
19,2.60,1.64,8.00,3.70,1.86,1.50,1.50,2.25,0.50,2.20,1.52,1,1,1,3.10,0,0
20,2.60,1.64,7.50,3.75,1.87,1.50,1.49,2.25,0.50,2.15,1.53,1,1,1,3.10,0,0
21,2.80,1.70,5.50,3.90,1.95,1.50,1.37,2.70,0.50,1.88,1.70,1.50,2.10,1.56,2.85,0,0
22,2.80,1.70,5.50,3.90,1.96,1.50,1.36,2.75,0.50,1.85,1.72,1.50,2.05,1.58,2.85,0,0
23,2.80,1.71,5.00,3.90,1.97,1.50,1.34,2.80,0.50,1.83,1.73,1.50,2.00,1.60,2.80,0,0
24,2.80,1.72,5.00,3.95,1.98,1.50,1.34,2.80,0.50,1.81,1.75,1.50,1.99,1.62,2.80,0,0
25,2.80,1.73,5.00,3.95,1.99,0.50,2.80,1.34,0.50,1.79,1.77,1.50,1.95,1.65,2.75,0,0
26,2.85,1.74,5.00,3.95,2.00,0.50,2.75,1.35,0.50,1.77,1.79,1.50,1.93,1.66,2.75,0,0
