min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.59,2.50,8.50,1.81,3.55,0.50,2.30,1.43,1.50,1.52,2.05,1,1,1,3.15,0,0
4,1.59,2.50,8.50,1.81,3.55,0.50,2.30,1.43,1.50,1.52,2.05,1,1,1,3.15,0,0
5,1.59,2.50,8.50,1.81,3.55,0.50,2.30,1.43,1.50,1.52,2.05,1,1,1,3.15,0,0
6,1.61,2.60,7.00,1.84,3.75,0.50,2.00,1.54,1.50,1.43,2.30,1,1,1,3.00,0,0
7,1.62,2.70,6.00,1.16,12.0,0.50,1.92,1.60,2.50,1.39,2.45,1,1,1,4.95,0,1
8,1.62,2.70,6.00,1.15,12.0,0.50,1.90,1.62,2.50,1.38,2.45,1,1,1,4.95,0,1
9,1.62,2.70,6.00,1.16,12.0,0.50,1.88,1.63,2.50,1.37,2.50,1,1,1,4.95,0,1
10,1.62,2.70,6.00,1.15,12.0,0.50,1.86,1.64,2.50,1.36,2.55,1,1,1,4.90,0,1
11,1.62,2.70,6.00,1.15,12.0,0.50,1.84,1.66,2.50,1.35,2.60,1,1,1,4.90,0,1
12,1.62,2.70,6.00,1.15,13.0,0.50,1.82,1.67,2.50,1.34,2.60,1,1,1,4.90,0,1
13,1.62,2.70,6.00,1.15,13.0,0.50,1.81,1.68,2.50,1.33,2.65,1,1,1,4.90,0,1
14,1.62,2.70,6.00,1.15,13.0,0.50,1.79,1.70,2.50,1.32,2.70,1,1,1,4.90,0,1
15,1.62,2.70,6.00,1.15,13.0,0.50,1.77,1.71,2.50,1.31,2.75,1,1,1,4.90,0,1
16,1.62,2.70,6.00,1.15,13.0,0.50,1.76,1.73,1.50,2.80,1.30,1,1,1,4.90,0,1
17,1.62,2.70,6.00,1.14,13.0,0.50,1.74,1.74,1.50,2.75,1.31,1,1,1,4.90,0,1
18,1.62,2.70,6.00,1.15,13.0,0.50,1.72,1.76,1.50,2.70,1.32,1,1,1,4.90,0,1
19,1.62,2.70,6.00,1.15,13.0,0.50,1.71,1.78,1.50,2.65,1.33,1,1,1,4.90,0,1
20,1.62,2.70,6.00,1.15,14.0,0.50,1.69,1.80,1.50,2.60,1.34,1,1,1,4.90,0,1
21,1.62,2.70,6.00,1.14,14.0,0.50,1.68,1.82,1.50,2.60,1.35,1,1,1,4.85,0,1
22,1.62,2.70,6.00,1.14,14.0,0.50,1.66,1.83,1.50,2.55,1.36,1,1,1,4.85,0,1
23,1.62,2.70,6.00,1.14,14.0,0.50,1.65,1.85,1.50,2.50,1.37,1,1,1,4.85,0,1
24,1.62,2.70,6.00,1.14,14.0,0.50,1.63,1.88,1.50,2.45,1.38,1,1,1,4.85,0,1
25,1.62,2.70,6.00,1.14,14.0,0.50,1.62,1.89,1.50,2.40,1.39,1,1,1,4.80,0,1
26,1.62,2.70,6.00,1.13,15.0,0.50,1.60,1.92,1.50,2.40,1.40,1,1,1,4.80,0,1
27,1.62,2.70,6.00,1.13,15.0,0.50,1.59,1.94,1.50,2.35,1.41,1,1,1,4.80,0,1
28,1.62,2.70,6.00,1.13,15.0,0.50,1.58,1.96,1.50,2.30,1.42,1,1,1,4.80,0,1
29,1.62,2.70,6.00,1.13,15.0,0.50,1.57,1.98,1.50,2.30,1.43,1,1,1,4.80,0,1
30,1.62,2.70,6.00,1.13,15.0,0.50,1.55,2.00,1.50,2.25,1.44,1,1,1,4.80,0,1
31,1.62,2.70,6.00,1.13,15.0,0.50,1.54,2.00,1.50,2.20,1.46,1,1,1,4.80,0,1
32,1.62,2.70,6.00,1.13,15.0,0.50,1.53,2.05,1.50,2.20,1.47,1,1,1,4.80,0,1
33,1.62,2.70,6.00,1.12,15.0,0.50,1.51,2.05,1.50,2.15,1.48,1,1,1,4.80,0,1
34,1.62,2.70,6.00,1.13,16.0,0.50,1.50,2.10,1.50,2.10,1.49,1,1,1,4.80,0,1
35,1.62,2.70,6.00,1.12,16.0,0.50,1.49,2.10,1.50,2.10,1.51,1,1,1,4.80,0,1
36,1.62,2.70,6.00,1.15,13.0,0.50,1.57,1.98,1.50,2.05,1.52,1,1,1,4.75,0,1
37,1.62,2.70,6.00,1.15,13.0,0.50,1.56,2.00,1.50,2.00,1.54,1,1,1,4.75,0,1
38,1.62,2.70,6.00,1.15,13.0,0.50,1.54,2.00,1.50,2.00,1.55,1,1,1,4.80,0,1
39,1.62,2.70,6.00,1.15,13.0,0.50,1.53,2.05,1.50,1.98,1.57,1,1,1,4.80,0,1
40,1.62,2.70,6.00,1.14,13.0,0.50,1.51,2.10,1.50,1.95,1.59,1,1,1,4.80,0,1
41,1.62,2.70,6.00,1.14,14.0,0.50,1.50,2.10,1.50,1.92,1.60,1,1,1,4.80,0,1
42,1.62,2.70,6.00,1.12,14.0,0.50,1.49,2.15,1.50,2.00,1.55,1,1,1,5.00,0,1
43,1.62,2.70,6.00,1.12,15.0,0.50,1.47,2.15,1.50,1.98,1.57,1,1,1,5.00,0,1
44,1.62,2.70,6.00,1.12,15.0,0.50,1.46,2.20,1.50,1.95,1.59,1,1,1,5.00,0,1
45,1.62,2.70,6.00,1.12,15.0,0.50,1.45,2.25,1.50,1.92,1.60,1,1,1,5.00,0,1
46,1.62,2.70,6.00,1.11,15.0,0.50,1.44,2.30,1.50,1.88,1.63,1,1,1,5.00,0,1
47,1.62,2.70,6.00,1.11,15.0,0.50,1.42,2.30,1.50,1.85,1.65,1,1,1,5.00,0,1
48,1.62,2.70,6.00,1.11,16.0,0.50,1.41,2.35,1.50,1.82,1.68,1,1,1,5.00,0,1
49,1.62,2.70,6.00,1.10,16.0,0.50,1.40,2.40,1.50,1.79,1.70,1,1,1,5.00,0,1
50,1.62,2.70,6.00,1.10,16.0,0.50,1.39,2.45,1.50,1.76,1.73,1,1,1,5.00,0,1
51,1.62,2.70,6.00,1.10,17.0,0.50,1.37,2.50,1.50,1.73,1.76,1.50,2.70,1.32,5.00,0,1
52,1.62,2.70,6.00,1.10,17.0,0.50,1.36,2.50,1.50,1.70,1.79,1.50,2.65,1.33,5.00,0,1
53,1.62,2.70,6.00,1.09,17.0,0.50,1.35,2.55,1.50,1.67,1.82,1.50,2.60,1.35,5.00,0,1
54,1.62,2.70,6.00,1.09,18.0,0.50,1.34,2.60,1.50,1.65,1.85,1.50,2.50,1.36,5.00,0,1
55,1.62,2.70,6.00,1.09,18.0,0.50,1.33,2.65,1.50,1.62,1.89,1.50,2.45,1.38,5.00,0,1
56,1.62,2.70,6.00,1.09,18.0,0.50,1.32,2.70,1.50,1.60,1.93,1.50,2.40,1.40,5.00,0,1
57,1.62,2.70,6.00,1.08,19.0,0.50,1.30,2.80,1.50,1.58,1.96,1.50,2.35,1.41,5.00,0,1
58,1.62,2.70,6.00,1.08,20.0,0.50,1.29,2.80,1.50,1.55,2.00,1.50,2.30,1.43,5.00,0,1
59,1.62,2.70,6.00,1.08,20.0,0.50,1.28,2.90,1.50,1.53,2.05,1.50,2.20,1.45,5.00,0,1
60,1.62,2.70,6.00,1.07,21.0,0.50,1.26,2.95,1.50,1.51,2.10,1.50,2.15,1.48,5.00,0,1
61,1.62,2.70,6.00,1.10,16.0,0.50,1.30,2.80,1.50,1.44,2.25,1.50,2.10,1.50,5.00,0,1
62,1.62,2.70,6.00,1.09,17.0,0.50,1.29,2.85,1.50,1.42,2.30,1.50,2.05,1.52,5.00,0,1
63,1.62,2.70,6.00,1.09,18.0,0.50,1.27,2.90,1.50,1.40,2.40,1.50,2.00,1.55,5.00,0,1
64,1.62,2.70,6.00,1.08,18.0,0.50,1.26,3.00,1.50,1.39,2.45,1.50,1.95,1.58,5.00,0,1
65,1.62,2.70,6.00,1.08,18.0,0.50,1.24,3.05,1.50,1.37,2.50,1.50,1.90,1.62,5.00,0,1
66,1.62,2.70,6.00,1.08,19.0,0.50,1.23,3.15,1.50,1.35,2.55,1.50,1.84,1.65,5.00,0,1
67,1.62,2.70,6.00,1.07,19.0,0.50,1.21,3.20,1.50,1.34,2.65,1.50,1.80,1.69,5.50,0,1
68,1.62,2.70,6.00,1.06,20.0,0.50,1.20,3.30,1.50,1.32,2.70,1.50,1.75,1.74,5.50,0,1
69,1.62,2.70,6.00,1.06,21.0,0.50,1.18,3.40,1.50,1.30,2.80,1.50,1.70,1.78,5.50,0,1
70,1.62,2.70,6.00,1.05,21.0,0.50,1.17,3.50,1.50,1.28,2.90,1.50,1.66,1.84,5.50,0,1
71,1.62,2.70,6.00,1.05,22.0,0.50,1.15,3.65,1.50,1.26,2.95,1.50,1.61,1.90,6.00,0,1
72,1.62,2.70,6.00,1.05,23.0,0.50,1.14,3.75,1.50,1.24,3.05,1.50,1.58,1.97,6.00,0,1
