min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.40,3.15,16.0,1.41,6.00,0.50,2.60,1.44,2.50,1.55,2.25,3.50,1.55,2.20,4.30,0,0
2,1.40,3.15,16.0,1.41,6.00,0.50,2.60,1.44,2.50,1.55,2.25,3.50,1.55,2.20,4.30,0,0
3,1.40,3.15,16.0,1.41,6.00,0.50,2.60,1.44,2.50,1.55,2.25,3.50,1.55,2.20,4.30,0,0
4,1.40,3.15,16.0,1.41,6.00,0.50,2.60,1.44,2.50,1.55,2.25,3.50,1.55,2.20,4.30,0,0
5,1.40,3.15,16.0,1.41,6.00,0.50,2.60,1.44,2.50,1.55,2.25,3.50,1.55,2.20,4.30,0,0
6,1.40,3.15,16.0,1.42,6.00,0.50,2.55,1.45,2.50,1.53,2.30,3.50,1.53,2.30,4.30,0,0
7,1.40,3.15,16.0,1.42,6.00,0.50,2.50,1.46,2.50,1.52,2.30,3.50,1.51,2.35,4.25,0,0
8,1.41,3.15,15.0,1.43,6.00,0.50,2.50,1.47,2.50,1.50,2.40,3.50,1.49,2.40,4.20,0,0
9,1.41,3.15,15.0,1.43,6.00,0.50,2.45,1.48,2.50,1.49,2.40,1,1,1,4.20,0,0
10,1.41,3.15,15.0,1.44,6.00,0.50,2.40,1.49,2.50,1.47,2.45,1,1,1,4.15,0,0
11,1.41,3.15,14.0,1.44,6.00,0.50,2.40,1.50,2.50,1.46,2.50,1,1,1,4.10,0,0
12,1.41,3.20,14.0,1.44,6.00,0.50,2.35,1.51,1.50,2.50,1.46,1,1,1,4.05,0,0
13,1.42,3.20,14.0,1.45,6.00,0.50,2.30,1.52,1.50,2.45,1.47,1,1,1,4.05,0,0
14,1.42,3.20,13.0,1.45,6.00,0.50,2.30,1.53,1.50,2.40,1.49,1,1,1,4.00,0,0
15,1.42,3.20,13.0,1.46,6.00,0.50,2.30,1.53,1.50,2.40,1.50,1,1,1,4.00,0,0
16,1.42,3.20,13.0,1.47,6.00,0.50,2.25,1.55,1.50,2.30,1.52,1,1,1,3.95,0,0
17,1.43,3.20,12.0,1.47,6.00,0.50,2.20,1.56,1.50,2.30,1.53,1,1,1,3.90,0,0
18,1.43,3.20,12.0,1.48,6.00,0.50,2.20,1.57,1.50,2.25,1.55,1,1,1,3.90,0,0
19,1.43,3.20,12.0,1.49,6.00,0.50,2.15,1.58,1.50,2.20,1.56,1,1,1,3.85,0,0
20,1.44,3.20,11.5,1.49,6.00,0.50,2.15,1.59,1.50,2.15,1.58,1,1,1,3.80,0,0
21,1.44,3.25,11.0,1.50,6.00,0.50,2.10,1.60,1.50,2.10,1.60,1,1,1,3.75,0,0
22,1.44,3.25,11.0,1.50,6.00,0.50,2.10,1.62,1.50,2.10,1.62,1,1,1,3.75,0,0
23,1.45,3.25,10.5,1.51,6.00,0.50,2.05,1.63,1.50,2.05,1.64,1,1,1,3.70,0,0
24,1.45,3.25,10.5,1.51,6.00,0.50,2.05,1.64,1.50,2.00,1.66,1,1,1,3.65,0,0
25,1.45,3.25,10.0,1.52,6.00,0.50,2.00,1.66,1.50,1.99,1.68,1,1,1,3.65,0,0
26,1.46,3.30,10.0,1.52,6.00,0.50,2.00,1.67,1.50,1.95,1.71,1,1,1,3.60,0,0
27,1.46,3.30,9.50,1.53,5.50,0.50,1.98,1.69,1.50,1.92,1.74,1,1,1,3.55,0,0
28,1.46,3.30,9.00,1.54,5.50,0.50,1.96,1.71,1.50,1.88,1.76,1,1,1,3.50,0,0
29,1.47,3.30,9.00,1.54,5.50,0.50,1.93,1.73,1.50,1.85,1.79,1,1,1,3.50,0,0
30,1.47,3.30,8.50,1.55,5.50,0.50,1.91,1.74,1.50,1.82,1.82,1,1,1,3.45,0,0
31,1.48,3.30,8.50,1.56,5.50,0.50,1.89,1.76,1.50,1.79,1.86,1,1,1,3.40,0,0
32,1.48,3.35,8.00,1.57,5.50,0.50,1.86,1.78,1.50,1.76,1.89,1,1,1,3.40,0,0
33,1.49,3.35,8.00,1.58,5.50,0.50,1.84,1.80,1.50,1.73,1.93,1,1,1,3.35,0,0
34,1.49,3.35,7.50,1.58,5.50,0.50,1.82,1.82,1.50,1.70,1.96,1,1,1,3.30,0,0
35,1.50,3.40,7.00,1.59,5.50,0.50,1.79,1.85,1.50,1.68,2.00,1,1,1,3.30,0,0
36,1.51,3.40,7.00,1.60,5.50,0.50,1.77,1.87,1.50,1.65,2.00,1,1,1,3.25,0,0
37,1.51,3.40,7.00,1.61,5.50,0.50,1.75,1.90,1.50,1.63,2.05,1.50,2.45,1.48,3.20,0,0
38,1.52,3.40,6.50,1.62,5.50,0.50,1.73,1.93,1.50,1.60,2.10,1.50,2.40,1.50,3.20,0,0
39,1.53,3.45,6.00,1.63,5.50,0.50,1.71,1.95,1.50,1.58,2.15,1.50,2.30,1.52,3.15,0,0
40,1.53,3.45,6.00,1.64,5.50,0.50,1.69,1.98,1.50,1.56,2.20,1.50,2.30,1.54,3.10,0,0
41,1.54,3.45,6.00,1.65,5.50,0.50,1.68,2.00,1.50,1.54,2.25,1.50,2.20,1.56,3.10,0,0
42,1.55,3.50,5.50,1.66,5.50,0.50,1.66,2.00,1.50,1.52,2.30,1.50,2.15,1.59,3.05,0,0
43,1.56,3.50,5.50,1.68,5.50,0.50,1.64,2.05,1.50,1.50,2.40,1.50,2.10,1.61,3.00,0,0
44,1.57,3.50,5.00,1.69,5.50,0.50,1.62,2.10,1.50,1.48,2.45,1.50,2.05,1.64,2.95,0,0
45,1.58,3.55,5.00,1.71,5.50,0.50,1.60,2.10,1.50,1.46,2.50,1.50,2.00,1.67,2.90,0,0
46,1.59,3.55,5.00,1.72,5.50,0.50,1.59,2.15,1.50,1.45,2.55,1.50,1.97,1.70,2.90,0,0
47,1.60,3.60,4.95,1.73,5.50,0.50,1.57,2.20,1.50,1.43,2.60,1.50,1.92,1.74,2.85,0,0
49,1.62,3.65,4.60,1.77,5.50,0.50,1.54,2.25,1.50,1.40,2.75,1.50,1.82,1.82,2.80,0,0
50,1.63,3.65,4.50,1.79,5.50,0.50,1.53,2.30,1.50,1.38,2.85,1.50,1.78,1.86,2.75,0,0
51,1.64,3.70,4.35,1.11,23.0,0.50,1.56,2.20,2.50,1.39,2.80,1,1,1,5.50,0,1
52,1.64,3.70,4.35,1.12,23.0,0.50,1.55,2.25,2.50,1.37,2.85,1,1,1,5.50,0,1
53,1.64,3.70,4.35,1.11,24.0,0.50,1.53,2.30,1.50,2.85,1.37,1,1,1,5.50,0,1
54,1.64,3.70,4.35,1.11,24.0,0.50,1.51,2.35,1.50,2.80,1.39,1,1,1,5.50,0,1
55,1.64,3.70,4.35,1.11,24.0,0.50,1.50,2.40,1.50,2.70,1.40,1,1,1,5.50,0,1
56,1.64,3.70,4.35,1.11,25.0,0.50,1.48,2.45,1.50,2.65,1.42,1,1,1,5.50,0,1
57,1.64,3.70,4.35,1.11,25.0,0.50,1.47,2.50,1.50,2.60,1.44,1,1,1,5.50,0,1
58,1.64,3.70,4.35,1.11,26.0,0.50,1.45,2.55,1.50,2.50,1.46,1,1,1,5.50,0,1
59,1.64,3.70,4.35,1.11,27.0,0.50,1.44,2.60,1.50,2.40,1.49,1,1,1,5.50,0,1
60,1.64,3.70,4.35,1.11,28.0,0.50,1.42,2.65,1.50,2.35,1.51,1,1,1,5.50,0,1
61,1.64,3.70,4.35,1.10,29.0,0.50,1.41,2.70,1.50,2.30,1.53,1,1,1,5.50,0,1
62,1.64,3.70,4.35,1.10,30.0,0.50,1.39,2.75,1.50,2.25,1.55,1,1,1,5.50,0,1
63,1.64,3.70,4.35,1.10,30.0,0.50,1.38,2.85,1.50,2.15,1.58,1,1,1,5.50,0,1
64,1.64,3.70,4.35,1.10,32.0,0.50,1.36,2.90,1.50,2.10,1.61,1,1,1,5.50,0,1
65,1.64,3.70,4.35,1.10,34.0,0.50,1.34,3.00,1.50,2.05,1.64,1,1,1,5.50,0,1
66,1.64,3.70,4.35,1.10,36.0,0.50,1.33,3.05,1.50,2.00,1.68,1.50,2.90,1.37,5.50,0,1
67,1.64,3.70,4.35,1.09,37.0,0.50,1.31,3.15,1.50,1.94,1.72,1.50,2.75,1.39,5.50,0,1
68,1.64,3.70,4.35,1.09,40.0,0.50,1.30,3.20,1.50,1.89,1.76,1.50,2.65,1.42,5.50,0,1
69,1.64,3.70,4.35,1.09,43.0,0.50,1.28,3.30,1.50,1.83,1.81,1.50,2.55,1.44,5.50,0,1
70,1.64,3.70,4.35,1.09,47.0,0.50,1.26,3.40,1.50,1.78,1.86,1.50,2.45,1.47,5.50,0,1
71,1.64,3.70,4.35,1.08,52.0,0.50,1.25,3.50,1.50,1.73,1.92,1.50,2.40,1.50,6.00,0,1
72,1.64,3.70,4.35,1.08,55.0,0.50,1.23,3.65,1.50,1.69,1.99,1.50,2.30,1.54,6.00,0,1
73,1.64,3.70,4.35,1.08,60.0,0.50,1.21,3.75,1.50,1.65,2.05,1.50,2.20,1.57,6.00,0,1
74,1.64,3.70,4.35,1.07,60.0,0.50,1.19,3.90,1.50,1.60,2.10,1.50,2.10,1.62,6.00,0,1
75,1.64,3.70,4.35,1.07,60.0,0.50,1.18,4.05,1.50,1.57,2.20,1.50,2.00,1.67,6.00,0,1
76,1.64,3.70,4.35,1.07,60.0,0.50,1.16,4.25,1.50,1.53,2.30,1.50,1.93,1.73,6.00,0,1
77,1.64,3.70,4.35,1.06,60.0,0.50,1.14,4.45,1.50,1.49,2.40,1.50,1.85,1.79,6.00,0,1
78,1.64,3.70,4.35,1.06,60.0,0.50,1.13,4.65,1.50,1.46,2.50,1.50,1.78,1.87,6.50,0,1
79,1.64,3.70,4.35,1.06,60.0,0.50,1.11,4.90,1.50,1.43,2.65,1.50,1.71,1.95,6.50,0,1
80,1.64,3.70,4.35,1.05,43.0,0.50,1.10,5.00,1.50,1.40,2.75,1.50,1.65,2.00,6.50,0,1
81,1.64,3.70,4.35,1.05,49.0,0.50,1.08,5.50,1.50,1.36,2.90,1.50,1.59,2.15,7.00,0,1
82,1.64,3.70,4.35,1.05,51.0,0.50,1.07,6.00,1.50,1.33,3.10,1.50,1.53,2.30,7.00,0,1
83,1.64,3.70,4.35,1.05,54.0,0.50,1.06,6.00,1.50,1.29,3.25,1.50,1.48,2.45,7.50,0,1
84,1.64,3.70,4.35,1.04,60.0,0.50,1.05,7.00,1.50,1.26,3.45,1.50,1.43,2.60,8.00,0,1
85,1.64,3.70,4.35,1.04,60.0,1,1,1,1.50,1.15,4.35,1.50,1.26,3.40,10.5,0,1
86,1.64,3.70,4.35,1.03,60.0,1,1,1,1.50,1.12,4.75,1.50,1.22,3.70,11.0,0,1
87,1.64,3.70,4.35,1.03,60.0,1,1,1,1.50,1.10,5.00,1.50,1.18,4.00,11.5,0,1
88,1.64,3.70,4.35,1.03,60.0,1,1,1,1.50,1.07,5.50,1.50,1.14,4.50,12.0,0,1
89,1.64,3.70,4.35,-,-,1,1,1,1,1,1,1,1,1,-,0,1
90,1.64,3.70,4.35,-,-,1,1,1,1,1,1,1,1,1,-,0,1
91,1.64,3.70,4.35,-,-,1,1,1,1,1,1,1,1,1,-,0,1
92,1.64,3.70,4.35,-,-,1,1,1,1,1,1,1,1,1,-,0,1
93,1.64,3.70,4.35,-,-,1,1,1,1,1,1,1,1,1,-,0,1
94,1.64,3.70,4.35,-,-,1,1,1,1,1,1,1,1,1,-,0,1
