min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.82,2.00,16.0,2.25,2.70,1.50,1.66,2.00,1.50,1.83,1.81,3.50,1.50,2.40,3.60,0,0
2,1.82,2.00,16.0,2.25,2.70,1.50,1.66,2.00,1.50,1.83,1.81,3.50,1.50,2.40,3.60,0,0
3,1.82,2.00,16.0,2.25,2.70,1.50,1.66,2.00,1.50,1.83,1.81,3.50,1.50,2.40,3.60,0,0
4,1.82,2.00,16.0,2.25,2.70,1.50,1.66,2.00,1.50,1.83,1.81,3.50,1.50,2.40,3.60,0,0
5,1.82,2.00,16.0,2.25,2.70,1.50,1.66,2.00,1.50,1.83,1.81,3.50,1.50,2.40,3.60,0,0
6,1.83,2.00,15.0,2.25,2.70,1.50,1.64,2.05,1.50,1.81,1.83,1,1,1,3.60,0,0
7,1.83,2.00,15.0,2.25,2.70,1.50,1.63,2.05,1.50,1.79,1.86,1,1,1,3.55,0,0
8,1.83,2.00,15.0,2.30,2.70,1.50,1.61,2.10,1.50,1.76,1.88,1,1,1,3.55,0,0
9,1.84,2.00,14.0,2.30,2.70,1.50,1.59,2.15,1.50,1.75,1.90,1,1,1,3.50,0,0
10,1.84,2.00,14.0,2.30,2.75,1.50,1.58,2.15,1.50,1.72,1.93,1,1,1,3.50,0,0
11,1.84,2.05,14.0,2.30,2.75,1.50,1.57,2.20,1.50,1.70,1.96,1,1,1,3.50,0,0
12,1.85,2.05,13.0,2.30,2.75,1.50,1.55,2.25,1.50,1.68,1.99,1,1,1,3.45,0,0
13,1.85,2.05,13.0,2.30,2.75,1.50,1.54,2.30,1.50,1.67,2.00,1,1,1,3.45,0,0
14,1.86,2.05,13.0,2.30,2.75,1.50,1.53,2.30,1.50,1.65,2.00,1,1,1,3.40,0,0
15,1.86,2.05,12.0,2.30,2.75,1.50,1.51,2.35,1.50,1.63,2.05,1,1,1,3.40,0,0
16,1.87,2.05,12.0,2.30,2.80,1.50,1.50,2.40,1.50,1.61,2.10,1,1,1,3.40,0,0
17,1.87,2.05,12.0,2.30,2.80,1.50,1.49,2.40,1.50,1.60,2.10,1,1,1,3.35,0,0
18,1.87,2.05,11.5,2.35,2.80,1.50,1.48,2.45,1.50,1.58,2.15,1,1,1,3.35,0,0
19,1.88,2.10,11.0,2.35,2.80,1.50,1.46,2.50,1.50,1.57,2.20,1,1,1,3.30,0,0
20,1.80,2.20,11.5,2.20,3.00,1.50,1.44,2.60,1.50,1.63,2.05,1,1,1,3.35,0,0
21,1.80,2.20,11.0,2.20,3.00,1.50,1.42,2.65,1.50,1.61,2.10,1,1,1,3.35,0,0
22,1.81,2.20,11.0,2.20,3.00,1.50,1.41,2.70,1.50,1.59,2.15,1,1,1,3.30,0,0
23,1.81,2.20,10.5,2.20,3.00,1.50,1.40,2.75,1.50,1.58,2.20,1,1,1,3.30,0,0
24,1.82,2.20,10.5,2.20,3.00,1.50,1.39,2.80,1.50,1.56,2.20,1,1,1,3.25,0,0
25,1.83,2.20,10.0,2.20,3.00,1.50,1.38,2.85,1.50,1.54,2.25,1,1,1,3.25,0,0
26,1.83,2.20,10.0,1.37,7.50,1.50,1.37,2.85,2.50,1.53,2.30,3.50,1.68,1.99,4.35,0,1
27,1.83,2.20,10.0,1.37,7.50,0.50,2.90,1.37,2.50,1.51,2.35,3.50,1.66,2.00,4.35,0,1
28,1.83,2.20,10.0,1.38,7.50,0.50,2.85,1.38,2.50,1.50,2.40,3.50,1.63,2.05,4.30,0,1
29,1.83,2.20,10.0,1.37,8.00,0.50,2.80,1.39,2.50,1.49,2.40,3.50,1.61,2.10,4.30,0,1
30,1.83,2.20,10.0,1.37,8.00,0.50,2.75,1.40,2.50,1.47,2.50,3.50,1.58,2.15,4.30,0,1
31,1.83,2.20,10.0,1.37,8.00,0.50,2.70,1.41,2.50,1.46,2.50,3.50,1.56,2.20,4.30,0,1
32,1.83,2.20,10.0,1.37,8.00,0.50,2.65,1.42,2.50,1.44,2.60,3.50,1.53,2.30,4.25,0,1
33,1.83,2.20,10.0,1.36,8.00,0.50,2.60,1.43,2.50,1.43,2.60,3.50,1.51,2.35,4.25,0,1
34,1.83,2.20,10.0,1.36,8.00,0.50,2.55,1.45,2.50,1.42,2.70,3.50,1.49,2.40,4.25,0,1
35,1.83,2.20,10.0,1.36,8.50,0.50,2.50,1.46,2.50,1.40,2.70,3.50,1.47,2.50,4.25,0,1
36,1.83,2.20,10.0,1.35,8.50,0.50,2.50,1.47,2.50,1.39,2.80,1,1,1,4.20,0,1
37,1.83,2.20,10.0,1.35,8.50,0.50,2.40,1.49,2.50,1.38,2.85,1,1,1,4.20,0,1
38,1.83,2.20,10.0,1.06,23.0,0.50,2.55,1.45,2.50,2.75,1.40,3.50,2.45,1.48,8.00,0,2
39,1.83,2.20,10.0,1.06,24.0,0.50,2.50,1.46,2.50,2.70,1.42,3.50,2.35,1.50,8.00,0,2
40,1.83,2.20,10.0,1.06,24.0,0.50,2.45,1.47,2.50,2.60,1.43,3.50,2.30,1.53,8.00,0,2
41,1.83,2.20,10.0,1.06,25.0,0.50,2.40,1.49,2.50,2.60,1.44,3.50,2.25,1.55,8.00,0,2
42,1.83,2.20,10.0,1.05,26.0,0.50,2.35,1.50,2.50,2.50,1.46,3.50,2.20,1.58,8.50,0,2
43,1.83,2.20,10.0,1.05,27.0,0.50,2.30,1.52,2.50,2.50,1.47,3.50,2.10,1.60,8.50,0,2
44,1.83,2.20,10.0,1.05,28.0,0.50,2.30,1.53,2.50,2.40,1.49,3.50,2.05,1.63,8.50,0,2
45,1.83,2.20,10.0,1.06,26.0,0.50,2.30,1.52,2.50,2.25,1.55,3.50,2.00,1.68,8.00,0,2
46,1.83,2.20,10.0,1.06,27.0,0.50,2.25,1.54,2.50,2.20,1.56,3.50,1.95,1.71,8.00,0,2
47,1.83,2.20,10.0,1.05,27.0,0.50,2.20,1.56,2.50,2.15,1.58,3.50,1.90,1.75,8.00,0,2
49,1.83,2.20,10.0,1.05,28.0,0.50,2.20,1.57,2.50,2.15,1.59,3.50,1.87,1.77,8.00,0,2
50,1.83,2.20,10.0,1.05,28.0,0.50,2.15,1.59,2.50,2.10,1.62,3.50,1.82,1.82,8.50,0,2
51,1.83,2.20,10.0,1.05,30.0,0.50,2.10,1.61,2.50,2.05,1.64,3.50,1.78,1.86,8.50,0,2
52,1.83,2.20,10.0,1.05,32.0,0.50,2.05,1.63,2.50,2.00,1.66,3.50,1.74,1.91,8.50,0,2
53,1.83,2.20,10.0,1.05,33.0,0.50,2.00,1.65,2.50,1.99,1.69,3.50,1.70,1.97,9.00,0,2
