min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.25,1.51,20.0,3.35,1.63,1.50,2.30,1.43,1.50,1.47,2.20,3.50,1.60,1.93,4.00,0,0
2,2.25,1.51,20.0,3.35,1.63,1.50,2.30,1.43,1.50,1.47,2.20,3.50,1.60,1.93,4.00,0,0
3,2.25,1.51,20.0,3.35,1.63,1.50,2.30,1.43,1.50,1.47,2.20,3.50,1.60,1.93,4.00,0,0
4,2.25,1.51,20.0,3.35,1.63,1.50,2.30,1.43,1.50,1.47,2.20,3.50,1.60,1.93,4.00,0,0
5,2.25,1.51,20.0,3.35,1.63,1.50,2.30,1.43,1.50,1.47,2.20,3.50,1.60,1.93,4.00,0,0
6,2.25,1.51,19.0,3.35,1.64,1.50,2.25,1.45,1.50,1.46,2.20,3.50,1.57,1.97,4.00,0,0
7,2.30,1.51,19.0,3.35,1.64,1.50,2.20,1.46,1.50,1.45,2.25,3.50,1.55,2.00,3.95,0,0
8,2.30,1.51,18.0,3.40,1.65,1.50,2.15,1.47,1.50,1.44,2.30,3.50,1.53,2.05,3.95,0,0
9,2.30,1.52,18.0,3.40,1.65,1.50,2.10,1.49,1.50,1.42,2.30,3.50,1.51,2.10,3.90,0,0
10,2.30,1.52,17.0,3.40,1.66,1.50,2.10,1.50,1.50,1.41,2.35,3.50,1.49,2.15,3.90,0,0
11,2.30,1.52,17.0,3.40,1.66,1.50,2.05,1.52,1.50,1.40,2.40,3.50,1.47,2.20,3.85,0,0
12,2.30,1.52,17.0,3.35,1.67,1.50,2.00,1.54,1.50,1.40,2.40,3.50,1.45,2.25,3.80,0,0
13,2.30,1.52,16.0,3.40,1.68,1.50,2.00,1.55,1.50,1.39,2.45,1,1,1,3.80,0,0
14,2.30,1.53,16.0,8.00,1.19,2.50,1.98,1.57,1.50,1.37,2.50,3.50,2.20,1.46,5.50,1,0
15,2.30,1.53,16.0,8.00,1.19,2.50,1.95,1.59,1.50,1.36,2.50,3.50,2.15,1.48,5.50,1,0
16,2.30,1.53,16.0,7.00,1.23,2.50,1.83,1.66,1.50,1.39,2.45,3.50,2.10,1.50,5.00,1,0
17,2.30,1.53,16.0,7.00,1.23,2.50,1.80,1.69,1.50,1.38,2.45,3.50,2.05,1.52,5.00,1,0
18,2.30,1.53,16.0,7.00,1.23,2.50,1.78,1.71,1.50,1.37,2.50,3.50,2.00,1.54,5.00,1,0
19,2.30,1.53,16.0,7.00,1.23,2.50,1.75,1.73,1.50,1.36,2.55,3.50,1.99,1.56,5.00,1,0
20,2.30,1.53,16.0,7.00,1.23,2.50,1.73,1.76,1.50,1.35,2.60,3.50,1.95,1.58,5.00,1,0
21,2.30,1.53,16.0,7.50,1.23,2.50,1.71,1.78,1.50,1.34,2.60,3.50,1.91,1.61,5.00,1,0
22,2.30,1.53,16.0,7.00,1.25,2.50,1.60,1.93,1.50,1.33,2.70,3.50,1.79,1.70,4.90,1,0
23,2.30,1.53,16.0,7.00,1.25,2.50,1.58,1.96,1.50,1.31,2.70,3.50,1.75,1.74,4.90,1,0
24,2.30,1.53,16.0,7.00,1.25,2.50,1.56,1.99,1.50,1.31,2.75,3.50,1.72,1.76,4.85,1,0
25,2.30,1.53,16.0,7.00,1.25,2.50,1.54,2.00,0.50,2.75,1.31,3.50,1.69,1.80,4.85,1,0
26,2.30,1.53,16.0,7.00,1.25,2.50,1.53,2.05,0.50,2.70,1.32,3.50,1.66,1.83,4.85,1,0
27,2.30,1.53,16.0,7.50,1.25,2.50,1.51,2.10,0.50,2.65,1.33,3.50,1.63,1.87,4.80,1,0
28,2.30,1.53,16.0,19.0,1.01,3.50,1.49,2.10,0.50,2.60,1.34,4.50,1.60,1.92,10.5,2,0
29,2.30,1.53,16.0,18.0,1.01,3.50,1.53,2.00,0.50,2.75,1.31,4.50,1.69,1.80,10.0,2,0
30,2.30,1.53,16.0,19.0,1.01,3.50,1.52,2.05,0.50,2.70,1.31,4.50,1.66,1.84,10.0,2,0
31,2.30,1.53,16.0,19.0,1.01,3.50,1.50,2.10,0.50,2.70,1.32,4.50,1.63,1.88,10.0,2,0
32,2.30,1.53,16.0,19.0,1.01,3.50,1.48,2.15,0.50,2.65,1.34,4.50,1.60,1.93,10.0,2,0
33,2.30,1.53,16.0,19.0,1.01,3.50,1.46,2.20,0.50,2.60,1.35,4.50,1.57,1.98,10.0,2,0
34,2.30,1.53,16.0,19.0,1.01,3.50,1.45,2.25,0.50,2.55,1.36,4.50,1.54,2.00,10.0,2,0
35,2.30,1.53,16.0,20.0,1.01,3.50,1.43,2.30,0.50,2.50,1.37,4.50,1.51,2.05,10.5,2,0
36,2.30,1.53,16.0,20.0,1.01,3.50,1.41,2.35,0.50,2.45,1.39,4.50,1.49,2.15,10.5,2,0
37,2.30,1.53,16.0,21.0,1.01,3.50,1.40,2.40,0.50,2.40,1.40,4.50,1.46,2.20,10.5,2,0
38,2.30,1.53,16.0,21.0,1.01,3.50,1.39,2.45,0.50,2.35,1.41,4.50,1.44,2.25,10.5,2,0
39,2.30,1.53,16.0,21.0,1.01,3.50,1.37,2.50,0.50,2.30,1.42,4.50,1.42,2.30,10.5,2,0
40,2.30,1.53,16.0,22.0,1.01,3.50,1.36,2.55,0.50,2.30,1.44,4.50,1.40,2.40,11.0,2,0
41,2.30,1.53,16.0,23.0,1.01,3.50,1.34,2.60,0.50,2.20,1.45,3.50,2.40,1.40,11.0,2,0
42,2.30,1.53,16.0,23.0,1.01,3.50,1.33,2.65,0.50,2.20,1.46,3.50,2.30,1.42,11.0,2,0
43,2.30,1.53,16.0,23.0,1.01,3.50,1.31,2.70,0.50,2.15,1.48,3.50,2.25,1.44,11.0,2,0
44,2.30,1.53,16.0,24.0,1.01,2.50,2.75,1.31,0.50,2.10,1.49,3.50,2.20,1.46,11.0,2,0
45,2.30,1.53,16.0,29.0,1.01,2.50,2.70,1.32,0.50,1.92,1.60,3.50,2.00,1.54,13.0,2,0
46,2.30,1.53,16.0,29.0,1.01,2.50,2.65,1.33,0.50,1.88,1.63,3.50,1.99,1.56,13.0,2,0
47,2.30,1.53,16.0,30.0,1.01,2.50,2.60,1.35,0.50,1.85,1.65,3.50,1.93,1.60,13.0,2,0
48,2.30,1.53,16.0,31.0,1.01,2.50,2.50,1.36,0.50,1.82,1.68,3.50,1.87,1.63,13.0,2,0
49,2.30,1.53,16.0,31.0,1.01,2.50,2.45,1.38,0.50,1.79,1.70,3.50,1.82,1.67,13.0,2,0
50,2.30,1.53,16.0,33.0,1.01,2.50,2.40,1.39,0.50,1.76,1.73,3.50,1.77,1.71,13.0,2,0
51,2.30,1.53,16.0,33.0,1.01,2.50,2.35,1.41,0.50,1.73,1.76,3.50,1.73,1.76,13.0,2,0
52,2.30,1.53,16.0,34.0,1.01,2.50,2.30,1.43,0.50,1.70,1.79,3.50,1.69,1.81,14.0,2,0
53,2.30,1.53,16.0,29.0,1.01,2.50,2.20,1.47,0.50,1.79,1.70,3.50,1.69,1.80,12.0,2,0
54,2.30,1.53,16.0,31.0,1.01,2.50,2.10,1.51,0.50,1.73,1.76,3.50,1.61,1.91,13.0,2,0
55,2.30,1.53,16.0,32.0,1.01,2.50,2.05,1.53,0.50,1.70,1.79,3.50,1.58,1.96,13.0,2,0
56,2.30,1.53,16.0,33.0,1.01,2.50,2.00,1.55,0.50,1.67,1.82,3.50,1.55,2.00,13.0,2,0
57,2.30,1.53,16.0,32.0,1.01,2.50,1.97,1.57,0.50,1.68,1.81,3.50,1.53,2.00,13.0,2,0
58,2.30,1.53,16.0,34.0,1.01,2.50,1.93,1.60,0.50,1.65,1.85,3.50,1.50,2.10,13.0,2,0
59,2.30,1.53,16.0,36.0,1.01,2.50,1.88,1.63,0.50,1.62,1.89,3.50,1.47,2.15,13.0,2,0
60,2.30,1.53,16.0,37.0,1.01,2.50,1.84,1.66,0.50,1.60,1.93,3.50,1.45,2.25,13.0,2,0
61,2.30,1.53,16.0,14.0,1.15,2.50,1.84,1.66,1.50,1.49,2.10,4.50,1.39,2.40,4.70,2,1
62,2.30,1.53,16.0,14.0,1.14,2.50,1.79,1.70,1.50,1.47,2.20,4.50,1.36,2.50,4.70,2,1
63,2.30,1.53,16.0,14.0,1.14,2.50,1.75,1.73,1.50,1.45,2.20,4.50,1.34,2.60,4.70,2,1
