min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.57,2.80,7.50,1.73,4.20,0.50,2.00,1.61,1.50,1.53,2.15,1,1,1,3.15,0,0
2,1.57,2.80,7.50,1.73,4.20,0.50,2.00,1.61,1.50,1.53,2.15,1,1,1,3.15,0,0
3,1.59,3.00,6.00,1.77,4.40,0.50,1.79,1.77,1.50,1.44,2.40,1.50,2.20,1.52,3.00,0,0
4,1.59,3.00,6.00,1.77,4.40,0.50,1.79,1.77,1.50,1.44,2.40,1.50,2.20,1.52,3.00,0,0
5,1.59,3.00,6.00,1.77,4.40,0.50,1.79,1.77,1.50,1.44,2.40,1.50,2.20,1.52,3.00,0,0
6,1.60,3.00,6.00,1.77,4.40,0.50,1.78,1.79,1.50,1.43,2.45,1.50,2.15,1.53,3.00,0,0
7,1.60,3.00,5.50,1.79,4.40,0.50,1.76,1.80,1.50,1.42,2.50,1.50,2.10,1.55,2.95,0,0
8,1.61,3.00,5.50,1.80,4.40,0.50,1.75,1.82,1.50,1.41,2.50,1.50,2.10,1.56,2.95,0,0
9,1.62,3.00,5.50,1.81,4.45,0.50,1.73,1.83,1.50,1.40,2.55,1.50,2.05,1.58,2.90,0,0
10,1.62,3.05,5.00,1.80,4.45,0.50,1.72,1.85,1.50,1.39,2.60,1.50,2.00,1.60,2.90,0,0
11,1.63,3.05,5.00,1.82,4.45,0.50,1.71,1.87,1.50,1.38,2.65,1.50,2.00,1.61,2.90,0,0
12,1.63,3.05,5.00,1.82,4.50,0.50,1.69,1.88,1.50,1.37,2.70,1.50,1.98,1.63,2.85,0,0
13,1.64,3.05,5.00,1.84,4.45,0.50,1.68,1.90,1.50,1.36,2.70,1.50,1.95,1.65,2.80,0,0
14,1.65,3.10,5.00,1.85,4.50,0.50,1.67,1.92,1.50,1.35,2.75,1.50,1.92,1.67,2.80,0,0
