min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.59,2.20,20.0,1.77,3.10,1.50,1.56,2.10,1.50,2.20,1.51,3.50,1.64,1.96,4.15,0,0
2,1.59,2.20,20.0,1.77,3.10,1.50,1.56,2.10,1.50,2.20,1.51,3.50,1.64,1.96,4.15,0,0
3,1.59,2.20,20.0,1.77,3.10,1.50,1.56,2.10,1.50,2.20,1.51,3.50,1.64,1.96,4.15,0,0
5,1.79,1.91,20.0,2.20,2.45,1.50,1.69,1.88,1.50,1.81,1.76,3.50,1.55,2.10,3.90,0,0
6,1.79,1.91,19.0,2.20,2.45,1.50,1.67,1.91,1.50,1.78,1.78,3.50,1.53,2.15,3.90,0,0
7,1.79,1.92,19.0,1.37,5.00,1.50,1.66,1.93,2.50,1.88,1.69,4.50,1.56,2.10,5.00,0,1
8,1.79,1.92,19.0,1.36,5.00,1.50,1.64,1.97,2.50,1.92,1.67,4.50,1.57,2.10,5.00,0,1
9,1.79,1.92,19.0,1.36,5.00,1.50,1.62,2.00,2.50,1.89,1.69,4.50,1.54,2.10,5.00,0,1
10,1.79,1.92,19.0,2.00,2.65,2.50,1.60,2.00,2.50,1.86,1.71,5.50,1.52,2.20,3.90,1,1
11,1.79,1.92,19.0,2.25,2.40,2.50,1.68,1.91,2.50,1.73,1.84,5.50,1.51,2.20,3.90,1,1
12,1.79,1.92,19.0,2.25,2.40,2.50,1.66,1.93,2.50,1.71,1.86,5.50,1.49,2.25,3.85,1,1
13,1.79,1.92,19.0,2.30,2.40,2.50,1.64,1.96,2.50,1.69,1.89,4.50,2.30,1.47,3.80,1,1
14,1.79,1.92,19.0,2.30,2.40,2.50,1.62,1.99,2.50,1.67,1.92,4.50,2.30,1.49,3.80,1,1
15,1.79,1.92,19.0,2.30,2.40,2.50,1.60,2.00,2.50,1.65,1.95,4.50,2.20,1.50,3.75,1,1
16,1.79,1.92,19.0,2.30,2.40,2.50,1.59,2.05,2.50,1.63,1.98,4.50,2.20,1.52,3.75,1,1
17,1.79,1.92,19.0,2.30,2.40,2.50,1.57,2.05,2.50,1.61,2.00,4.50,2.10,1.54,3.70,1,1
18,1.79,1.92,19.0,2.30,2.40,2.50,1.56,2.10,2.50,1.60,2.00,4.50,2.10,1.56,3.70,1,1
19,1.79,1.92,19.0,2.50,2.25,2.50,1.61,2.00,2.50,1.54,2.10,4.50,2.10,1.56,3.70,1,1
20,1.79,1.92,19.0,2.50,2.25,2.50,1.60,2.00,2.50,1.53,2.15,4.50,2.05,1.59,3.65,1,1
21,1.79,1.92,19.0,2.50,2.25,2.50,1.58,2.05,2.50,1.51,2.20,4.50,2.00,1.61,3.65,1,1
22,1.79,1.92,19.0,2.50,2.25,2.50,1.56,2.10,2.50,1.50,2.25,4.50,1.97,1.64,3.60,1,1
23,1.79,1.92,19.0,2.50,2.30,2.50,1.54,2.10,2.50,1.48,2.30,4.50,1.93,1.66,3.60,1,1
24,1.79,1.92,19.0,2.55,2.30,2.50,1.53,2.15,2.50,1.47,2.30,4.50,1.88,1.69,3.55,1,1
