min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,1.77,20.0,2.30,2.10,1.50,1.87,1.71,1.50,1.77,1.80,3.50,1.67,1.91,4.40,0,0
2,1.86,1.77,20.0,2.30,2.10,1.50,1.87,1.71,1.50,1.77,1.80,3.50,1.67,1.91,4.40,0,0
3,1.86,1.77,20.0,2.30,2.10,1.50,1.87,1.71,1.50,1.77,1.80,3.50,1.67,1.91,4.40,0,0
4,1.86,1.77,20.0,2.30,2.10,1.50,1.87,1.71,1.50,1.77,1.80,3.50,1.67,1.91,4.40,0,0
5,1.86,1.77,20.0,2.30,2.10,1.50,1.87,1.71,1.50,1.77,1.80,3.50,1.67,1.91,4.40,0,0
6,1.87,1.77,20.0,2.35,2.15,1.50,1.85,1.72,1.50,1.75,1.82,3.50,1.65,1.94,4.40,0,0
7,1.87,1.78,20.0,2.35,2.15,1.50,1.82,1.75,1.50,1.73,1.84,3.50,1.62,1.99,4.35,0,0
8,1.87,1.78,20.0,2.35,2.15,1.50,1.79,1.77,1.50,1.71,1.86,3.50,1.60,2.00,4.35,0,0
9,1.88,1.78,20.0,2.35,2.15,1.50,1.77,1.79,1.50,1.69,1.89,3.50,1.58,2.05,4.30,0,0
10,1.88,1.79,20.0,2.35,2.15,1.50,1.75,1.82,1.50,1.67,1.92,3.50,1.56,2.10,4.30,0,0
11,1.88,1.79,20.0,2.35,2.20,1.50,1.73,1.84,1.50,1.65,1.95,3.50,1.54,2.15,4.25,0,0
12,1.88,1.79,20.0,2.35,2.15,1.50,1.71,1.86,1.50,1.63,1.98,3.50,1.52,2.20,4.20,0,0
13,1.89,1.79,20.0,2.35,2.20,1.50,1.69,1.89,1.50,1.61,2.00,3.50,1.50,2.25,4.20,0,0
14,1.89,1.80,20.0,2.40,2.20,1.50,1.67,1.92,1.50,1.60,2.00,1,1,1,4.15,0,0
15,1.90,1.80,20.0,2.40,2.20,1.50,1.65,1.95,1.50,1.58,2.05,1,1,1,4.10,0,0
16,1.76,1.94,20.0,2.10,2.45,1.50,1.57,2.05,1.50,1.71,1.86,1,1,1,4.20,0,0
17,1.76,1.94,20.0,2.10,2.45,1.50,1.56,2.10,1.50,1.69,1.89,1,1,1,4.15,0,0
18,1.76,1.95,19.0,2.10,2.50,1.50,1.54,2.10,1.50,1.67,1.92,1,1,1,4.10,0,0
19,1.77,1.95,19.0,2.10,2.50,1.50,1.53,2.15,1.50,1.65,1.95,1,1,1,4.10,0,0
20,1.77,1.96,18.0,2.10,2.50,1.50,1.51,2.20,1.50,1.63,1.99,1,1,1,4.05,0,0
21,1.78,1.96,17.0,2.10,2.50,1.50,1.50,2.25,1.50,1.61,2.00,1,1,1,4.00,0,0
