min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.80,2.45,1.50,1.40,2.55,1.50,1.34,2.80,0.50,8.00,1.03,3.00,0,0
2,1,1,1,2.80,2.45,1.50,1.40,2.55,1.50,1.34,2.80,0.50,8.00,1.03,3.00,0,0
3,1,1,1,2.80,2.45,1.50,1.40,2.55,1.50,1.34,2.80,0.50,8.00,1.03,3.00,0,0
4,1,1,1,2.80,2.45,1.50,1.40,2.55,1.50,1.34,2.80,0.50,8.00,1.03,3.00,0,0
5,1,1,1,2.80,2.45,1.50,1.40,2.55,1.50,1.34,2.80,0.50,8.00,1.03,3.00,0,0
6,1,1,1,2.80,2.45,1.50,1.40,2.60,0.50,2.80,1.34,0.50,8.00,1.03,3.00,0,0
7,2.10,1.93,8.00,2.80,2.45,1.50,1.39,2.60,0.50,2.80,1.34,1,1,1,2.95,0,0
8,2.10,1.94,7.50,2.80,2.45,1.50,1.38,2.65,0.50,2.75,1.35,1,1,1,2.95,0,0
9,2.10,1.94,7.50,2.80,2.45,1.50,1.37,2.70,0.50,2.70,1.36,1,1,1,2.90,0,0
10,2.10,1.95,7.00,2.80,2.50,1.50,1.36,2.70,0.50,2.70,1.37,1,1,1,2.90,0,0
11,2.10,1.96,7.00,2.80,2.50,1.50,1.35,2.75,0.50,2.65,1.37,1,1,1,2.90,0,0
12,2.10,1.96,7.00,2.85,2.50,1.50,1.34,2.80,0.50,2.60,1.38,1,1,1,2.90,0,0
13,2.15,1.97,7.00,2.85,2.50,0.50,2.80,1.34,0.50,2.60,1.39,1,1,1,2.85,0,0
14,2.15,1.98,6.50,1.47,6.00,0.50,2.80,1.34,1.50,2.55,1.40,1,1,1,3.60,0,1
15,2.15,1.98,6.50,1.47,6.00,0.50,2.75,1.35,1.50,2.50,1.41,1,1,1,3.55,0,1
16,2.15,1.98,6.50,1.47,6.00,0.50,2.70,1.36,1.50,2.50,1.42,1,1,1,3.55,0,1
17,2.15,1.98,6.50,1.47,6.00,0.50,2.70,1.37,1.50,2.45,1.43,1,1,1,3.55,0,1
18,2.15,1.98,6.50,1.46,6.00,0.50,2.65,1.38,1.50,2.40,1.44,1,1,1,3.55,0,1
19,2.15,1.98,6.50,1.46,6.00,0.50,2.60,1.39,1.50,2.40,1.45,1,1,1,3.55,0,1
20,2.15,1.98,6.50,1.46,6.50,0.50,2.60,1.40,1.50,2.35,1.46,1,1,1,3.55,0,1
21,2.15,1.98,6.50,1.45,6.50,0.50,2.55,1.41,1.50,2.30,1.47,1,1,1,3.50,0,1
22,2.15,1.98,6.50,1.45,6.50,0.50,2.50,1.42,1.50,2.30,1.48,1,1,1,3.50,0,1
23,2.15,1.98,6.50,1.45,6.50,0.50,2.45,1.43,1.50,2.25,1.49,1,1,1,3.50,0,1
24,2.15,1.98,6.50,1.44,7.00,0.50,2.40,1.44,1.50,2.20,1.50,1,1,1,3.50,0,1
25,2.15,1.98,6.50,1.44,7.00,0.50,2.40,1.45,1.50,2.20,1.51,1,1,1,3.50,0,1
26,2.15,1.98,6.50,1.44,7.00,0.50,2.35,1.46,1.50,2.15,1.53,1,1,1,3.50,0,1
27,2.15,1.98,6.50,1.43,7.00,0.50,2.30,1.47,1.50,2.15,1.54,1,1,1,3.50,0,1
28,2.15,1.98,6.50,1.43,7.50,0.50,2.30,1.48,1.50,2.10,1.55,1,1,1,3.50,0,1
29,2.15,1.98,6.50,1.43,7.50,0.50,2.25,1.49,1.50,2.10,1.56,1,1,1,3.50,0,1
30,2.15,1.98,6.50,1.42,7.50,0.50,2.20,1.51,1.50,2.05,1.58,1,1,1,3.50,0,1
31,2.15,1.98,6.50,1.42,7.50,0.50,2.20,1.52,1.50,2.00,1.59,1,1,1,3.50,0,1
32,2.15,1.98,6.50,1.42,8.00,0.50,2.15,1.53,1.50,2.00,1.61,1,1,1,3.50,0,1
33,2.15,1.98,6.50,1.41,8.00,0.50,2.10,1.55,1.50,1.99,1.62,1,1,1,3.50,0,1
34,2.15,1.98,6.50,1.41,8.00,0.50,2.10,1.56,1.50,1.96,1.64,1,1,1,3.50,0,1
35,2.15,1.98,6.50,1.40,8.00,0.50,2.05,1.57,1.50,1.93,1.66,1,1,1,3.50,0,1
36,2.15,1.98,6.50,1.40,8.50,0.50,2.00,1.59,1.50,1.90,1.68,1,1,1,3.50,0,1
37,2.15,1.98,6.50,1.40,8.50,0.50,2.00,1.61,1.50,1.88,1.70,1,1,1,3.50,0,1
38,2.15,1.98,6.50,1.39,9.00,0.50,1.99,1.63,1.50,1.85,1.72,1,1,1,3.50,0,1
39,2.15,1.98,6.50,1.39,9.00,0.50,1.96,1.64,1.50,1.82,1.74,1,1,1,3.50,0,1
40,2.15,1.98,6.50,1.38,9.00,0.50,1.92,1.66,1.50,1.80,1.76,1,1,1,3.50,0,1
41,2.15,1.98,6.50,1.38,9.50,0.50,1.90,1.68,1.50,1.77,1.79,1,1,1,3.50,0,1
42,2.15,1.98,6.50,1.37,9.50,0.50,1.87,1.71,1.50,1.75,1.81,1,1,1,3.50,0,1
43,2.15,1.98,6.50,1.37,9.50,0.50,1.84,1.73,1.50,1.73,1.84,1,1,1,3.50,0,1
