min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.80,2.40,0.50,2.70,1.32,0.50,2.40,1.39,1,1,1,2.75,0,0
2,1,1,1,2.80,2.40,0.50,2.70,1.32,0.50,2.40,1.39,1,1,1,2.75,0,0
3,1,1,1,2.80,2.40,0.50,2.70,1.32,0.50,2.40,1.39,1,1,1,2.75,0,0
4,2.10,1.90,7.00,2.70,2.35,0.50,2.70,1.32,0.50,2.40,1.39,1.50,2.40,1.41,2.95,0,0
5,2.20,1.97,5.50,2.80,2.40,0.50,2.40,1.40,0.50,2.15,1.48,1.50,2.00,1.54,2.80,0,0
6,2.20,1.97,5.00,2.80,2.40,0.50,2.40,1.40,0.50,2.15,1.49,1.50,2.00,1.56,2.75,0,0
7,2.20,1.98,5.00,2.80,2.40,0.50,2.35,1.41,0.50,2.10,1.49,1.50,1.97,1.57,2.75,0,0
8,2.20,1.99,5.00,2.80,2.40,0.50,2.30,1.42,0.50,2.10,1.51,1.50,1.94,1.59,2.70,0,0
9,2.20,2.00,5.00,2.80,2.45,0.50,2.30,1.43,0.50,2.05,1.52,1.50,1.91,1.61,2.70,0,0
10,2.25,2.00,5.00,2.85,2.45,0.50,2.25,1.44,0.50,2.05,1.53,1.50,1.88,1.63,2.70,0,0
11,2.25,2.00,5.00,2.85,2.45,0.50,2.25,1.45,0.50,2.00,1.54,1.50,1.86,1.65,2.65,0,0
12,2.25,2.00,4.90,2.85,2.50,0.50,2.20,1.46,0.50,2.00,1.55,1.50,1.83,1.66,2.65,0,0
13,2.25,2.00,4.75,2.85,2.50,0.50,2.20,1.47,0.50,2.00,1.56,1.50,1.80,1.69,2.60,0,0
14,2.30,2.00,4.70,2.90,2.50,0.50,2.15,1.48,0.50,1.98,1.57,1.50,1.78,1.71,2.60,0,0
15,2.30,2.05,4.60,2.90,2.50,0.50,2.10,1.49,0.50,1.96,1.58,1.50,1.75,1.73,2.60,0,0
16,2.25,2.00,4.90,2.85,2.50,0.50,2.20,1.46,0.50,2.00,1.54,1.50,1.84,1.66,2.65,0,0
17,2.25,2.00,4.80,2.85,2.50,0.50,2.20,1.47,0.50,2.00,1.55,1.50,1.81,1.68,2.60,0,0
18,2.25,2.00,4.70,2.85,2.50,0.50,2.15,1.48,0.50,1.99,1.56,1.50,1.78,1.71,2.60,0,0
19,2.30,2.05,4.60,2.90,2.50,0.50,2.10,1.49,0.50,1.96,1.58,1.50,1.76,1.73,2.60,0,0
20,2.30,2.05,4.50,2.90,2.50,0.50,2.10,1.50,0.50,1.94,1.59,1.50,1.73,1.75,2.60,0,0
21,2.30,2.05,4.40,2.90,2.55,0.50,2.10,1.51,0.50,1.92,1.60,1.50,1.71,1.78,2.55,0,0
22,2.30,2.10,4.30,2.90,2.55,0.50,2.05,1.52,0.50,1.89,1.62,1.50,1.68,1.81,2.50,0,0
23,2.30,2.10,4.20,2.90,2.55,0.50,2.00,1.54,0.50,1.87,1.63,1.50,1.66,1.84,2.50,0,0
24,2.35,2.10,4.10,2.95,2.60,0.50,2.00,1.55,0.50,1.85,1.65,1.50,1.64,1.87,2.50,0,0
25,2.35,2.10,4.00,2.95,2.60,0.50,1.99,1.56,0.50,1.83,1.67,1.50,1.61,1.90,2.45,0,0
26,2.40,2.15,3.95,2.95,2.60,0.50,1.97,1.57,0.50,1.81,1.68,1.50,1.59,1.94,2.45,0,0
27,2.40,2.15,3.85,2.95,2.60,0.50,1.94,1.59,0.50,1.79,1.70,1.50,1.57,1.97,2.40,0,0
