min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.37,3.00,18.0,1.39,5.00,0.50,2.50,1.41,2.50,1.47,2.35,3.50,1.52,2.20,4.55,0,0
2,1.37,3.00,18.0,1.39,5.00,0.50,2.50,1.41,2.50,1.47,2.35,3.50,1.52,2.20,4.55,0,0
3,1.37,3.00,18.0,1.39,5.00,0.50,2.50,1.41,2.50,1.47,2.35,3.50,1.52,2.20,4.55,0,0
4,1.39,2.80,20.0,1.40,5.00,1.50,1.35,2.75,2.50,1.56,2.10,3.50,1.70,1.88,4.70,0,0
5,1.39,2.80,20.0,1.40,5.00,1.50,1.35,2.75,2.50,1.56,2.10,3.50,1.70,1.88,4.70,0,0
6,1.39,2.80,20.0,1.41,5.00,1.50,1.34,2.80,2.50,1.54,2.10,3.50,1.68,1.91,4.70,0,0
7,1.39,2.80,20.0,1.41,5.00,1.50,1.34,2.80,2.50,1.52,2.20,3.50,1.65,1.95,4.60,0,0
8,1.39,2.85,20.0,1.42,5.00,0.50,2.80,1.34,2.50,1.51,2.20,3.50,1.62,1.99,4.60,0,0
9,1.40,2.85,20.0,1.42,5.00,0.50,2.80,1.35,2.50,1.49,2.25,3.50,1.60,2.00,4.55,0,0
10,1.40,2.85,19.0,1.43,5.00,0.50,2.75,1.35,2.50,1.48,2.30,3.50,1.58,2.05,4.50,0,0
11,1.40,2.85,19.0,1.43,4.95,0.50,2.70,1.36,2.50,1.46,2.35,3.50,1.56,2.10,4.45,0,0
12,1.40,2.85,18.0,1.08,12.0,0.50,2.70,1.37,3.50,1.45,2.40,4.50,1.53,2.15,7.50,0,1
13,1.40,2.85,18.0,1.10,11.5,0.50,2.75,1.35,2.50,2.45,1.44,4.50,1.51,2.20,7.00,0,1
14,1.40,2.85,18.0,1.11,12.0,0.50,2.70,1.36,2.50,2.40,1.45,4.50,1.50,2.25,7.00,0,1
15,1.40,2.85,18.0,1.11,12.0,0.50,2.70,1.37,2.50,2.35,1.46,4.50,1.48,2.30,7.00,0,1
16,1.40,2.85,18.0,1.11,12.0,0.50,2.65,1.38,2.50,2.30,1.47,3.50,2.30,1.48,7.00,0,1
17,1.40,2.85,18.0,1.10,12.0,0.50,2.60,1.39,2.50,2.25,1.49,3.50,2.25,1.50,7.00,0,1
18,1.40,2.85,18.0,1.11,12.0,0.50,2.60,1.40,2.50,2.20,1.51,3.50,2.20,1.52,7.00,0,1
19,1.40,2.85,18.0,1.11,12.0,0.50,2.55,1.40,2.50,2.20,1.52,3.50,2.15,1.54,7.00,0,1
20,1.40,2.85,18.0,1.10,12.0,0.50,2.50,1.41,2.50,2.15,1.54,3.50,2.10,1.56,7.00,0,1
21,1.40,2.85,18.0,1.11,12.0,0.50,2.50,1.42,2.50,2.10,1.56,3.50,2.00,1.59,6.50,0,1
22,1.40,2.85,18.0,1.11,12.0,0.50,2.45,1.44,2.50,2.05,1.57,3.50,2.00,1.61,6.50,0,1
23,1.40,2.85,18.0,1.11,12.0,0.50,2.40,1.45,2.50,2.00,1.60,3.50,1.96,1.64,6.50,0,1
24,1.40,2.85,18.0,1.11,12.0,0.50,2.35,1.46,2.50,2.00,1.62,3.50,1.91,1.67,6.50,0,1
25,1.40,2.85,18.0,1.14,10.5,0.50,2.50,1.42,2.50,1.88,1.70,3.50,1.87,1.70,6.00,0,1
26,1.40,2.85,18.0,1.14,11.0,0.50,2.45,1.43,2.50,1.85,1.72,3.50,1.83,1.73,6.00,0,1
27,1.40,2.85,18.0,1.14,11.0,0.50,2.40,1.44,2.50,1.82,1.75,3.50,1.80,1.77,6.00,0,1
28,1.40,2.85,18.0,1.14,11.0,0.50,2.40,1.45,2.50,1.79,1.78,3.50,1.76,1.80,6.00,0,1
29,1.40,2.85,18.0,1.14,11.0,0.50,2.35,1.46,2.50,1.76,1.81,3.50,1.72,1.85,6.00,0,1
30,1.40,2.85,18.0,1.15,11.0,0.50,2.30,1.47,2.50,1.73,1.84,3.50,1.69,1.89,6.00,0,1
31,1.40,2.85,18.0,1.14,11.5,0.50,2.25,1.49,2.50,1.70,1.87,3.50,1.66,1.93,6.00,0,1
32,1.40,2.85,18.0,1.14,11.5,0.50,2.25,1.50,2.50,1.68,1.91,3.50,1.63,1.98,6.00,0,1
33,1.40,2.85,18.0,1.17,10.5,0.50,2.30,1.48,2.50,1.62,2.00,3.50,1.60,2.00,5.50,0,1
34,1.40,2.85,18.0,1.17,10.5,0.50,2.25,1.50,2.50,1.60,2.00,3.50,1.57,2.05,5.50,0,1
35,1.40,2.85,18.0,1.17,11.0,0.50,2.20,1.51,2.50,1.57,2.05,3.50,1.55,2.10,5.50,0,1
36,1.40,2.85,18.0,1.17,11.0,0.50,2.20,1.52,2.50,1.55,2.10,3.50,1.52,2.20,5.50,0,1
37,1.40,2.85,18.0,1.17,11.0,0.50,2.15,1.54,2.50,1.53,2.15,3.50,1.50,2.25,5.50,0,1
38,1.40,2.85,18.0,1.17,11.0,0.50,2.10,1.55,2.50,1.51,2.20,3.50,1.48,2.30,5.50,0,1
39,1.40,2.85,18.0,1.17,11.0,0.50,2.05,1.57,2.50,1.49,2.25,3.50,1.46,2.35,5.00,0,1
40,1.40,2.85,18.0,1.17,11.5,0.50,2.05,1.58,2.50,1.48,2.30,3.50,1.44,2.45,5.00,0,1
41,1.40,2.85,18.0,1.17,11.5,0.50,2.00,1.60,2.50,1.46,2.35,1,1,1,5.00,0,1
42,1.40,2.85,18.0,1.17,11.5,0.50,2.00,1.62,2.50,1.44,2.40,1,1,1,5.00,0,1
43,1.40,2.85,18.0,1.02,33.0,0.50,1.97,1.64,3.50,1.43,2.45,3.50,2.30,1.47,14.0,0,2
44,1.40,2.85,18.0,1.02,34.0,0.50,1.90,1.68,3.50,1.42,2.50,3.50,2.25,1.49,15.0,0,2
45,1.40,2.85,18.0,-,-,0.50,1.79,1.77,3.50,3.20,1.26,4.50,2.20,1.52,-,0,3
46,1.40,2.85,18.0,-,-,0.50,1.76,1.80,3.50,3.10,1.27,4.50,2.10,1.55,-,0,3
47,1.40,2.85,18.0,-,-,0.50,1.73,1.83,3.50,3.05,1.29,4.50,2.05,1.58,-,0,3
48,1.40,2.85,18.0,-,-,0.50,1.71,1.86,3.50,3.00,1.30,4.50,2.00,1.61,-,0,3
49,1.40,2.85,18.0,-,-,0.50,1.68,1.90,3.50,2.90,1.31,4.50,1.96,1.64,-,0,3
50,1.40,2.85,18.0,-,-,0.50,1.66,1.93,3.50,2.85,1.33,4.50,1.91,1.68,-,0,3
51,1.40,2.85,18.0,-,-,0.50,1.66,1.92,3.50,2.80,1.34,4.50,1.90,1.68,-,0,3
52,1.40,2.85,18.0,-,-,0.50,1.64,1.96,3.50,2.75,1.35,4.50,1.85,1.72,-,0,3
53,1.40,2.85,18.0,-,-,0.50,1.58,2.05,3.50,2.65,1.38,4.50,1.80,1.76,-,0,3
54,1.40,2.85,18.0,-,-,0.50,1.58,2.05,3.50,2.65,1.38,4.50,1.75,1.81,-,0,3
55,1.40,2.85,18.0,-,-,0.50,1.56,2.10,3.50,2.60,1.40,4.50,1.71,1.87,-,0,3
56,1.40,2.85,18.0,-,-,0.50,1.54,2.10,3.50,2.50,1.41,4.50,1.66,1.93,-,0,3
57,1.40,2.85,18.0,-,-,0.50,1.53,2.15,3.50,2.45,1.43,4.50,1.62,1.99,-,0,3
58,1.40,2.85,18.0,-,-,0.50,1.51,2.20,3.50,2.40,1.45,4.50,1.59,2.05,-,0,3
59,1.40,2.85,18.0,-,-,0.50,1.49,2.25,3.50,2.30,1.47,4.50,1.55,2.10,-,0,3
60,1.40,2.85,18.0,-,-,0.50,1.45,2.40,3.50,2.40,1.45,4.50,1.55,2.10,-,0,3
61,1.40,2.85,18.0,-,-,0.50,1.43,2.45,3.50,2.30,1.47,4.50,1.52,2.20,-,0,3
62,1.40,2.85,18.0,-,-,0.50,1.41,2.50,3.50,2.25,1.49,4.50,1.49,2.30,-,0,3
63,1.40,2.85,18.0,-,-,0.50,1.40,2.60,3.50,2.20,1.52,4.50,1.46,2.35,-,0,3
64,1.40,2.85,18.0,-,-,0.50,1.39,2.60,3.50,2.25,1.50,4.50,1.47,2.30,-,0,3
65,1.40,2.85,18.0,-,-,0.50,1.37,2.65,3.50,2.15,1.53,4.50,1.43,2.45,-,0,3
66,1.40,2.85,18.0,-,-,0.50,1.36,2.70,3.50,2.10,1.56,4.50,1.41,2.55,-,0,3
67,1.40,2.85,18.0,-,-,0.50,1.34,2.80,3.50,2.05,1.59,4.50,1.38,2.65,-,0,3
68,1.40,2.85,18.0,-,-,0.50,1.32,2.90,3.50,1.99,1.62,4.50,1.35,2.75,-,0,3
69,1.40,2.85,18.0,-,-,0.50,1.31,2.95,3.50,1.92,1.66,3.50,2.80,1.35,-,0,3
70,1.40,2.85,18.0,-,-,0.50,1.29,3.05,3.50,1.86,1.71,3.50,2.65,1.37,-,0,3
71,1.40,2.85,18.0,-,-,0.50,1.27,3.15,3.50,1.81,1.76,3.50,2.55,1.40,-,0,3
72,1.40,2.85,18.0,-,-,0.50,1.25,3.25,3.50,1.75,1.81,3.50,2.45,1.43,-,0,3
73,1.40,2.85,18.0,-,-,0.50,1.23,3.35,3.50,1.70,1.88,3.50,2.35,1.46,-,0,3
74,1.40,2.85,18.0,-,-,0.50,1.21,3.50,3.50,1.65,1.94,3.50,2.25,1.50,-,0,3
75,1.40,2.85,18.0,-,-,0.50,1.19,3.60,3.50,1.61,2.00,3.50,2.15,1.54,-,0,3
76,1.40,2.85,18.0,-,-,0.50,1.17,3.75,3.50,1.56,2.10,3.50,2.00,1.59,-,0,3
