min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.46,3.25,10.0,1.52,5.50,0.50,2.00,1.65,1.50,1.98,1.69,1,1,1,3.60,0,0
4,1.46,3.25,10.0,1.52,5.50,0.50,2.00,1.65,1.50,1.98,1.69,1,1,1,3.60,0,0
5,1.46,3.25,10.0,1.52,5.50,0.50,2.00,1.65,1.50,1.98,1.69,1,1,1,3.60,0,0
6,1.46,3.25,10.0,1.53,5.50,0.50,2.00,1.66,1.50,1.95,1.71,1,1,1,3.60,0,0
7,1.46,3.25,9.50,1.53,5.50,0.50,2.00,1.67,1.50,1.93,1.73,1,1,1,3.60,0,0
8,1.47,3.25,9.50,1.54,5.50,0.50,1.99,1.69,1.50,1.89,1.75,1,1,1,3.55,0,0
9,1.47,3.30,9.00,1.54,5.50,0.50,1.97,1.70,1.50,1.87,1.78,1,1,1,3.50,0,0
10,1.47,3.30,9.00,1.55,5.50,0.50,1.94,1.72,1.50,1.84,1.80,1,1,1,3.50,0,0
11,1.48,3.30,8.50,1.55,5.50,0.50,1.93,1.73,1.50,1.82,1.82,1,1,1,3.45,0,0
12,1.48,3.30,8.50,1.56,5.50,0.50,1.91,1.74,1.50,1.79,1.85,1,1,1,3.45,0,0
13,1.48,3.30,8.00,1.11,20.0,0.50,1.89,1.76,2.50,1.78,1.87,3.50,1.56,2.20,6.00,0,1
14,1.48,3.30,8.00,1.16,12.0,0.50,2.25,1.54,2.50,1.75,1.90,3.50,1.68,1.99,6.00,0,1
15,1.48,3.30,8.00,1.16,12.0,0.50,2.25,1.55,2.50,1.73,1.93,3.50,1.66,2.00,6.00,0,1
16,1.48,3.30,8.00,1.16,12.0,0.50,2.20,1.56,2.50,1.71,1.95,3.50,1.64,2.05,6.00,0,1
17,1.48,3.30,8.00,1.16,12.0,0.50,2.20,1.57,2.50,1.69,1.99,3.50,1.62,2.10,6.00,0,1
18,1.48,3.30,8.00,1.16,12.0,0.50,2.15,1.58,2.50,1.67,2.00,3.50,1.60,2.10,6.00,0,1
19,1.48,3.30,8.00,1.16,12.0,0.50,2.10,1.60,2.50,1.65,2.00,3.50,1.58,2.20,6.00,0,1
20,1.48,3.30,8.00,1.16,12.0,0.50,2.10,1.61,2.50,1.63,2.05,3.50,1.56,2.20,6.00,0,1
21,1.48,3.30,8.00,1.16,12.0,0.50,2.10,1.62,2.50,1.61,2.10,3.50,1.54,2.25,6.00,0,1
