min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.30,1.45,20.0,3.40,1.49,2.50,1.54,2.00,1.50,1.60,1.93,3.50,2.10,1.51,5.00,0,0
2,2.30,1.45,20.0,3.40,1.49,2.50,1.54,2.00,1.50,1.60,1.93,3.50,2.10,1.51,5.00,0,0
3,2.30,1.45,20.0,3.40,1.49,2.50,1.54,2.00,1.50,1.60,1.93,3.50,2.10,1.51,5.00,0,0
4,2.30,1.45,20.0,3.40,1.49,2.50,1.54,2.00,1.50,1.60,1.93,3.50,2.10,1.51,5.00,0,0
5,2.30,1.45,20.0,3.40,1.49,2.50,1.54,2.00,1.50,1.60,1.93,3.50,2.10,1.51,5.00,0,0
6,2.70,1.33,20.0,4.65,1.31,2.50,1.70,1.79,1.50,1.40,2.40,3.50,2.05,1.52,6.00,0,0
7,2.80,1.32,20.0,5.00,1.30,2.50,1.67,1.82,1.50,1.36,2.55,3.50,1.93,1.59,5.50,0,0
8,2.80,1.32,20.0,5.00,1.31,2.50,1.65,1.85,1.50,1.35,2.60,3.50,1.89,1.62,5.00,0,0
9,2.80,1.33,20.0,4.95,1.32,2.50,1.62,1.89,1.50,1.34,2.60,3.50,1.85,1.65,5.00,0,0
10,2.80,1.33,20.0,4.90,1.32,2.50,1.60,1.93,1.50,1.33,2.65,3.50,1.81,1.68,5.00,0,0
11,2.80,1.33,20.0,4.90,1.32,2.50,1.58,1.96,1.50,1.32,2.70,3.50,1.78,1.71,5.00,0,0
12,2.80,1.33,20.0,4.90,1.33,2.50,1.56,1.99,1.50,1.31,2.75,3.50,1.75,1.74,5.00,0,0
13,2.80,1.33,20.0,4.90,1.33,2.50,1.54,2.00,0.50,2.75,1.31,3.50,1.71,1.77,5.00,0,0
14,2.80,1.33,20.0,4.85,1.34,2.50,1.52,2.05,0.50,2.75,1.31,3.50,1.68,1.81,5.00,0,0
15,3.30,1.24,20.0,6.50,1.21,2.50,1.63,1.88,0.50,2.25,1.45,3.50,1.65,1.85,6.00,0,0
16,3.30,1.24,20.0,6.50,1.22,2.50,1.60,1.93,0.50,2.20,1.46,3.50,1.62,1.90,5.50,0,0
17,3.30,1.25,20.0,6.50,1.22,2.50,1.58,1.96,0.50,2.20,1.47,3.50,1.59,1.94,5.50,0,0
18,3.30,1.25,20.0,6.50,1.22,2.50,1.56,2.00,0.50,2.15,1.48,3.50,1.56,1.99,5.50,0,0
19,3.30,1.25,20.0,6.00,1.23,2.50,1.54,2.00,0.50,2.10,1.49,3.50,1.54,2.00,5.50,0,0
20,3.30,1.25,20.0,6.00,1.23,2.50,1.52,2.05,0.50,2.10,1.50,3.50,1.52,2.05,5.50,0,0
21,3.30,1.25,20.0,15.0,1.01,3.50,1.50,2.10,0.50,2.10,1.51,4.50,1.48,2.15,12.0,1,0
22,3.30,1.25,20.0,15.0,1.01,3.50,1.49,2.10,0.50,2.10,1.50,4.50,1.49,2.15,12.0,1,0
23,3.30,1.25,20.0,15.0,1.01,3.50,1.47,2.15,0.50,2.10,1.51,4.50,1.46,2.20,12.0,1,0
24,3.30,1.25,20.0,15.0,1.01,3.50,1.45,2.20,0.50,2.05,1.52,3.50,2.25,1.44,11.5,1,0
25,3.30,1.25,20.0,15.0,1.01,3.50,1.43,2.30,0.50,2.00,1.54,3.50,2.20,1.46,11.5,1,0
26,3.30,1.25,20.0,15.0,1.01,3.50,1.42,2.30,0.50,2.00,1.55,3.50,2.15,1.48,11.5,1,0
27,3.30,1.25,20.0,15.0,1.01,3.50,1.40,2.40,0.50,1.99,1.56,3.50,2.10,1.50,11.5,1,0
28,3.30,1.25,20.0,15.0,1.01,2.50,2.40,1.40,0.50,1.97,1.57,3.50,2.05,1.53,11.0,1,0
29,3.30,1.25,20.0,15.0,1.01,2.50,2.35,1.41,0.50,1.94,1.59,3.50,2.00,1.55,11.0,1,0
30,3.30,1.25,20.0,15.0,1.01,2.50,2.30,1.43,0.50,1.92,1.60,3.50,1.97,1.57,11.0,1,0
31,3.30,1.25,20.0,15.0,1.01,2.50,2.25,1.45,0.50,1.89,1.62,3.50,1.92,1.61,11.0,1,0
32,3.30,1.25,20.0,15.0,1.01,2.50,2.20,1.46,0.50,1.86,1.64,3.50,1.86,1.64,11.0,1,0
33,3.30,1.25,20.0,15.0,1.01,2.50,2.15,1.48,0.50,1.84,1.66,3.50,1.82,1.67,11.0,1,0
34,3.30,1.25,20.0,15.0,1.01,2.50,2.10,1.50,0.50,1.82,1.68,3.50,1.77,1.71,10.5,1,0
35,3.30,1.25,20.0,16.0,1.01,2.50,2.10,1.50,0.50,1.73,1.75,3.50,1.74,1.75,11.5,1,0
