min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.55,2.75,12.0,1.68,4.45,0.50,2.60,1.43,1.50,2.00,1.67,1,1,1,3.50,0,0
2,1.55,2.75,12.0,1.68,4.45,0.50,2.60,1.43,1.50,2.00,1.67,1,1,1,3.50,0,0
3,1.55,2.75,12.0,1.20,13.0,0.50,2.60,1.43,2.50,2.00,1.67,3.50,1.98,1.69,5.00,0,1
4,1.55,2.75,12.0,1.17,11.0,0.50,2.60,1.43,2.50,2.00,1.67,3.50,2.00,1.67,6.00,0,1
5,1.55,2.75,12.0,1.17,11.0,0.50,2.60,1.43,2.50,2.00,1.67,3.50,2.00,1.67,6.00,0,1
6,1.55,2.75,12.0,1.17,11.0,0.50,2.60,1.44,2.50,1.98,1.69,3.50,1.99,1.69,6.00,0,1
7,1.55,2.75,12.0,1.17,11.0,0.50,2.55,1.45,2.50,1.95,1.71,3.50,1.95,1.72,6.00,0,1
8,1.55,2.75,12.0,1.17,11.0,0.50,2.50,1.45,2.50,1.92,1.73,3.50,1.91,1.74,6.00,0,1
9,1.55,2.75,12.0,1.16,11.0,0.50,2.50,1.46,2.50,1.89,1.75,3.50,1.87,1.77,6.00,0,1
10,1.55,2.75,12.0,1.17,11.0,0.50,2.45,1.47,2.50,1.87,1.78,3.50,1.84,1.80,6.00,0,1
11,1.55,2.75,12.0,1.17,11.0,0.50,2.45,1.48,2.50,1.84,1.80,3.50,1.81,1.83,6.00,0,1
12,1.55,2.75,12.0,1.17,11.5,0.50,2.40,1.49,2.50,1.82,1.82,3.50,1.78,1.86,6.00,0,1
13,1.55,2.75,12.0,1.23,10.0,0.50,2.50,1.46,2.50,1.79,1.85,3.50,1.71,1.95,5.50,0,1
14,1.55,2.75,12.0,1.22,10.0,0.50,2.50,1.47,2.50,1.66,2.00,3.50,1.68,1.99,5.50,0,1
15,1.55,2.75,12.0,1.22,10.0,0.50,2.45,1.48,2.50,1.64,2.05,3.50,1.66,2.00,5.50,0,1
18,1.55,2.75,12.0,1.22,10.0,0.50,2.35,1.51,2.50,1.59,2.15,3.50,1.59,2.15,5.50,0,1
19,1.55,2.75,12.0,1.22,10.0,0.50,2.35,1.51,2.50,1.57,2.20,3.50,1.58,2.20,5.00,0,1
20,1.55,2.75,12.0,1.22,10.5,0.50,2.30,1.53,2.50,1.56,2.20,3.50,1.55,2.20,5.00,0,1
21,1.55,2.75,12.0,1.22,10.5,0.50,2.30,1.54,2.50,1.54,2.25,3.50,1.54,2.30,5.00,0,1
22,1.55,2.75,12.0,1.22,10.5,0.50,2.25,1.55,2.50,1.53,2.30,3.50,1.52,2.35,5.00,0,1
23,1.55,2.75,12.0,1.22,10.5,0.50,2.20,1.56,2.50,1.51,2.35,3.50,1.50,2.40,5.00,0,1
24,1.55,2.75,12.0,1.22,11.0,0.50,2.20,1.57,2.50,1.50,2.40,3.50,1.48,2.45,5.00,0,1
25,1.55,2.75,12.0,1.22,11.0,0.50,2.15,1.59,2.50,1.49,2.40,3.50,1.46,2.50,5.00,0,1
26,1.55,2.75,12.0,1.22,11.0,0.50,2.10,1.60,2.50,1.47,2.50,1,1,1,5.00,0,1
27,1.55,2.75,12.0,1.22,11.0,0.50,2.10,1.61,2.50,1.46,2.50,1,1,1,5.00,0,1
28,1.55,2.75,12.0,1.22,11.0,0.50,2.05,1.63,2.50,1.45,2.55,1,1,1,5.00,0,1
29,1.55,2.75,12.0,1.22,11.0,0.50,2.05,1.64,2.50,1.43,2.60,1,1,1,5.00,0,1
30,1.55,2.75,12.0,1.22,11.5,0.50,2.00,1.65,2.50,1.42,2.65,1,1,1,5.00,0,1
31,1.55,2.75,12.0,1.22,11.5,0.50,2.00,1.67,2.50,1.41,2.70,1,1,1,5.00,0,1
32,1.55,2.75,12.0,1.21,11.5,0.50,1.98,1.69,2.50,1.40,2.75,1,1,1,5.00,0,1
33,1.55,2.75,12.0,1.22,12.0,0.50,1.95,1.71,2.50,1.38,2.80,1,1,1,5.00,0,1
34,1.55,2.75,12.0,1.22,12.0,0.50,1.93,1.73,2.50,1.37,2.85,1,1,1,5.00,0,1
35,1.55,2.75,12.0,1.21,12.0,0.50,1.90,1.75,1.50,2.90,1.37,1,1,1,5.00,0,1
36,1.55,2.75,12.0,1.21,12.0,0.50,1.87,1.77,1.50,2.85,1.38,1,1,1,5.00,0,1
37,1.55,2.75,12.0,1.21,12.0,0.50,1.85,1.79,1.50,2.80,1.39,1,1,1,5.00,0,1
38,1.55,2.75,12.0,1.21,12.0,0.50,1.83,1.81,1.50,2.75,1.40,1,1,1,5.00,0,1
39,1.55,2.75,12.0,1.20,12.0,0.50,1.80,1.84,1.50,2.70,1.42,1,1,1,5.00,0,1
40,1.55,2.75,12.0,1.20,13.0,0.50,1.78,1.87,1.50,2.60,1.43,1,1,1,5.00,0,1
41,1.55,2.75,12.0,1.20,13.0,0.50,1.76,1.89,1.50,2.60,1.44,1,1,1,5.00,0,1
42,1.55,2.75,12.0,1.20,13.0,0.50,1.73,1.92,1.50,2.50,1.46,1,1,1,5.00,0,1
43,1.55,2.75,12.0,1.20,13.0,0.50,1.72,1.94,1.50,2.50,1.47,1,1,1,5.00,0,1
44,1.55,2.75,12.0,1.19,13.0,0.50,1.69,1.98,1.50,2.40,1.49,1,1,1,5.00,0,1
45,1.55,2.75,12.0,1.14,15.0,0.50,1.59,2.15,1.50,2.50,1.45,1,1,1,6.00,0,1
46,1.55,2.75,12.0,1.13,15.0,0.50,1.57,2.20,1.50,2.50,1.47,1,1,1,6.00,0,1
47,1.55,2.75,12.0,1.13,15.0,0.50,1.56,2.20,1.50,2.40,1.49,1,1,1,6.00,0,1
48,1.55,2.75,12.0,1.13,15.0,0.50,1.54,2.25,1.50,2.35,1.50,1,1,1,6.00,0,1
49,1.55,2.75,12.0,1.13,16.0,0.50,1.53,2.30,1.50,2.30,1.52,1,1,1,6.00,0,1
50,1.55,2.75,12.0,1.13,16.0,0.50,1.51,2.35,1.50,2.25,1.54,1,1,1,6.00,0,1
51,1.55,2.75,12.0,1.12,16.0,0.50,1.50,2.40,1.50,2.20,1.56,1,1,1,6.00,0,1
52,1.55,2.75,12.0,1.13,16.0,0.50,1.48,2.45,1.50,2.20,1.58,1,1,1,6.00,0,1
53,1.55,2.75,12.0,1.13,16.0,0.50,1.47,2.50,1.50,2.10,1.60,1,1,1,6.00,0,1
54,1.55,2.75,12.0,1.12,17.0,0.50,1.46,2.50,1.50,2.10,1.62,1,1,1,6.00,0,1
55,1.55,2.75,12.0,1.12,17.0,0.50,1.44,2.60,1.50,2.05,1.64,1,1,1,6.00,0,1
56,1.55,2.75,12.0,1.12,18.0,0.50,1.43,2.60,1.50,2.00,1.67,1,1,1,6.00,0,1
57,1.55,2.75,12.0,1.12,18.0,0.50,1.42,2.70,1.50,1.97,1.70,1,1,1,6.00,0,1
58,1.55,2.75,12.0,1.11,18.0,0.50,1.40,2.70,1.50,1.93,1.73,1,1,1,6.00,0,1
59,1.55,2.75,12.0,1.11,18.0,0.50,1.39,2.80,1.50,1.88,1.76,1.50,2.85,1.37,6.00,0,1
60,1.55,2.75,12.0,1.11,19.0,0.50,1.37,2.85,1.50,1.84,1.80,1.50,2.75,1.39,6.00,0,1
61,1.55,2.75,12.0,1.10,19.0,0.50,1.36,2.90,1.50,1.81,1.84,1.50,2.70,1.41,6.00,0,1
62,1.55,2.75,12.0,1.05,27.0,0.50,1.25,3.50,1.50,2.15,1.59,1,1,1,9.00,0,1
63,1.55,2.75,12.0,1.05,27.0,0.50,1.23,3.60,1.50,2.10,1.62,1.50,2.80,1.38,9.00,0,1
64,1.55,2.75,12.0,1.05,28.0,0.50,1.22,3.70,1.50,2.00,1.65,1.50,2.70,1.41,9.00,0,1
65,1.55,2.75,12.0,1.04,38.0,0.50,1.12,4.90,1.50,2.05,1.64,1.50,2.55,1.45,12.0,0,1
66,1.55,2.75,12.0,1.04,38.0,0.50,1.11,5.00,1.50,2.00,1.68,1.50,2.45,1.48,12.0,0,1
67,1.55,2.75,12.0,1.04,38.0,0.50,1.10,5.00,1.50,1.94,1.72,1.50,2.35,1.50,12.0,0,1
68,1.55,2.75,12.0,1.04,38.0,0.50,1.09,5.00,1.50,1.89,1.76,1.50,2.30,1.53,12.0,0,1
69,1.55,2.75,12.0,1.04,39.0,0.50,1.09,5.00,1.50,1.83,1.81,1.50,2.20,1.57,12.0,0,1
70,1.55,2.75,12.0,1.04,41.0,0.50,1.08,5.50,1.50,1.78,1.86,1.50,2.10,1.60,12.0,0,1
71,1.55,2.75,12.0,1.04,42.0,0.50,1.07,6.00,1.50,1.73,1.92,1.50,2.05,1.64,12.0,0,1
72,1.55,2.75,12.0,1.04,42.0,0.50,1.07,6.00,1.50,1.69,1.99,1.50,1.99,1.68,13.0,0,1
73,1.55,2.75,12.0,1.04,44.0,0.50,1.06,6.00,1.50,1.65,2.05,1.50,1.92,1.73,13.0,0,1
74,1.55,2.75,12.0,1.03,43.0,0.50,1.06,6.50,1.50,1.60,2.10,1.50,1.85,1.79,13.0,0,1
75,1.55,2.75,12.0,1.03,44.0,0.50,1.05,7.00,1.50,1.57,2.20,1.50,1.79,1.86,13.0,0,1
76,1.55,2.75,12.0,1.03,46.0,0.50,1.05,7.00,1.50,1.53,2.30,1.50,1.72,1.94,14.0,0,1
