min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1.80,2.00,17.0,2.20,2.75,1.50,1.76,1.88,1.50,2.00,1.67,3.50,1.61,2.10,3.65,0,0
7,1.80,2.00,17.0,2.20,2.75,1.50,1.75,1.90,1.50,1.99,1.68,3.50,1.59,2.15,3.65,0,0
8,1.80,2.00,17.0,2.20,2.75,1.50,1.72,1.93,1.50,1.96,1.70,3.50,1.57,2.20,3.60,0,0
9,1.81,2.00,16.0,2.20,2.75,1.50,1.70,1.96,1.50,1.93,1.72,3.50,1.55,2.25,3.60,0,0
10,1.81,2.00,16.0,1.43,5.50,1.50,1.68,1.99,2.50,1.90,1.75,4.50,1.54,2.25,4.40,0,1
11,1.81,2.00,16.0,1.47,5.00,1.50,1.76,1.88,2.50,1.88,1.77,4.50,1.57,2.20,4.30,0,1
12,1.81,2.00,16.0,1.48,5.00,1.50,1.75,1.90,2.50,1.85,1.79,4.50,1.56,2.20,4.30,0,1
13,1.81,2.00,16.0,1.47,5.00,1.50,1.72,1.93,2.50,1.82,1.82,4.50,1.53,2.30,4.25,0,1
14,1.81,2.00,16.0,1.47,5.00,1.50,1.70,1.96,2.50,1.80,1.84,4.50,1.51,2.35,4.25,0,1
15,1.81,2.00,16.0,1.47,5.00,1.50,1.68,1.99,2.50,1.78,1.87,3.50,2.40,1.50,4.25,0,1
16,1.81,2.00,16.0,1.47,5.00,1.50,1.66,2.00,2.50,1.76,1.89,3.50,2.35,1.51,4.25,0,1
17,1.81,2.00,16.0,1.12,14.0,1.50,1.65,2.05,3.50,1.73,1.92,4.50,2.30,1.53,6.50,0,2
18,1.81,2.00,16.0,1.04,45.0,1.50,1.63,2.05,3.50,4.35,1.15,5.50,2.30,1.54,12.0,0,3
19,1.81,2.00,16.0,1.04,47.0,1.50,1.61,2.10,3.50,4.25,1.16,5.50,2.20,1.56,12.0,0,3
20,1.81,2.00,16.0,1.04,47.0,1.50,1.59,2.15,3.50,4.15,1.17,5.50,2.15,1.58,12.0,0,3
21,1.81,2.00,16.0,1.03,53.0,1.50,1.58,2.20,3.50,4.10,1.18,5.50,2.10,1.60,12.0,0,3
22,1.81,2.00,16.0,1.03,52.0,1.50,1.56,2.20,3.50,4.00,1.18,5.50,2.05,1.63,13.0,0,3
23,1.81,2.00,16.0,1.03,56.0,1.50,1.54,2.25,3.50,3.90,1.19,5.50,2.00,1.66,13.0,0,3
24,1.81,2.00,16.0,1.03,59.0,1.50,1.53,2.30,3.50,3.85,1.20,5.50,1.99,1.68,13.0,0,3
25,1.81,2.00,16.0,1.03,60.0,1.50,1.51,2.35,3.50,3.75,1.21,5.50,1.95,1.71,13.0,0,3
26,1.81,2.00,16.0,1.03,60.0,1.50,1.50,2.40,3.50,3.70,1.22,5.50,1.91,1.74,13.0,0,3
27,1.81,2.00,16.0,1.03,60.0,1.50,1.49,2.40,3.50,3.65,1.23,5.50,1.87,1.78,13.0,0,3
28,1.81,2.00,16.0,1.03,60.0,1.50,1.47,2.50,3.50,3.55,1.24,5.50,1.83,1.82,13.0,0,3
29,1.81,2.00,16.0,1.03,60.0,1.50,1.46,2.50,3.50,3.50,1.25,5.50,1.79,1.85,13.0,0,3
30,1.81,2.00,16.0,1.03,60.0,1.50,1.45,2.55,3.50,3.45,1.26,5.50,1.75,1.89,13.0,0,3
31,1.81,2.00,16.0,1.03,60.0,1.50,1.43,2.60,3.50,3.70,1.22,5.50,1.81,1.83,14.0,0,3
32,1.81,2.00,16.0,1.03,60.0,1.50,1.42,2.65,3.50,3.60,1.23,5.50,1.77,1.87,14.0,0,3
33,1.81,2.00,16.0,1.03,60.0,1.50,1.41,2.70,3.50,3.55,1.24,5.50,1.74,1.92,14.0,0,3
34,1.81,2.00,16.0,1.03,60.0,1.50,1.44,2.60,3.50,3.85,1.20,5.50,1.86,1.78,14.0,0,3
35,1.81,2.00,16.0,1.03,60.0,1.50,1.43,2.65,3.50,3.75,1.21,5.50,1.82,1.82,14.0,0,3
